pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,11637,3944.7458,17.2232,54.780446,49.41377691695824,6.905014976943375,3,0.0258,0,0.0000,20,0.1719,4,0.0344,0,0.0000,1,0.0086
194,1226,10977,3721.0169,16.8531,53.576643,49.41354456825783,6.90496777304373,3,0.0273,3,0.0273,26,0.2369,3,0.0273,4,0.0364,0,0.0000
527,0,8040,2725.4237,17.2854,54.833916,49.42134378916888,6.905640650174819,2,0.0249,1,0.0124,23,0.2861,1,0.0124,1,0.0124,0,0.0000
333,0,7662,2597.2881,19.3547,60.070215,49.413945803891494,6.905422286207581,6,0.0783,0,0.0000,12,0.1566,1,0.0131,1,0.0131,0,0.0000
41,157,7542,2556.6102,18.9114,59.391297,49.412228336585734,6.9041970381558375,4,0.0530,0,0.0000,14,0.1856,3,0.0398,2,0.0265,0,0.0000
170,0,7397,2507.4576,17.4655,54.322362,49.41308333150212,6.905102286926452,4,0.0541,0,0.0000,7,0.0946,2,0.0270,2,0.0270,4,0.0541
37,55,6999,2372.5424,15.9666,50.896851,49.41210937670287,6.904033163380283,2,0.0286,4,0.0572,13,0.1857,3,0.0429,1,0.0143,1,0.0143
921,0,6139,2081.0169,16.7144,52.786368,49.41330846587483,6.905111734739467,2,0.0326,1,0.0163,0,0.0000,2,0.0326,5,0.0814,2,0.0326
92,0,6102,2068.4746,16.7134,53.57773,49.411673155258605,6.90580979239337,1,0.0164,0,0.0000,13,0.2130,1,0.0164,2,0.0328,1,0.0164
506,0,6026,2042.7119,17.0345,54.12881,49.41596514443012,6.907809576949593,2,0.0332,0,0.0000,10,0.1659,3,0.0498,1,0.0166,2,0.0332
736,0,5847,1982.0339,16.8960,53.980216,49.41325602647045,6.904430536216032,0,0.0000,0,0.0000,11,0.1881,1,0.0171,2,0.0342,0,0.0000
684,0,5479,1857.2881,16.6362,53.004342,49.41417574857228,6.905118151548451,2,0.0365,0,0.0000,8,0.1460,0,0.0000,0,0.0000,2,0.0365
206,0,5365,1818.6441,19.4742,60.84416,49.41271720646002,6.904794627091743,1,0.0186,0,0.0000,13,0.2423,0,0.0000,0,0.0000,0,0.0000
237,0,5324,1804.7458,16.8903,53.297902,49.41332189308129,6.905003420744158,1,0.0188,0,0.0000,11,0.2066,0,0.0000,0,0.0000,1,0.0188
35,0,5175,1754.2373,16.9911,53.476754,49.4121457781443,6.904286048079713,2,0.0386,1,0.0193,9,0.1739,1,0.0193,0,0.0000,1,0.0193
285,0,5137,1741.3559,16.0267,50.997341,49.41290862684447,6.903026214299707,0,0.0000,1,0.0195,11,0.2141,3,0.0584,3,0.0584,0,0.0000
273,625,5027,1704.0678,16.2733,51.846256,49.413008113470255,6.904914466676386,0,0.0000,1,0.0199,15,0.2984,0,0.0000,1,0.0199,1,0.0199
427,0,4817,1632.8814,16.7885,53.264584,49.413361206278324,6.902930894758005,1,0.0208,1,0.0208,12,0.2491,3,0.0623,3,0.0623,1,0.0208
585,587,4640,1572.8814,16.9614,53.678679,49.41347951711816,6.9051968445710905,1,0.0216,0,0.0000,0,0.0000,1,0.0216,0,0.0000,1,0.0216
263,946,4510,1528.8136,16.5029,53.333335,49.413250887459384,6.904932469555688,2,0.0443,4,0.0887,66,1.4634,1,0.0222,3,0.0665,0,0.0000
287,0,4320,1464.4068,17.0255,53.713544,49.413468513499595,6.905300870822125,3,0.0694,1,0.0231,5,0.1157,1,0.0231,1,0.0231,0,0.0000
602,0,4229,1433.5593,18.4616,58.914869,49.412918459500105,6.904832436784124,2,0.0473,0,0.0000,0,0.0000,0,0.0000,3,0.0709,0,0.0000
155,1127,4180,1416.9492,15.9175,50.96483,49.4130420353116,6.904857575862862,1,0.0239,2,0.0478,7,0.1675,3,0.0718,1,0.0239,0,0.0000
158,1136,4152,1407.4576,16.4217,52.229663,49.41295696576506,6.9047155176793575,1,0.0241,0,0.0000,10,0.2408,1,0.0241,0,0.0000,1,0.0241
152,1118,4042,1370.1695,15.8775,51.079894,49.41284122864421,6.904797842677648,0,0.0000,0,0.0000,5,0.1237,2,0.0495,3,0.0742,1,0.0247
580,0,3554,1204.7458,18.7845,58.759989,49.4135506381954,6.904929186623135,2,0.0563,1,0.0281,0,0.0000,1,0.0281,0,0.0000,2,0.0563
912,0,3546,1202.0339,16.4946,52.536216,49.41303237695777,6.904956354909521,2,0.0564,1,0.0282,0,0.0000,0,0.0000,0,0.0000,1,0.0282
513,0,3444,1167.4576,16.0607,52.276426,49.41335994899863,6.90578993924164,2,0.0581,0,0.0000,5,0.1452,0,0.0000,0,0.0000,1,0.0290
909,0,3415,1157.6271,15.6665,51.332372,49.41333050145812,6.904906499903081,0,0.0000,0,0.0000,0,0.0000,2,0.0586,2,0.0586,2,0.0586
906,0,3349,1135.2542,15.8874,51.119021,49.4136409272037,6.904948266878872,1,0.0299,1,0.0299,0,0.0000,0,0.0000,1,0.0299,0,0.0000
261,1367,3129,1060.6780,15.6286,50.070694,49.414046230112994,6.905253856233028,3,0.0959,2,0.0639,4,0.1278,0,0.0000,0,0.0000,0,0.0000
25,598,2818,955.2542,17.1306,53.827715,49.41174332276473,6.903925372200265,1,0.0355,0,0.0000,3,0.1065,1,0.0355,1,0.0355,1,0.0355
574,0,2808,951.8644,17.3985,55.785082,49.41261440692719,6.904595247784559,1,0.0356,0,0.0000,4,0.1425,0,0.0000,1,0.0356,0,0.0000
557,0,2667,904.0678,18.2486,57.319434,49.41412670014588,6.905404914208571,0,0.0000,0,0.0000,4,0.1500,0,0.0000,0,0.0000,0,0.0000
179,646,2640,894.9153,16.6633,53.373762,49.41328515793094,6.904561648961355,1,0.0379,0,0.0000,7,0.2652,1,0.0379,2,0.0758,0,0.0000
216,1265,2607,883.7288,16.9241,54.035685,49.41606237879609,6.908542827258035,1,0.0384,0,0.0000,3,0.1151,3,0.1151,3,0.1151,3,0.1151
431,0,2559,867.4576,17.2669,54.235561,49.412582147777144,6.9042752354099814,1,0.0391,0,0.0000,3,0.1172,0,0.0000,0,0.0000,0,0.0000
919,0,2533,858.6441,16.1469,52.496352,49.41345897323859,6.904318479219947,1,0.0395,1,0.0395,0,0.0000,1,0.0395,1,0.0395,0,0.0000
133,0,2524,855.5932,16.9093,54.773685,49.41199079015825,6.905125321450514,0,0.0000,2,0.0792,4,0.1585,1,0.0396,2,0.0792,5,0.1981
453,0,2487,843.0508,16.5279,53.121588,49.412661012786295,6.904114099060055,0,0.0000,1,0.0402,3,0.1206,0,0.0000,0,0.0000,0,0.0000
13,616,2475,838.9831,18.0020,55.78541,49.411679766268385,6.906884471320321,1,0.0404,0,0.0000,4,0.1616,2,0.0808,0,0.0000,0,0.0000
52,63,2442,827.7966,16.6912,53.245967,49.41615149695963,6.9073897918882095,1,0.0410,0,0.0000,2,0.0819,0,0.0000,0,0.0000,0,0.0000
747,0,2431,824.0678,17.4846,55.76673,49.41344483466225,6.904787501048698,1,0.0411,0,0.0000,0,0.0000,3,0.1234,0,0.0000,0,0.0000
274,628,2422,821.0169,15.8299,52.222267,49.41304672265819,6.90448137492812,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0413
220,1277,2370,803.3898,15.6506,50.95076,49.41338113668222,6.905093791714941,1,0.0422,0,0.0000,4,0.1688,0,0.0000,2,0.0844,0,0.0000
519,0,2350,796.6102,18.8481,59.574477,49.41428736190327,6.9073814470771575,0,0.0000,0,0.0000,5,0.2128,0,0.0000,1,0.0426,0,0.0000
592,2330,2298,778.9831,17.4147,54.356436,49.412913205317594,6.904524167440577,2,0.0870,0,0.0000,4,0.1741,1,0.0435,2,0.0870,1,0.0435
16,0,2281,773.2203,18.8794,58.77833,49.416795519822195,6.907552669622775,2,0.0877,1,0.0438,3,0.1315,0,0.0000,0,0.0000,2,0.0877
707,0,2267,768.4746,16.6793,52.848059,49.409117409300336,6.90323205755629,1,0.0441,0,0.0000,0,0.0000,1,0.0441,2,0.0882,0,0.0000
539,0,2260,766.1017,16.7699,53.651009,49.413317661354256,6.906163523644839,0,0.0000,0,0.0000,4,0.1770,0,0.0000,0,0.0000,0,0.0000
761,0,2258,765.4237,15.8100,50.742923,49.413558429915504,6.90527057287854,1,0.0443,0,0.0000,0,0.0000,2,0.0886,0,0.0000,0,0.0000
676,2629,2236,757.9661,15.3967,49.599611,49.41323778859369,6.904823102806325,2,0.0894,0,0.0000,2,0.0894,1,0.0447,0,0.0000,2,0.0894
613,2231,2231,756.2712,15.6289,50.85814,49.41343013689709,6.904839342977874,1,0.0448,0,0.0000,4,0.1793,0,0.0000,1,0.0448,0,0.0000
421,94,2072,702.3729,16.0338,50.171593,49.41344427580061,6.904883459903601,1,0.0483,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
434,791,2026,686.7797,17.1579,53.485953,49.412258780104345,6.90425699417306,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
316,0,2026,686.7797,16.7517,52.782527,49.412146283015126,6.905210043259848,2,0.0987,0,0.0000,6,0.2962,0,0.0000,2,0.0987,0,0.0000
203,0,1918,650.1695,18.9572,58.090652,49.41398025535037,6.906495361976626,3,0.1564,1,0.0521,8,0.4171,0,0.0000,0,0.0000,0,0.0000
100,2728,1868,633.2203,16.9872,53.413062,49.41227133635604,6.906861982096479,0,0.0000,1,0.0535,0,0.0000,1,0.0535,0,0.0000,1,0.0535
84,0,1863,631.5254,19.1235,58.624665,49.411646152954496,6.902721362666192,0,0.0000,1,0.0537,4,0.2147,0,0.0000,0,0.0000,0,0.0000
618,2345,1805,611.8644,15.8122,50.797258,49.41235912546438,6.905181568286592,0,0.0000,1,0.0554,42,2.3269,0,0.0000,0,0.0000,0,0.0000
590,0,1780,603.3898,16.7820,53.761517,49.41143303229529,6.9010260552356835,1,0.0562,0,0.0000,5,0.2809,1,0.0562,0,0.0000,1,0.0562
38,57,1739,589.4915,15.8419,50.764865,49.4121519905254,6.904089363805896,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
171,0,1697,575.2542,17.1638,54.841886,49.41325842574762,6.904868882433306,1,0.0589,0,0.0000,0,0.0000,0,0.0000,1,0.0589,1,0.0589
50,59,1693,573.8983,15.6551,49.526858,49.41155763168546,6.903827993846854,0,0.0000,0,0.0000,4,0.2363,0,0.0000,0,0.0000,0,0.0000
353,908,1687,571.8644,15.5697,50.498607,49.41339345615819,6.905139150310671,0,0.0000,0,0.0000,4,0.2371,0,0.0000,0,0.0000,0,0.0000
108,0,1666,564.7458,16.6615,54.331116,49.412448461344,6.898283096087812,0,0.0000,1,0.0600,25,1.5006,0,0.0000,3,0.1801,0,0.0000
93,0,1659,562.3729,16.9343,54.41431,49.4122052530343,6.9042732975218595,1,0.0603,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
307,0,1651,559.6610,18.5845,59.257026,49.41326561457613,6.9050298977971325,2,0.1211,0,0.0000,1,0.0606,0,0.0000,2,0.1211,0,0.0000
29,776,1590,538.9831,16.7906,53.115308,49.41075455561357,6.903101804341743,0,0.0000,1,0.0629,3,0.1887,0,0.0000,0,0.0000,2,0.1258
167,0,1566,530.8475,17.6169,54.695696,49.410432575844105,6.895038607402284,0,0.0000,0,0.0000,4,0.2554,0,0.0000,0,0.0000,0,0.0000
396,1658,1538,521.3559,18.7048,58.709753,49.41281819690887,6.9011620593059275,1,0.0650,0,0.0000,2,0.1300,1,0.0650,1,0.0650,0,0.0000
122,1080,1497,507.4576,18.7181,58.853981,49.40879066504614,6.9035627359297695,0,0.0000,0,0.0000,5,0.3340,0,0.0000,0,0.0000,0,0.0000
74,67,1462,495.5932,17.4118,55.666464,49.41207045427171,6.905327426246118,0,0.0000,0,0.0000,2,0.1368,0,0.0000,0,0.0000,0,0.0000
605,0,1432,485.4237,18.1662,57.589868,49.41307896913377,6.905020041312544,1,0.0698,0,0.0000,4,0.2793,0,0.0000,2,0.1397,0,0.0000
124,0,1416,480.0000,18.3340,57.313235,49.41295511846378,6.904686531935921,1,0.0706,0,0.0000,6,0.4237,0,0.0000,1,0.0706,0,0.0000
32,776,1405,476.2712,16.9907,53.312698,49.41193156015371,6.9040275771934185,2,0.1423,0,0.0000,6,0.4270,1,0.0712,0,0.0000,1,0.0712
304,1469,1386,469.8305,16.3232,52.927735,49.414738030912766,6.905935663641253,0,0.0000,1,0.0722,2,0.1443,0,0.0000,1,0.0722,0,0.0000
109,703,1347,456.6102,17.6956,55.545776,49.41228098740697,6.904611171576536,1,0.0742,0,0.0000,2,0.1485,0,0.0000,0,0.0000,1,0.0742
234,941,1332,451.5254,17.1336,54.442755,49.41257597574536,6.903828055830586,0,0.0000,0,0.0000,1,0.0751,0,0.0000,0,0.0000,0,0.0000
163,0,1322,448.1356,19.0265,59.243487,49.412317219768894,6.9006485607919545,2,0.1513,1,0.0756,0,0.0000,0,0.0000,0,0.0000,0,0.0000
928,0,1313,445.0847,18.2391,58.128142,49.41248932677156,6.903852223804653,0,0.0000,0,0.0000,0,0.0000,1,0.0762,2,0.1523,1,0.0762
27,51,1273,431.5254,16.2969,51.30143,49.4126012861829,6.904443913370987,2,0.1571,0,0.0000,0,0.0000,1,0.0786,2,0.1571,0,0.0000
456,0,1231,417.2881,16.5435,52.692397,49.41755911568448,6.91425798729108,0,0.0000,1,0.0812,2,0.1625,0,0.0000,0,0.0000,0,0.0000
275,631,1205,408.4746,16.3618,51.418996,49.41302325845274,6.90528028615742,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
524,0,1178,399.3220,17.1095,55.312097,49.41442016201933,6.906254000618165,2,0.1698,0,0.0000,4,0.3396,0,0.0000,0,0.0000,1,0.0849
58,280,1172,397.2881,15.8268,51.511178,49.41114824818904,6.903193341224563,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0853
432,0,1149,389.4915,16.8233,53.333412,49.41336738265433,6.905266226679546,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
176,0,1143,387.4576,17.9983,57.006002,49.413680710939786,6.90498391313374,0,0.0000,0,0.0000,2,0.1750,0,0.0000,0,0.0000,0,0.0000
739,0,1133,384.0678,16.5128,51.589674,49.413553875433166,6.905543569470524,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
195,1229,1121,380.0000,16.4309,53.491936,49.413504297467995,6.905012640021958,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
603,0,1117,378.6441,16.3921,51.168684,49.413630369222716,6.905292564598103,1,0.0895,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
592,2168,1114,377.6271,16.5925,52.411697,49.41342149955344,6.904753417893791,0,0.0000,0,0.0000,1,0.0898,0,0.0000,0,0.0000,0,0.0000
741,2679,1112,376.9492,18.3840,57.707905,49.412081792112346,6.903052315372645,2,0.1799,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0899
48,259,1092,370.1695,17.8068,55.88728,49.41317023334257,6.908017818961803,0,0.0000,0,0.0000,2,0.1832,0,0.0000,0,0.0000,0,0.0000
616,0,1088,368.8136,16.6976,52.636664,49.407499891065356,6.899140869533979,0,0.0000,1,0.0919,3,0.2757,0,0.0000,0,0.0000,0,0.0000
731,0,1085,367.7966,19.4194,59.014977,49.41215984575316,6.90101468289925,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
156,1130,1064,360.6780,15.6814,51.048365,49.41268304640962,6.9046225529602046,0,0.0000,1,0.0940,0,0.0000,0,0.0000,1,0.0940,0,0.0000
159,1139,1061,359.6610,16.4147,52.862074,49.41342037528257,6.904649338651982,1,0.0943,0,0.0000,0,0.0000,0,0.0000,1,0.0943,0,0.0000
702,0,1051,356.2712,17.8687,56.608563,49.41143657786494,6.905877268074659,0,0.0000,1,0.0951,3,0.2854,0,0.0000,1,0.0951,0,0.0000
153,1121,1004,340.3390,16.2400,50.79248,49.41274665407983,6.904261985645663,0,0.0000,0,0.0000,0,0.0000,1,0.0996,3,0.2988,0,0.0000
755,0,998,338.3051,17.1804,54.878898,49.41320243292732,6.904725076117728,1,0.1002,0,0.0000,3,0.3006,0,0.0000,2,0.2004,0,0.0000
577,0,963,326.4407,15.6615,49.248848,49.41361230916792,6.904711098587651,0,0.0000,0,0.0000,3,0.3115,0,0.0000,0,0.0000,0,0.0000
971,0,909,308.1356,15.4598,49.39736,49.41361681013642,6.904836433800894,0,0.0000,0,0.0000,0,0.0000,1,0.1100,0,0.0000,0,0.0000
938,0,898,304.4068,14.8597,49.500145,49.4135438123708,6.904742172259621,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
280,292,888,301.0169,19.4842,58.651149,49.41253186792546,6.904354981906801,0,0.0000,0,0.0000,1,0.1126,0,0.0000,0,0.0000,0,0.0000
111,846,877,297.2881,16.9339,55.335154,49.41192823182045,6.903215988780427,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
265,0,862,292.2034,16.6717,53.343573,49.41239318789639,6.902760581312995,0,0.0000,0,0.0000,3,0.3480,0,0.0000,0,0.0000,0,0.0000
262,1370,854,289.4915,15.3103,50.166546,49.412320945168304,6.904880220413154,0,0.0000,1,0.1171,0,0.0000,0,0.0000,0,0.0000,0,0.0000
753,0,825,279.6610,15.5527,50.432364,49.41722001299169,6.9029719691224045,0,0.0000,0,0.0000,1,0.1212,0,0.0000,0,0.0000,0,0.0000
371,755,808,273.8983,18.6881,56.586943,49.41307645551216,6.905295263744501,0,0.0000,0,0.0000,3,0.3713,0,0.0000,0,0.0000,0,0.0000
454,0,784,265.7627,17.5293,55.039643,49.412772822132496,6.905002595036096,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
767,0,775,262.7119,16.6374,53.296194,49.41238858515543,6.904349216054908,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
313,0,695,235.5932,17.8273,57.17977,49.413027746106714,6.902940775015994,0,0.0000,0,0.0000,1,0.1439,0,0.0000,0,0.0000,0,0.0000
704,0,683,231.5254,17.0952,53.54489,49.413825838714985,6.904661899832683,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
33,785,669,226.7797,16.7100,52.80858,49.41178262675776,6.903547882635822,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
359,830,663,224.7458,15.6863,50.04549,49.413894650156436,6.904587014261735,1,0.1508,0,0.0000,8,1.2066,0,0.0000,0,0.0000,0,0.0000
30,779,662,224.4068,16.5136,54.414275,49.4120490986459,6.904184478747146,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
554,2063,661,224.0678,15.8593,51.087519,49.41521161219382,6.905793173686001,0,0.0000,0,0.0000,6,0.9077,0,0.0000,0,0.0000,0,0.0000
180,649,659,223.3898,16.4127,53.731214,49.41350624463797,6.904981547127839,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
36,0,656,222.3729,17.5488,53.756768,49.412206948290326,6.904641915435165,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
661,0,644,218.3051,19.3043,59.268541,49.41729527616576,6.9091234062640545,0,0.0000,0,0.0000,2,0.3106,0,0.0000,1,0.1553,0,0.0000
228,229,623,211.1864,15.9679,51.92443,49.41311894466246,6.904772141905754,0,0.0000,0,0.0000,3,0.4815,0,0.0000,0,0.0000,0,0.0000
328,746,621,210.5085,16.3849,52.263414,49.41383799882842,6.905064621903938,1,0.1610,1,0.1610,3,0.4831,0,0.0000,1,0.1610,0,0.0000
221,1280,609,206.4407,15.5452,50.085632,49.41316217913762,6.905266980092154,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1642,2,0.3284
777,0,605,205.0847,16.9983,54.743868,49.4151082075914,6.905386999061703,1,0.1653,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1653
81,655,604,204.7458,17.6755,54.356027,49.411119147887824,6.906446619362879,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
559,0,603,204.4068,15.9801,52.165075,49.41169514041571,6.905084814386672,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1658
335,0,577,195.5932,17.3588,54.284333,49.414425002532404,6.90400845575693,0,0.0000,0,0.0000,3,0.5199,0,0.0000,0,0.0000,0,0.0000
570,0,565,191.5254,15.3912,51.284053,49.41394651823136,6.904941898601362,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
286,0,561,190.1695,17.0838,53.66205,49.41309500683583,6.905004531418588,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
543,0,555,188.1356,17.9748,56.845045,49.413526697151674,6.905506154634122,0,0.0000,0,0.0000,0,0.0000,1,0.1802,0,0.0000,0,0.0000
343,0,543,184.0678,17.3020,57.229503,49.41606281618634,6.905922125522489,1,0.1842,0,0.0000,2,0.3683,0,0.0000,0,0.0000,0,0.0000
19,45,532,180.3390,18.4023,57.168083,49.41245845163058,6.904232916842164,1,0.1880,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
196,0,530,179.6610,17.3358,54.683623,49.41326383241408,6.904789120967026,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
667,0,526,178.3051,17.7738,55.847148,49.41284395023781,6.9040935595372055,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
197,0,525,177.9661,15.4286,50.272952,49.413857363416604,6.905189141518879,0,0.0000,0,0.0000,0,0.0000,1,0.1905,0,0.0000,0,0.0000
588,0,493,167.1186,17.0872,52.932191,49.41326636891836,6.901914263731682,0,0.0000,0,0.0000,0,0.0000,1,0.2028,0,0.0000,0,0.0000
338,0,474,160.6780,19.7405,59.639177,49.413767006044324,6.905046076733337,0,0.0000,0,0.0000,1,0.2110,0,0.0000,0,0.0000,0,0.0000
428,0,458,155.2542,17.0175,54.750109,49.41361177168109,6.903399926496057,0,0.0000,0,0.0000,5,1.0917,0,0.0000,0,0.0000,0,0.0000
520,0,435,147.4576,18.9793,60.485425,49.41224357464065,6.904836824995043,1,0.2299,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
354,911,427,144.7458,15.1030,49.13356,49.413559711831425,6.904977591117339,0,0.0000,0,0.0000,2,0.4684,0,0.0000,0,0.0000,0,0.0000
143,199,419,142.0339,16.8067,53.391528,49.413782423079546,6.904986109640269,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
53,65,413,140.0000,17.1792,53.532688,49.412589460107675,6.903379599503449,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
782,0,393,133.2203,18.6107,56.268015,49.41369664819945,6.905653143812109,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
136,0,361,122.3729,15.1357,51.701773,49.41392023340842,6.906551820872923,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
765,0,350,118.6441,17.9543,58.336314,49.4138694015402,6.903889147562335,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
397,1661,342,115.9322,18.9708,56.640556,49.41257345982252,6.903151607551849,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
345,1568,340,115.2542,17.6441,55.039147,49.41367467259804,6.90473720350285,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
347,1574,339,114.9153,17.8643,58.243304,49.41398391836487,6.904525702479172,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
190,1214,309,104.7458,16.4013,55.059288,49.41229149507478,6.906219491154702,1,0.3236,0,0.0000,2,0.6472,0,0.0000,0,0.0000,0,0.0000
26,49,309,104.7458,17.1230,52.362524,49.410935236439265,6.900578597176705,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
123,247,306,103.7288,19.4248,59.019739,49.41112952427265,6.898440725483081,0,0.0000,0,0.0000,6,1.9608,0,0.0000,0,0.0000,0,0.0000
374,764,283,95.9322,16.8587,52.980035,49.41296811921577,6.905750926362764,0,0.0000,0,0.0000,1,0.3534,0,0.0000,0,0.0000,0,0.0000
42,160,276,93.5593,19.1630,58.502319,49.41154846140119,6.904784599708767,1,0.3623,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
104,224,255,86.4407,16.9882,49.891373,49.416025350210504,6.9056865815721675,0,0.0000,0,0.0000,1,0.3922,0,0.0000,0,0.0000,0,0.0000
302,923,232,78.6441,16.1379,48.295,49.4135461827832,6.904342741905666,0,0.0000,1,0.4310,3,1.2931,0,0.0000,0,0.0000,0,0.0000
200,719,229,77.6271,14.9869,49.422751,49.413741141773656,6.904234084866888,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
281,295,222,75.2542,19.0000,56.996622,49.413057707352486,6.90429303260442,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
529,0,210,71.1864,14.6619,51.915,49.41080183724777,6.90492225339814,0,0.0000,0,0.0000,1,0.4762,0,0.0000,1,0.4762,0,0.0000
372,758,203,68.8136,18.6355,54.12133,49.41410430004201,6.904993668874828,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
113,0,194,65.7627,17.1495,55.762114,49.41206203755847,6.901833878309584,0,0.0000,0,0.0000,3,1.5464,0,0.0000,0,0.0000,0,0.0000
207,803,193,65.4237,18.7047,59.827565,49.41409612178194,6.905882927856385,0,0.0000,0,0.0000,1,0.5181,0,0.0000,0,0.0000,0,0.0000
309,1484,191,64.7458,16.7277,53.205602,49.41594509293377,6.901126498826569,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
242,0,173,58.6441,16.7861,52.549654,49.41370630255364,6.905977556161062,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
305,1472,172,58.3051,16.2500,54.431628,49.41549100386768,6.907287873815701,0,0.0000,0,0.0000,0,0.0000,1,0.5814,0,0.0000,0,0.0000
631,0,169,57.2881,15.7633,51.465917,49.413299240734545,6.906704715424403,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
204,1244,164,55.5932,18.3110,52.425549,49.41278299857278,6.901900583551145,0,0.0000,1,0.6098,5,3.0488,0,0.0000,0,0.0000,0,0.0000
662,0,160,54.2373,18.0063,54.430625,49.415980996071916,6.905300229061586,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
278,0,154,52.2034,18.3312,60.101169,49.40665202124691,6.900388985560367,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
160,1142,153,51.8644,16.4902,51.764641,49.41417917289853,6.904830718929595,1,0.6536,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
157,1133,150,50.8475,17.3667,54.444467,49.41370434818568,6.903177780104528,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
