pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,62183,15278.3784,16.8732,53.770707,38.730756705320175,-9.149073231428568,27,0.0434,11,0.0177,136,0.2187,12,0.0193,13,0.0209,8,0.0129
427,0,55414,13615.2334,19.2352,59.863263,38.73265250997152,-9.149250786031875,22,0.0397,2,0.0036,92,0.1660,7,0.0126,27,0.0487,3,0.0054
194,1226,55219,13567.3219,16.8759,53.545642,38.73054205980159,-9.149315982975443,12,0.0217,6,0.0109,115,0.2083,15,0.0272,12,0.0217,0,0.0000
109,703,48910,12017.1990,18.1643,57.056744,38.73554302742322,-9.150442818469703,22,0.0450,2,0.0041,95,0.1942,3,0.0061,4,0.0082,13,0.0266
27,51,46194,11349.8771,17.4933,55.462749,38.72872595364682,-9.14847528099082,18,0.0390,6,0.0130,90,0.1948,6,0.0130,22,0.0476,8,0.0173
333,0,43105,10590.9091,19.3382,59.945623,38.729859392261574,-9.14875958026224,22,0.0510,1,0.0023,89,0.2065,6,0.0139,2,0.0046,5,0.0116
37,55,41855,10283.7838,16.9525,53.919533,38.72918777188601,-9.149536940661521,9,0.0215,6,0.0143,78,0.1864,11,0.0263,11,0.0263,13,0.0311
41,157,37018,9095.3317,18.6021,58.179204,38.72875906747279,-9.148386568293429,19,0.0513,6,0.0162,67,0.1810,7,0.0189,5,0.0135,2,0.0054
304,1469,34209,8405.1597,16.4147,52.461055,38.73082551285095,-9.150817341663062,10,0.0292,3,0.0088,71,0.2075,7,0.0205,32,0.0935,25,0.0731
206,0,33994,8352.3342,15.5228,50.01719,38.73108266265144,-9.149943735218562,4,0.0118,16,0.0471,67,0.1971,1,0.0029,6,0.0177,0,0.0000
273,625,32823,8064.6192,17.5215,55.365439,38.73101676597022,-9.149040917860235,17,0.0518,3,0.0091,81,0.2468,7,0.0213,4,0.0122,7,0.0213
513,0,31170,7658.4767,17.5552,55.662231,38.731180510635035,-9.149017572777066,9,0.0289,5,0.0160,60,0.1925,7,0.0225,5,0.0160,2,0.0064
557,0,30826,7573.9558,16.9530,54.06127,38.730700395987284,-9.150709825543215,9,0.0292,7,0.0227,64,0.2076,1,0.0032,3,0.0097,6,0.0195
35,0,30479,7488.6978,17.4586,54.985172,38.728808327056186,-9.148391398473537,7,0.0230,7,0.0230,68,0.2231,5,0.0164,6,0.0197,8,0.0262
285,0,30012,7373.9558,16.8917,53.727795,38.72769349420037,-9.155384895851766,12,0.0400,8,0.0267,59,0.1966,15,0.0500,4,0.0133,3,0.0100
237,0,29447,7235.1351,17.2263,54.798563,38.730617278894066,-9.14925745940667,5,0.0170,4,0.0136,61,0.2072,1,0.0034,5,0.0170,5,0.0170
921,0,27747,6817.4447,15.5145,49.916722,38.730963792271176,-9.149099727749654,9,0.0324,6,0.0216,0,0.0000,6,0.0216,18,0.0649,5,0.0180
585,587,25372,6233.9066,17.9760,56.393497,38.73027980224051,-9.149842106946446,11,0.0434,4,0.0158,0,0.0000,3,0.0118,1,0.0039,0,0.0000
158,1136,25091,6164.8649,15.5113,50.150521,38.729942271008106,-9.149430262144335,4,0.0159,5,0.0199,46,0.1833,4,0.0159,10,0.0399,4,0.0159
