pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,9949,3418.9003,17.5584,55.206402,49.51071831824598,6.746649581878696,5,0.0503,0,0.0000,22,0.2211,1,0.0101,1,0.0101,2,0.0201
194,1226,8526,2929.8969,16.8468,53.488427,49.510720522083886,6.74670416943772,3,0.0352,2,0.0235,14,0.1642,3,0.0352,1,0.0117,0,0.0000
285,0,6511,2237.4570,15.7986,50.842511,49.510904844816494,6.745519890944755,1,0.0154,0,0.0000,16,0.2457,3,0.0461,1,0.0154,2,0.0307
333,0,6076,2087.9725,19.4442,60.641527,49.51075206939665,6.74631250257423,2,0.0329,0,0.0000,14,0.2304,3,0.0494,3,0.0494,0,0.0000
41,157,5869,2016.8385,19.0704,58.942438,49.51036695425181,6.748007513780591,4,0.0682,0,0.0000,15,0.2556,0,0.0000,0,0.0000,0,0.0000
37,55,5866,2015.8076,15.8241,51.18423,49.510362604489714,6.747616813760525,1,0.0170,0,0.0000,13,0.2216,2,0.0341,1,0.0170,3,0.0511
427,0,5760,1979.3814,17.0122,53.778531,49.51115372191225,6.745467355765499,1,0.0174,0,0.0000,13,0.2257,2,0.0347,1,0.0174,0,0.0000
170,0,5444,1870.7904,17.0562,54.332627,49.510660462675546,6.7472090292148375,1,0.0184,3,0.0551,7,0.1286,2,0.0367,0,0.0000,1,0.0184
736,0,5216,1792.4399,16.8066,53.650307,49.51079666639675,6.7465155716851655,1,0.0192,2,0.0383,9,0.1725,2,0.0383,6,0.1150,1,0.0192
921,0,5026,1727.1478,16.3828,52.608707,49.510716946275174,6.746463298853011,1,0.0199,1,0.0199,0,0.0000,3,0.0597,4,0.0796,0,0.0000
92,0,4856,1668.7285,16.8386,53.552566,49.50921838949079,6.748508584611976,0,0.0000,1,0.0206,12,0.2471,2,0.0412,1,0.0206,1,0.0206
287,0,4698,1614.4330,16.8806,53.805886,49.50995704950158,6.744366745561796,4,0.0851,0,0.0000,12,0.2554,1,0.0213,0,0.0000,0,0.0000
206,0,4407,1514.4330,20.3821,63.406172,49.51049041526193,6.747456056913522,3,0.0681,0,0.0000,6,0.1361,0,0.0000,0,0.0000,0,0.0000
237,0,4172,1433.6770,16.5777,52.844935,49.5106196649688,6.7468302408326,0,0.0000,0,0.0000,17,0.4075,1,0.0240,1,0.0240,0,0.0000
