pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
194,1226,14751,4566.8731,17.5046,55.466255,41.23069110278923,-8.618098964401431,7,0.0475,2,0.0136,34,0.2305,1,0.0068,3,0.0203,0,0.0000
915,0,14581,4514.2415,16.3978,52.279312,41.23100391297219,-8.61808949934657,2,0.0137,2,0.0137,24,0.1646,6,0.0411,4,0.0274,4,0.0274
427,0,13422,4155.4180,15.6755,51.05837,41.23100921367596,-8.616964655819608,2,0.0149,0,0.0000,34,0.2533,8,0.0596,7,0.0522,2,0.0149
27,51,12218,3782.6625,18.0450,56.862,41.229926825070834,-8.617639540226667,7,0.0573,1,0.0082,28,0.2292,4,0.0327,8,0.0655,3,0.0246
513,0,11740,3634.6749,17.9881,57.14196,41.23060845472042,-8.61866133522191,6,0.0511,2,0.0170,22,0.1874,0,0.0000,0,0.0000,1,0.0085
37,55,11081,3430.6502,17.3654,55.174502,41.23077886788817,-8.617467736272355,6,0.0541,0,0.0000,24,0.2166,0,0.0000,3,0.0271,7,0.0632
304,1469,9702,3003.7152,16.0821,51.533706,41.225935995914455,-8.616623637093852,5,0.0515,2,0.0206,12,0.1237,2,0.0206,7,0.0722,4,0.0412
273,625,9361,2898.1424,17.9775,56.90535,41.231566569021055,-8.617424746552068,4,0.0427,2,0.0214,15,0.1602,3,0.0320,1,0.0107,1,0.0107
206,0,9043,2799.6904,15.4617,50.01046,41.23068550494104,-8.617324288885893,3,0.0332,6,0.0663,19,0.2101,0,0.0000,3,0.0332,0,0.0000
684,0,8833,2734.6749,17.6642,55.697657,41.230236374246864,-8.617288095407611,5,0.0566,1,0.0113,20,0.2264,0,0.0000,1,0.0113,5,0.0566
41,157,8825,2732.1981,17.9117,56.511457,41.229309325880806,-8.617711200755403,4,0.0453,3,0.0340,19,0.2153,0,0.0000,0,0.0000,1,0.0113
333,0,8395,2599.0712,18.7189,58.444593,41.22952967729699,-8.617520091728155,7,0.0834,2,0.0238,19,0.2263,2,0.0238,1,0.0119,0,0.0000
453,0,8282,2564.0867,18.3674,57.378502,41.23327690188399,-8.617990342847136,4,0.0483,0,0.0000,14,0.1690,0,0.0000,3,0.0362,2,0.0241
237,0,7956,2463.1579,17.5674,55.547798,41.23059463740697,-8.61785644507846,2,0.0251,1,0.0126,13,0.1634,2,0.0251,0,0.0000,2,0.0251
170,0,7423,2298.1424,16.2040,51.377494,41.23068528305548,-8.618228544841715,3,0.0404,2,0.0269,20,0.2694,0,0.0000,0,0.0000,3,0.0404
921,0,7304,2261.3003,15.7955,50.798324,41.23109372032826,-8.617987180477103,0,0.0000,0,0.0000,0,0.0000,4,0.0548,4,0.0548,2,0.0274
285,0,7272,2251.3932,17.3687,54.620095,41.231493881261116,-8.615982046779797,1,0.0138,2,0.0275,13,0.1788,2,0.0275,2,0.0275,3,0.0413
109,703,7236,2240.2477,18.0815,56.903796,41.231043808759644,-8.618988328457757,4,0.0553,2,0.0276,14,0.1935,0,0.0000,1,0.0138,2,0.0276
35,0,7197,2228.1734,17.4363,54.904107,41.230430095699745,-8.616685679013079,1,0.0139,0,0.0000,9,0.1251,1,0.0139,1,0.0139,0,0.0000
736,0,6925,2143.9628,15.8370,51.401872,41.231349758855586,-8.617220631453776,1,0.0144,2,0.0289,17,0.2455,2,0.0289,0,0.0000,1,0.0144
585,587,6446,1995.6656,17.8261,56.417107,41.23109985877524,-8.617398267419281,3,0.0465,2,0.0310,0,0.0000,2,0.0310,0,0.0000,2,0.0310
263,946,6249,1934.6749,15.9798,51.375319,41.230920457348454,-8.617574421871785,1,0.0160,1,0.0160,83,1.3282,3,0.0480,5,0.0800,0,0.0000
152,1118,6175,1911.7647,17.3913,55.320891,41.2309739868805,-8.617703175299102,3,0.0486,1,0.0162,7,0.1134,2,0.0324,0,0.0000,0,0.0000
158,1136,6075,1880.8050,15.5985,50.588033,41.23094311630111,-8.617900341703145,2,0.0329,2,0.0329,8,0.1317,1,0.0165,5,0.0823,2,0.0329
155,1127,5927,1834.9845,17.4129,55.298343,41.23130860777214,-8.618432141273253,8,0.1350,3,0.0506,9,0.1518,0,0.0000,2,0.0337,1,0.0169
554,2063,5447,1686.3777,17.5166,55.441315,41.226196567559526,-8.617244978462582,4,0.0734,0,0.0000,10,0.1836,0,0.0000,4,0.0734,0,0.0000
909,0,5325,1648.6068,18.4359,57.536143,41.23080446628056,-8.617518863244968,1,0.0188,3,0.0563,0,0.0000,0,0.0000,2,0.0376,1,0.0188
16,0,5321,1647.3684,18.0475,56.524922,41.23506727078982,-8.615572349844944,1,0.0188,1,0.0188,11,0.2067,1,0.0188,1,0.0188,2,0.0376
