"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"194"	"1226"	"14751"	"2.7825"	"8.722637890896259000"	"0.410241047036005060"	"3.0027"	"8.3609"	"8.3236"	"8.2752"	"17.5046"	"55.466255"	"41.230691102789230000"	"-8.618098964401431000"	"7"	"0.0475"	"2"	"0.0136"	"34"	"0.2305"	"1"	"0.0068"	"3"	"0.0203"	"0"	"0.0000"
"915"	"0"	"14581"	"2.7504"	"10.447924264884225000"	"0.499541632922307350"	"3.0005"	"7.8743"	"7.7947"	"7.8567"	"16.3978"	"52.279312"	"41.231003912972190000"	"-8.618089499346570000"	"2"	"0.0137"	"2"	"0.0137"	"24"	"0.1646"	"6"	"0.0411"	"4"	"0.0274"	"4"	"0.0274"
"427"	"0"	"13422"	"2.5318"	"5.646217086039195000"	"0.399913049118508170"	"2.9986"	"7.6430"	"7.7362"	"7.5971"	"15.6755"	"51.058370"	"41.231009213675960000"	"-8.616964655819608000"	"2"	"0.0149"	"0"	"0.0000"	"34"	"0.2533"	"8"	"0.0596"	"7"	"0.0522"	"2"	"0.0149"
"27"	"51"	"12218"	"2.3047"	"12.325082891941305000"	"0.600142777456617900"	"2.9990"	"8.5464"	"8.4768"	"8.5647"	"18.0450"	"56.862000"	"41.229926825070834000"	"-8.617639540226667000"	"7"	"0.0573"	"1"	"0.0082"	"28"	"0.2292"	"4"	"0.0327"	"8"	"0.0655"	"3"	"0.0246"
"513"	"0"	"11740"	"2.2145"	"11.285958299059840000"	"0.599679776092869800"	"2.9962"	"8.6565"	"8.5345"	"8.5229"	"17.9881"	"57.141960"	"41.230608454720420000"	"-8.618661335221910000"	"6"	"0.0511"	"2"	"0.0170"	"22"	"0.1874"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0085"
"37"	"55"	"11081"	"2.0902"	"10.153459307945264000"	"0.600299355420555900"	"3.0004"	"8.2835"	"8.2465"	"8.2985"	"17.3654"	"55.174502"	"41.230778867888170000"	"-8.617467736272355000"	"6"	"0.0541"	"0"	"0.0000"	"24"	"0.2166"	"0"	"0.0000"	"3"	"0.0271"	"7"	"0.0632"
"304"	"1469"	"9702"	"1.8301"	"61.694051309271660000"	"0.411173191323477100"	"2.9997"	"7.6979"	"7.7343"	"7.7580"	"16.0821"	"51.533706"	"41.225935995914455000"	"-8.616623637093852000"	"5"	"0.0515"	"2"	"0.0206"	"12"	"0.1237"	"2"	"0.0206"	"7"	"0.0722"	"4"	"0.0412"
"273"	"625"	"9361"	"1.7658"	"4.079782540908552000"	"0.509543017996206300"	"2.9965"	"8.4678"	"8.5622"	"8.5774"	"17.9775"	"56.905350"	"41.231566569021055000"	"-8.617424746552068000"	"4"	"0.0427"	"2"	"0.0214"	"15"	"0.1602"	"3"	"0.0320"	"1"	"0.0107"	"1"	"0.0107"
"206"	"0"	"9043"	"1.7058"	"14.386580752417434000"	"1.500462104693100800"	"2.9958"	"7.4991"	"7.5128"	"7.4929"	"15.4617"	"50.010460"	"41.230685504941040000"	"-8.617324288885893000"	"3"	"0.0332"	"6"	"0.0663"	"19"	"0.2101"	"0"	"0.0000"	"3"	"0.0332"	"0"	"0.0000"
"684"	"0"	"8833"	"1.6662"	"3.582420992935179000"	"0.399420023340094470"	"3.0012"	"8.3494"	"8.3516"	"8.3630"	"17.6642"	"55.697657"	"41.230236374246864000"	"-8.617288095407611000"	"5"	"0.0566"	"1"	"0.0113"	"20"	"0.2264"	"0"	"0.0000"	"1"	"0.0113"	"5"	"0.0566"
"41"	"157"	"8825"	"1.6647"	"7.702282525831174000"	"0.800849422510217300"	"2.9995"	"8.4803"	"8.5050"	"8.4448"	"17.9117"	"56.511457"	"41.229309325880806000"	"-8.617711200755403000"	"4"	"0.0453"	"3"	"0.0340"	"19"	"0.2153"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0113"
"333"	"0"	"8395"	"1.5835"	"1.229139251193261300"	"0.409677764960101050"	"3.0018"	"8.8179"	"8.7888"	"8.6934"	"18.7189"	"58.444593"	"41.229529677296990000"	"-8.617520091728155000"	"7"	"0.0834"	"2"	"0.0238"	"19"	"0.2263"	"2"	"0.0238"	"1"	"0.0119"	"0"	"0.0000"
"453"	"0"	"8282"	"1.5622"	"23.631089763147560000"	"0.699741052811122100"	"3.0012"	"8.6369"	"8.5730"	"8.6104"	"18.3674"	"57.378502"	"41.233276901883990000"	"-8.617990342847136000"	"4"	"0.0483"	"0"	"0.0000"	"14"	"0.1690"	"0"	"0.0000"	"3"	"0.0362"	"2"	"0.0241"
"237"	"0"	"7956"	"1.5007"	"49.166427399049180000"	"1.399233020357881600"	"2.9997"	"8.3278"	"8.3248"	"8.3439"	"17.5674"	"55.547798"	"41.230594637406970000"	"-8.617856445078460000"	"2"	"0.0251"	"1"	"0.0126"	"13"	"0.1634"	"2"	"0.0251"	"0"	"0.0000"	"2"	"0.0251"
"170"	"0"	"7423"	"1.4002"	"12.350026777635520000"	"0.510963692077174600"	"3.0027"	"7.7157"	"7.7443"	"7.6598"	"16.2040"	"51.377494"	"41.230685283055480000"	"-8.618228544841715000"	"3"	"0.0404"	"2"	"0.0269"	"20"	"0.2694"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.0404"
"921"	"0"	"7304"	"1.3778"	"2.566957397077015000"	"0.300713284590719050"	"3.0037"	"7.5930"	"7.6225"	"7.6438"	"15.7955"	"50.798324"	"41.231093720328260000"	"-8.617987180477103000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"4"	"0.0548"	"4"	"0.0548"	"2"	"0.0274"
"285"	"0"	"7272"	"1.3717"	"4.622252549610403000"	"0.409974472897039300"	"2.9982"	"8.1940"	"8.2159"	"8.1691"	"17.3687"	"54.620095"	"41.231493881261116000"	"-8.615982046779797000"	"1"	"0.0138"	"2"	"0.0275"	"13"	"0.1788"	"2"	"0.0275"	"2"	"0.0275"	"3"	"0.0413"
"109"	"703"	"7236"	"1.3649"	"1.029898863650580100"	"0.602079856692508100"	"3.0024"	"8.5775"	"8.5158"	"8.5134"	"18.0815"	"56.903796"	"41.231043808759644000"	"-8.618988328457757000"	"4"	"0.0553"	"2"	"0.0276"	"14"	"0.1935"	"0"	"0.0000"	"1"	"0.0138"	"2"	"0.0276"
"35"	"0"	"7197"	"1.3576"	"7.727534540980288000"	"0.602183525225949000"	"3.0064"	"8.2256"	"8.2708"	"8.2104"	"17.4363"	"54.904107"	"41.230430095699745000"	"-8.616685679013079000"	"1"	"0.0139"	"0"	"0.0000"	"9"	"0.1251"	"1"	"0.0139"	"1"	"0.0139"	"0"	"0.0000"
"736"	"0"	"6925"	"1.3063"	"4.524639673359641500"	"0.400817147148723240"	"3.0049"	"7.7196"	"7.6462"	"7.7651"	"15.8370"	"51.401872"	"41.231349758855586000"	"-8.617220631453776000"	"1"	"0.0144"	"2"	"0.0289"	"17"	"0.2455"	"2"	"0.0289"	"0"	"0.0000"	"1"	"0.0144"
"585"	"587"	"6446"	"1.2159"	"20.105527199097523000"	"0.601302827430446700"	"2.9986"	"8.5126"	"8.4226"	"8.4525"	"17.8261"	"56.417107"	"41.231099858775240000"	"-8.617398267419281000"	"3"	"0.0465"	"2"	"0.0310"	"0"	"0.0000"	"2"	"0.0310"	"0"	"0.0000"	"2"	"0.0310"
"263"	"946"	"6249"	"1.1787"	"17.939883445837010000"	"0.400196732254250840"	"3.0019"	"7.6331"	"7.7552"	"7.7307"	"15.9798"	"51.375319"	"41.230920457348454000"	"-8.617574421871785000"	"1"	"0.0160"	"1"	"0.0160"	"83"	"1.3282"	"3"	"0.0480"	"5"	"0.0800"	"0"	"0.0000"
"152"	"1118"	"6175"	"1.1648"	"6.611390602290823500"	"0.891017060690619300"	"2.9956"	"8.2703"	"8.3377"	"8.2865"	"17.3913"	"55.320891"	"41.230973986880500000"	"-8.617703175299102000"	"3"	"0.0486"	"1"	"0.0162"	"7"	"0.1134"	"2"	"0.0324"	"0"	"0.0000"	"0"	"0.0000"
"158"	"1136"	"6075"	"1.1459"	"9.722935719475116000"	"0.608860306626021800"	"2.9995"	"7.6489"	"7.5366"	"7.5791"	"15.5985"	"50.588033"	"41.230943116301110000"	"-8.617900341703145000"	"2"	"0.0329"	"2"	"0.0329"	"8"	"0.1317"	"1"	"0.0165"	"5"	"0.0823"	"2"	"0.0329"
"155"	"1127"	"5927"	"1.1180"	"8.140170241102860000"	"0.511542968941467700"	"2.9992"	"8.2450"	"8.3077"	"8.3315"	"17.4129"	"55.298343"	"41.231308607772140000"	"-8.618432141273253000"	"8"	"0.1350"	"3"	"0.0506"	"9"	"0.1518"	"0"	"0.0000"	"2"	"0.0337"	"1"	"0.0169"
"554"	"2063"	"5447"	"1.0275"	"38.469811955452144000"	"0.601074579862751400"	"3.0033"	"8.2458"	"8.3330"	"8.3697"	"17.5166"	"55.441315"	"41.226196567559526000"	"-8.617244978462582000"	"4"	"0.0734"	"0"	"0.0000"	"10"	"0.1836"	"0"	"0.0000"	"4"	"0.0734"	"0"	"0.0000"
"909"	"0"	"5325"	"1.0045"	"10.049926005668260000"	"0.400285267646013130"	"3.0077"	"8.5733"	"8.5801"	"8.7378"	"18.4359"	"57.536143"	"41.230804466280560000"	"-8.617518863244968000"	"1"	"0.0188"	"3"	"0.0563"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0376"	"1"	"0.0188"
"16"	"0"	"5321"	"1.0037"	"1.835497848835756300"	"0.299601412353650560"	"2.9991"	"8.5523"	"8.4851"	"8.3988"	"18.0475"	"56.524922"	"41.235067270789820000"	"-8.615572349844944000"	"1"	"0.0188"	"1"	"0.0188"	"11"	"0.2067"	"1"	"0.0188"	"1"	"0.0188"	"2"	"0.0376"
"747"	"0"	"5320"	"1.0035"	"8.232293424627532000"	"0.401240335831073200"	"3.0116"	"8.8917"	"8.8502"	"9.0032"	"19.1703"	"59.433619"	"41.230200917801746000"	"-8.617999303262199000"	"3"	"0.0564"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0188"	"0"	"0.0000"
"906"	"0"	"5271"	"0.9943"	"4.206508496591023000"	"0.399912992837883200"	"3.0034"	"8.7283"	"8.6688"	"8.5870"	"18.5428"	"57.742328"	"41.230459993778325000"	"-8.617567121944846000"	"1"	"0.0190"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0190"	"0"	"0.0000"
"590"	"0"	"5137"	"0.9690"	"1.029152694005092300"	"0.200195087272374780"	"3.0004"	"8.9708"	"9.0350"	"8.9634"	"19.1365"	"59.931635"	"41.230839798161240000"	"-8.617780679048215000"	"3"	"0.0584"	"1"	"0.0195"	"7"	"0.1363"	"0"	"0.0000"	"1"	"0.0195"	"3"	"0.0584"
"919"	"0"	"4994"	"0.9420"	"1.024871312452019700"	"0.199728624165669640"	"2.9946"	"7.6101"	"7.6197"	"7.6143"	"15.7401"	"50.764962"	"41.232324367888204000"	"-8.617212425009420000"	"1"	"0.0200"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0200"	"0"	"0.0000"	"2"	"0.0400"
"506"	"0"	"4986"	"0.9405"	"4.217116416147866000"	"0.400579986730116630"	"2.9982"	"7.9360"	"7.9240"	"7.8933"	"16.4617"	"52.785126"	"41.234098753864340000"	"-8.618034575507298000"	"6"	"0.1203"	"2"	"0.0401"	"6"	"0.1203"	"1"	"0.0201"	"1"	"0.0201"	"1"	"0.0201"
"261"	"1367"	"4847"	"0.9143"	"13.928848166886700000"	"0.509103100149991800"	"2.9983"	"7.5280"	"7.4481"	"7.5055"	"15.3351"	"49.958956"	"41.230418712250945000"	"-8.614799790045982000"	"0"	"0.0000"	"1"	"0.0206"	"10"	"0.2063"	"3"	"0.0619"	"2"	"0.0413"	"0"	"0.0000"
"519"	"0"	"4704"	"0.8873"	"2.143442450924029500"	"0.299867527069899000"	"2.9925"	"8.5478"	"8.6520"	"8.5676"	"18.4834"	"57.261023"	"41.229787444824204000"	"-8.618058735337764000"	"1"	"0.0213"	"1"	"0.0213"	"9"	"0.1913"	"2"	"0.0425"	"0"	"0.0000"	"0"	"0.0000"
"274"	"628"	"4438"	"0.8371"	"28.859240084644693000"	"0.992812139344064900"	"3.0005"	"8.5487"	"8.4651"	"8.5635"	"17.9885"	"56.838452"	"41.231045699257855000"	"-8.617898686814303000"	"0"	"0.0000"	"2"	"0.0451"	"0"	"0.0000"	"1"	"0.0225"	"0"	"0.0000"	"1"	"0.0225"
"557"	"0"	"4410"	"0.8319"	"14.891992196549069000"	"0.299973636140877600"	"2.9977"	"8.0170"	"7.9837"	"8.0168"	"16.8787"	"53.372168"	"41.228023519329040000"	"-8.617027107690280000"	"1"	"0.0227"	"1"	"0.0227"	"16"	"0.3628"	"2"	"0.0454"	"1"	"0.0227"	"1"	"0.0227"
"731"	"0"	"4277"	"0.8068"	"1.230614936143495300"	"0.299546889495978200"	"2.9993"	"8.5067"	"8.4276"	"8.3318"	"17.5995"	"56.146855"	"41.234585764064530000"	"-8.617015421439751000"	"1"	"0.0234"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0468"	"0"	"0.0000"	"1"	"0.0234"
"912"	"0"	"4136"	"0.7802"	"6.249885635598368500"	"0.499991580676986000"	"3.0049"	"7.6267"	"7.6564"	"7.5273"	"15.6013"	"50.689949"	"41.230882324615735000"	"-8.617460494459390000"	"1"	"0.0242"	"2"	"0.0484"	"0"	"0.0000"	"1"	"0.0242"	"0"	"0.0000"	"1"	"0.0242"
"431"	"0"	"4130"	"0.7790"	"4.025950081574177000"	"0.500859047802008000"	"3.0002"	"7.9092"	"7.8591"	"8.0034"	"16.5564"	"52.825961"	"41.232802220299640000"	"-8.618109370997063000"	"1"	"0.0242"	"0"	"0.0000"	"8"	"0.1937"	"0"	"0.0000"	"1"	"0.0242"	"0"	"0.0000"
"25"	"598"	"4086"	"0.7707"	"6.180222100511040000"	"0.401223482764346600"	"3.0110"	"7.8627"	"7.7641"	"7.6500"	"15.9780"	"51.726133"	"41.230673850540754000"	"-8.617519030055076000"	"1"	"0.0245"	"1"	"0.0245"	"5"	"0.1224"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0489"
"702"	"0"	"4017"	"0.7577"	"2.277321868172575300"	"0.200709694804849880"	"3.0018"	"8.4324"	"8.5265"	"8.5141"	"18.0408"	"56.606674"	"41.229532814627640000"	"-8.617404749925040000"	"2"	"0.0498"	"1"	"0.0249"	"6"	"0.1494"	"1"	"0.0249"	"1"	"0.0249"	"0"	"0.0000"
"287"	"0"	"3869"	"0.7298"	"24.610335199112230000"	"0.790546585352586200"	"2.9997"	"7.8023"	"7.7883"	"7.6562"	"16.2189"	"51.659620"	"41.231537010050170000"	"-8.617242933421368000"	"2"	"0.0517"	"2"	"0.0517"	"9"	"0.2326"	"0"	"0.0000"	"1"	"0.0258"	"1"	"0.0258"
"777"	"0"	"3826"	"0.7217"	"3.407836899918496000"	"0.301189550301552800"	"2.9984"	"7.6830"	"7.6466"	"7.7535"	"15.8586"	"51.295847"	"41.225841471020360000"	"-8.617478708666248000"	"3"	"0.0784"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0523"	"3"	"0.0784"
"13"	"616"	"3806"	"0.7179"	"3.302749408449257000"	"0.300825631895000000"	"3.0037"	"8.5462"	"8.5068"	"8.5321"	"17.8079"	"56.855781"	"41.233096479202070000"	"-8.616603601199385000"	"1"	"0.0263"	"1"	"0.0263"	"6"	"0.1576"	"2"	"0.0525"	"2"	"0.0525"	"1"	"0.0263"
"265"	"0"	"3790"	"0.7149"	"3.662245968381353700"	"0.298830637078887900"	"2.9952"	"7.6182"	"7.5533"	"7.4617"	"15.5544"	"50.296158"	"41.233127796978510000"	"-8.613662598093505000"	"2"	"0.0528"	"0"	"0.0000"	"11"	"0.2902"	"1"	"0.0264"	"1"	"0.0264"	"0"	"0.0000"
"163"	"0"	"3697"	"0.6974"	"21.881206664453497000"	"0.710966039992101100"	"2.9992"	"8.2053"	"8.3089"	"8.2302"	"17.2626"	"54.987498"	"41.235209691341010000"	"-8.614739458367978000"	"2"	"0.0541"	"0"	"0.0000"	"7"	"0.1893"	"1"	"0.0270"	"0"	"0.0000"	"0"	"0.0000"
