pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
427,0,27205,7862.7168,15.8425,50.783634,41.17031716203754,-8.676957515500037,5,0.0184,3,0.0110,47,0.1728,12,0.0441,20,0.0735,1,0.0037
109,703,20226,5845.6647,18.5220,57.967651,41.17312850843962,-8.676326704602213,10,0.0494,4,0.0198,40,0.1978,4,0.0198,0,0.0000,8,0.0396
194,1226,19462,5624.8555,18.3158,56.996203,41.171073282383574,-8.676616359325847,10,0.0514,1,0.0051,39,0.2004,3,0.0154,0,0.0000,0,0.0000
915,0,19342,5590.1734,16.4141,52.143888,41.17151749955812,-8.676655886654245,4,0.0207,5,0.0259,36,0.1861,4,0.0207,3,0.0155,2,0.0103
27,51,15404,4452.0231,18.7728,58.867266,41.16733122875659,-8.673342029509385,7,0.0454,4,0.0260,21,0.1363,1,0.0065,11,0.0714,0,0.0000
513,0,13598,3930.0578,18.9595,59.098097,41.17128101667385,-8.676601938565133,6,0.0441,0,0.0000,26,0.1912,0,0.0000,0,0.0000,1,0.0074
273,625,13279,3837.8613,18.9447,59.08829,41.17107788377635,-8.676244254239638,6,0.0452,2,0.0151,21,0.1581,1,0.0075,0,0.0000,2,0.0151
453,0,13121,3792.1965,18.4415,58.022836,41.17183475581145,-8.67727378747374,6,0.0457,2,0.0152,21,0.1600,1,0.0076,3,0.0229,1,0.0076
37,55,12174,3518.4971,18.2072,57.202795,41.172202800696134,-8.677819996178917,6,0.0493,1,0.0082,16,0.1314,1,0.0082,1,0.0082,7,0.0575
155,1127,11346,3279.1908,18.2710,57.138119,41.1672528987697,-8.670580655620153,10,0.0881,0,0.0000,18,0.1586,4,0.0353,3,0.0264,3,0.0264
206,0,10970,3170.5202,15.5422,49.881492,41.17056243855321,-8.676780372095656,4,0.0365,4,0.0365,13,0.1185,0,0.0000,1,0.0091,0,0.0000
237,0,10777,3114.7399,17.7013,55.638245,41.17103831250386,-8.67638603784886,0,0.0000,0,0.0000,27,0.2505,0,0.0000,2,0.0186,0,0.0000
921,0,9728,2811.5607,15.6596,50.397663,41.17138599977761,-8.676635774411393,5,0.0514,2,0.0206,0,0.0000,6,0.0617,11,0.1131,5,0.0514
170,0,9704,2804.6243,15.7958,50.982014,41.171242405930094,-8.677190279356983,6,0.0618,0,0.0000,21,0.2164,5,0.0515,1,0.0103,6,0.0618
585,587,9618,2779.7688,18.5848,58.141181,41.17182556743732,-8.67652559396245,4,0.0416,0,0.0000,0,0.0000,0,0.0000,2,0.0208,0,0.0000
285,0,8896,2571.0983,18.2566,57.105784,41.17151683047496,-8.676508701972825,5,0.0562,2,0.0225,20,0.2248,3,0.0337,1,0.0112,1,0.0112
158,1136,8606,2487.2832,15.6244,50.583027,41.17177197406263,-8.67627122924244,2,0.0232,1,0.0116,15,0.1743,1,0.0116,2,0.0232,2,0.0232
263,946,8507,2458.6705,15.8013,51.009235,41.17152277053367,-8.676715957443328,3,0.0353,4,0.0470,135,1.5869,5,0.0588,3,0.0353,0,0.0000
152,1118,8353,2414.1618,18.0718,56.849811,41.17169488729504,-8.676871711992048,6,0.0718,1,0.0120,14,0.1676,0,0.0000,1,0.0120,1,0.0120
41,157,8312,2402.3121,17.6089,55.303206,41.1702162575956,-8.676072100365305,1,0.0120,5,0.0602,18,0.2166,3,0.0361,2,0.0241,2,0.0241
590,0,8064,2330.6358,19.9640,61.324411,41.17114434909928,-8.676208538121092,3,0.0372,1,0.0124,17,0.2108,2,0.0248,1,0.0124,3,0.0372
304,1469,7660,2213.8728,15.8397,51.239631,41.16743865832446,-8.670960695661929,3,0.0392,0,0.0000,21,0.2742,3,0.0392,7,0.0914,5,0.0653
906,0,7631,2205.4913,18.7192,58.882037,41.17120509079296,-8.676387595000898,7,0.0917,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
557,0,7601,2196.8208,16.3748,52.051026,41.16960013782412,-8.67367023173926,4,0.0526,4,0.0526,24,0.3157,0,0.0000,2,0.0263,4,0.0526
909,0,7558,2184.3931,18.7589,58.888018,41.171097830453064,-8.67642985487502,4,0.0529,1,0.0132,0,0.0000,0,0.0000,4,0.0529,1,0.0132
684,0,7556,2183.8150,17.7403,55.928767,41.17246825229521,-8.677388021793808,4,0.0529,1,0.0132,18,0.2382,0,0.0000,1,0.0132,4,0.0529
506,0,7383,2133.8150,16.1207,51.732985,41.17419739140887,-8.677117347645044,1,0.0135,1,0.0135,12,0.1625,4,0.0542,2,0.0271,2,0.0271
261,1367,7374,2131.2139,15.3937,49.630547,41.17063105805969,-8.67803315419733,2,0.0271,2,0.0271,11,0.1492,2,0.0271,1,0.0136,0,0.0000
333,0,7208,2083.2370,17.6490,55.50775,41.17013916001328,-8.673610061875323,2,0.0277,2,0.0277,12,0.1665,2,0.0277,3,0.0416,3,0.0416
35,0,6810,1968.2081,17.4599,55.179714,41.16882690951935,-8.673944158168805,4,0.0587,2,0.0294,9,0.1322,0,0.0000,0,0.0000,1,0.0147
736,0,6601,1907.8035,15.7928,50.864039,41.171757046845535,-8.67687174686202,2,0.0303,1,0.0151,23,0.3484,4,0.0606,3,0.0454,2,0.0303
274,628,6427,1857.5145,18.9020,59.204435,41.17076962080443,-8.675954941155483,6,0.0934,0,0.0000,0,0.0000,2,0.0311,0,0.0000,0,0.0000
747,0,6098,1762.4277,19.3434,60.30207,41.17143367683238,-8.678614523449353,4,0.0656,0,0.0000,0,0.0000,2,0.0328,0,0.0000,0,0.0000
519,0,6062,1752.0231,17.0990,54.133516,41.17142887397098,-8.676566122570373,1,0.0165,0,0.0000,19,0.3134,2,0.0330,2,0.0330,1,0.0165
316,0,6044,1746.8208,17.6575,55.601147,41.17097971119354,-8.676704879950236,1,0.0165,0,0.0000,14,0.2316,1,0.0165,1,0.0165,0,0.0000
702,0,6043,1746.5318,17.8481,56.649219,41.171578420230006,-8.675605141978345,0,0.0000,0,0.0000,15,0.2482,0,0.0000,0,0.0000,0,0.0000
16,0,5825,1683.5260,16.9538,54.145928,41.17650861073321,-8.67976488362507,4,0.0687,0,0.0000,5,0.0858,3,0.0515,3,0.0515,5,0.0858
133,0,5651,1633.2370,16.2470,51.778454,41.17163758895015,-8.67630730063859,3,0.0531,2,0.0354,8,0.1416,4,0.0708,4,0.0708,12,0.2124
919,0,5559,1606.6474,15.7983,50.456291,41.174316526220245,-8.6805679571101,3,0.0540,2,0.0360,0,0.0000,2,0.0360,1,0.0180,0,0.0000
912,0,5553,1604.9133,15.5408,50.834212,41.171111240033376,-8.676144830325159,3,0.0540,2,0.0360,0,0.0000,3,0.0540,1,0.0180,1,0.0180
580,0,5388,1557.2254,16.1969,51.551591,41.17160136135937,-8.675871660969786,2,0.0371,2,0.0371,0,0.0000,0,0.0000,2,0.0371,2,0.0371
434,791,4971,1436.7052,17.4681,55.352197,41.172588961231206,-8.676592525716408,3,0.0604,1,0.0201,0,0.0000,0,0.0000,0,0.0000,2,0.0402
122,1080,4866,1406.3584,18.1808,56.86723,41.17456727606273,-8.678457739904992,3,0.0617,0,0.0000,10,0.2055,0,0.0000,1,0.0206,4,0.0822
179,646,4854,1402.8902,15.9279,50.297619,41.17105762628335,-8.678049672436396,4,0.0824,1,0.0206,9,0.1854,0,0.0000,4,0.0824,3,0.0618
431,0,4811,1390.4624,16.1152,51.685712,41.17272402838593,-8.678288546858019,1,0.0208,1,0.0208,7,0.1455,1,0.0208,3,0.0624,0,0.0000
574,0,4790,1384.3931,15.6236,49.841762,41.171741658000904,-8.6770050100187,0,0.0000,3,0.0626,5,0.1044,2,0.0418,2,0.0418,1,0.0209
527,0,4569,1320.5202,15.8558,51.282272,41.17181614904723,-8.676926014888322,0,0.0000,0,0.0000,14,0.3064,1,0.0219,1,0.0219,0,0.0000
731,0,4563,1318.7861,17.2507,53.553895,41.17778860335217,-8.683180709694632,2,0.0438,2,0.0438,0,0.0000,1,0.0219,2,0.0438,2,0.0438
110,706,4493,1298.5549,18.3637,57.799041,41.17438606048681,-8.676175465968168,4,0.0890,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0445
592,2330,4427,1279.4798,15.4416,49.806533,41.17267926099928,-8.678334636808403,1,0.0226,0,0.0000,6,0.1355,0,0.0000,1,0.0226,1,0.0226
539,0,4366,1261.8497,17.4102,55.309219,41.170135811060945,-8.67428665999287,1,0.0229,2,0.0458,6,0.1374,0,0.0000,1,0.0229,1,0.0229
25,598,4352,1257.8035,15.9299,50.375862,41.17218969135056,-8.678251256030993,1,0.0230,0,0.0000,7,0.1608,3,0.0689,1,0.0230,1,0.0230
