pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
109,703,43519,11362.6632,18.0220,56.962793,38.77293949106694,-9.136307816208634,21,0.0483,5,0.0115,88,0.2022,4,0.0092,3,0.0069,21,0.0483
915,0,43019,11232.1149,16.9614,53.960576,38.77788278027388,-9.14218730057626,18,0.0418,7,0.0163,83,0.1929,9,0.0209,4,0.0093,6,0.0139
427,0,39912,10420.8877,19.4344,60.273997,38.77762634887657,-9.140512702944868,12,0.0301,0,0.0000,91,0.2280,4,0.0100,16,0.0401,2,0.0050
194,1226,37926,9902.3499,16.7814,53.542032,38.777755166007005,-9.142609763899085,18,0.0475,12,0.0316,79,0.2083,6,0.0158,7,0.0185,0,0.0000
333,0,28924,7551.9582,19.3039,59.881059,38.779529495625624,-9.14342286445098,11,0.0380,5,0.0173,60,0.2074,2,0.0069,1,0.0035,2,0.0069
27,51,27071,7068.1462,17.5685,55.342876,38.78045241230158,-9.145232113990245,6,0.0222,3,0.0111,54,0.1995,2,0.0074,9,0.0332,4,0.0148
37,55,26359,6882.2454,16.9593,53.74249,38.77774132125112,-9.141045495809745,8,0.0304,3,0.0114,46,0.1745,1,0.0038,4,0.0152,8,0.0304
304,1469,25555,6672.3238,16.4560,52.775594,38.78020490445276,-9.143438405572297,13,0.0509,2,0.0078,54,0.2113,2,0.0078,33,0.1291,9,0.0352
206,0,24822,6480.9399,15.4778,49.895797,38.777190512082896,-9.13998285853852,11,0.0443,5,0.0201,33,0.1329,5,0.0201,8,0.0322,0,0.0000
513,0,23246,6069.4517,17.5591,55.588431,38.77883165590782,-9.145149338617152,9,0.0387,3,0.0129,35,0.1506,2,0.0086,1,0.0043,2,0.0086
273,625,22534,5883.5509,17.5102,55.477135,38.77765130615414,-9.141631787068171,10,0.0444,3,0.0133,45,0.1997,10,0.0444,1,0.0044,3,0.0133
557,0,21515,5617.4935,17.1430,54.187847,38.77642504370988,-9.13903105793896,5,0.0232,1,0.0046,47,0.2185,0,0.0000,3,0.0139,7,0.0325
41,157,20896,5455.8747,18.5502,58.223159,38.77948071950234,-9.14515275268594,15,0.0718,0,0.0000,45,0.2154,2,0.0096,4,0.0191,0,0.0000
237,0,20097,5247.2585,17.2171,54.772026,38.777728611699345,-9.142372727210791,5,0.0249,4,0.0199,36,0.1791,0,0.0000,2,0.0100,5,0.0249
453,0,19907,5197.6501,18.2825,57.395902,38.77489050361552,-9.139375430474665,6,0.0301,1,0.0050,41,0.2060,3,0.0151,2,0.0100,3,0.0151
585,587,19864,5186.4230,17.7384,56.432836,38.77584955117785,-9.141797914916008,9,0.0453,2,0.0101,0,0.0000,2,0.0101,1,0.0050,1,0.0050
285,0,19329,5046.7363,16.9134,53.755827,38.77650833939789,-9.139988555039956,7,0.0362,3,0.0155,38,0.1966,5,0.0259,4,0.0207,1,0.0052
921,0,19094,4985.3786,15.4898,50.001752,38.77757897748854,-9.142253592197326,4,0.0209,5,0.0262,0,0.0000,13,0.0681,10,0.0524,5,0.0262
158,1136,17511,4572.0627,15.4275,50.171008,38.77747339964189,-9.14180499174427,2,0.0114,0,0.0000,29,0.1656,5,0.0286,5,0.0286,5,0.0286
155,1127,16912,4415.6658,16.9007,53.623861,38.77723663583186,-9.141607221592517,7,0.0414,2,0.0118,25,0.1478,5,0.0296,8,0.0473,6,0.0355
170,0,16837,4396.0836,15.4270,49.912667,38.77775281201245,-9.142410735948456,4,0.0238,2,0.0119,35,0.2079,4,0.0238,5,0.0297,4,0.0238
263,946,16778,4380.6789,16.5761,52.659699,38.777583237514875,-9.1425582567395,6,0.0358,1,0.0060,244,1.4543,16,0.0954,5,0.0298,2,0.0119
35,0,16765,4377.2846,17.3621,55.061542,38.77978158489567,-9.14410862658326,4,0.0239,1,0.0060,41,0.2446,5,0.0298,1,0.0060,3,0.0179
152,1118,16387,4278.5901,17.0168,53.830755,38.7776626459355,-9.141770409784895,7,0.0427,1,0.0061,29,0.1770,3,0.0183,8,0.0488,2,0.0122
519,0,15660,4088.7728,18.7799,59.016035,38.778537678142094,-9.142851028487359,7,0.0447,1,0.0064,29,0.1852,3,0.0192,0,0.0000,1,0.0064
16,0,15094,3940.9922,18.5577,58.225512,38.77362549246141,-9.135750084248523,8,0.0530,0,0.0000,31,0.2054,6,0.0398,1,0.0066,11,0.0729
684,0,13626,3557.7023,17.1624,54.465337,38.78082650635145,-9.148926354078219,7,0.0514,2,0.0147,29,0.2128,2,0.0147,2,0.0147,7,0.0514
590,0,13564,3541.5144,18.6470,58.389302,38.77774226206561,-9.143966549926825,6,0.0442,3,0.0221,31,0.2285,1,0.0074,1,0.0074,6,0.0442
48,259,13407,3500.5222,16.8443,53.7018,38.77721250025255,-9.134027195978662,3,0.0224,4,0.0298,24,0.1790,4,0.0298,2,0.0149,3,0.0224
909,0,13324,3478.8512,17.8425,56.039922,38.7773858759883,-9.141817869228813,7,0.0525,2,0.0150,0,0.0000,2,0.0150,6,0.0450,2,0.0150
906,0,13264,3463.1854,17.7551,56.240621,38.77745243176196,-9.142103344248712,4,0.0302,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
554,2063,13145,3432.1149,16.9876,53.588941,38.78100126505024,-9.143291975942736,3,0.0228,0,0.0000,25,0.1902,1,0.0076,5,0.0380,3,0.0228
506,0,12634,3298.6945,17.0533,53.942263,38.77458262709403,-9.14033403848744,3,0.0237,4,0.0317,26,0.2058,0,0.0000,4,0.0317,3,0.0237
731,0,12530,3271.5405,18.5627,58.03935,38.770255606577436,-9.134353413593157,10,0.0798,2,0.0160,0,0.0000,3,0.0239,4,0.0319,0,0.0000
919,0,12265,3202.3499,15.4448,49.850621,38.77438581003882,-9.138345851334309,2,0.0163,6,0.0489,0,0.0000,8,0.0652,4,0.0326,1,0.0082
133,0,11944,3118.5379,16.9357,53.789165,38.77583525759325,-9.139129336001703,3,0.0251,2,0.0167,22,0.1842,0,0.0000,6,0.0502,14,0.1172
747,0,11895,3105.7441,19.2660,60.107062,38.777693868201816,-9.141081992504924,7,0.0588,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
261,1367,11844,3092.4282,15.5523,50.007851,38.77550551922958,-9.141110922189275,1,0.0084,1,0.0084,16,0.1351,8,0.0675,1,0.0084,0,0.0000
736,0,11816,3085.1175,15.6222,49.998494,38.779622722596706,-9.14494557571475,4,0.0339,1,0.0085,23,0.1947,4,0.0339,5,0.0423,1,0.0085
580,0,11214,2927.9373,16.7854,53.861315,38.77604642563438,-9.137694468751883,5,0.0446,2,0.0178,0,0.0000,4,0.0357,2,0.0178,5,0.0446
912,0,11096,2897.1279,15.4947,49.878802,38.77769657472337,-9.14153947422504,5,0.0451,3,0.0270,0,0.0000,1,0.0090,5,0.0451,0,0.0000
274,628,10716,2797.9112,17.6307,55.546646,38.77721066484631,-9.14269587214379,3,0.0280,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0187
702,0,10374,2708.6162,17.1591,54.484544,38.77761595350042,-9.142883545982409,3,0.0289,2,0.0193,21,0.2024,1,0.0096,3,0.0289,0,0.0000
100,2728,10330,2697.1279,17.0508,53.600965,38.77748425090011,-9.147230119581698,3,0.0290,5,0.0484,0,0.0000,2,0.0194,0,0.0000,9,0.0871
574,0,10153,2650.9138,16.5546,52.67872,38.77716884721503,-9.140644899429617,6,0.0591,5,0.0492,18,0.1773,4,0.0394,4,0.0394,1,0.0098
592,2330,10072,2629.7650,15.5323,49.947536,38.776160070647116,-9.139345042031454,1,0.0099,3,0.0298,17,0.1688,1,0.0099,1,0.0099,1,0.0099
58,280,9738,2542.5587,17.0894,54.033692,38.784446398063594,-9.158515804532032,1,0.0103,5,0.0513,17,0.1746,2,0.0205,3,0.0308,2,0.0205
316,0,9621,2512.0104,17.3716,55.09333,38.77760405602892,-9.142684941330666,2,0.0208,0,0.0000,15,0.1559,1,0.0104,3,0.0312,0,0.0000
527,0,9551,2493.7337,16.8878,54.2352,38.77598144015713,-9.141337148060272,5,0.0524,0,0.0000,15,0.1571,3,0.0314,0,0.0000,0,0.0000
25,598,9504,2481.4621,15.5973,49.798183,38.7773628279563,-9.140625749106981,4,0.0421,2,0.0210,23,0.2420,2,0.0210,4,0.0421,5,0.0526
777,0,9442,2465.2742,15.5866,50.200088,38.780628641664215,-9.143501730839729,2,0.0212,5,0.0530,0,0.0000,0,0.0000,3,0.0318,2,0.0212
163,0,9011,2352.7415,18.5356,57.371637,38.771472291836524,-9.137957512274049,5,0.0555,0,0.0000,22,0.2441,2,0.0222,1,0.0111,0,0.0000
110,706,9002,2350.3916,18.2364,56.895497,38.77050896494143,-9.13427328597973,2,0.0222,1,0.0111,0,0.0000,1,0.0111,1,0.0111,4,0.0444
539,0,8865,2314.6214,17.2770,54.708771,38.77849456352996,-9.142767039093517,3,0.0338,0,0.0000,13,0.1466,0,0.0000,1,0.0113,0,0.0000
278,0,8758,2286.6841,17.6350,55.813363,38.77015521255946,-9.130528371135345,4,0.0457,3,0.0343,10,0.1142,0,0.0000,0,0.0000,6,0.0685
431,0,8599,2245.1697,17.1407,54.374003,38.77725752836744,-9.143028377196696,1,0.0116,0,0.0000,19,0.2210,2,0.0233,1,0.0116,0,0.0000
179,646,8394,2191.6449,15.4090,49.870292,38.77745711762628,-9.141089499603044,1,0.0119,2,0.0238,14,0.1668,0,0.0000,7,0.0834,7,0.0834
761,0,8346,2179.1123,17.0594,53.850705,38.77779806127765,-9.142327250307252,6,0.0719,7,0.0839,0,0.0000,5,0.0599,1,0.0120,3,0.0359
122,1080,8338,2177.0235,18.6654,58.693267,38.77213630896295,-9.136134681945837,3,0.0360,1,0.0120,12,0.1439,0,0.0000,1,0.0120,3,0.0360
296,1451,8328,2174.4125,17.1458,54.617899,38.77000534886229,-9.13380608110198,0,0.0000,0,0.0000,12,0.1441,0,0.0000,1,0.0120,1,0.0120
676,2629,8241,2151.6971,15.6639,50.962001,38.77731269314398,-9.139763255368917,3,0.0364,3,0.0364,9,0.1092,0,0.0000,3,0.0364,3,0.0364
338,0,8230,2148.8251,19.2949,59.831242,38.778060473244764,-9.141248642995738,3,0.0365,0,0.0000,20,0.2430,0,0.0000,0,0.0000,7,0.0851
279,0,8218,2145.6919,17.8915,55.724798,38.77078478041713,-9.131647322901456,3,0.0365,0,0.0000,0,0.0000,0,0.0000,0,0.0000,5,0.0608
613,2231,8184,2136.8146,15.5571,50.028517,38.777706521923314,-9.142266393099497,2,0.0244,3,0.0367,22,0.2688,1,0.0122,1,0.0122,1,0.0122
220,1277,8178,2135.2480,16.8930,53.986642,38.77732963482734,-9.14167933609206,2,0.0245,2,0.0245,13,0.1590,2,0.0245,6,0.0734,6,0.0734
52,63,8164,2131.5927,16.4363,52.735566,38.77716883316919,-9.1406719692051,3,0.0367,2,0.0245,11,0.1347,1,0.0122,2,0.0245,0,0.0000
751,0,7513,1961.6188,15.5501,50.155103,38.77197633583526,-9.142144138058741,1,0.0133,4,0.0532,16,0.2130,3,0.0399,3,0.0399,0,0.0000
767,0,7503,1959.0078,15.4655,50.119515,38.77476003987924,-9.137417421367363,3,0.0400,2,0.0267,0,0.0000,3,0.0400,3,0.0400,3,0.0400
203,0,7421,1937.5979,18.3478,58.301168,38.77794551255362,-9.144818821850539,4,0.0539,0,0.0000,12,0.1617,0,0.0000,0,0.0000,0,0.0000
42,160,7327,1913.0548,18.5267,57.701622,38.775198367569445,-9.136527658610504,6,0.0819,0,0.0000,0,0.0000,2,0.0273,0,0.0000,1,0.0136
81,655,7293,1904.1775,15.4909,49.709116,38.77438798622548,-9.136522099691062,1,0.0137,0,0.0000,7,0.0960,3,0.0411,2,0.0274,1,0.0137
