pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
427,0,5211,1922.8782,15.9860,51.107684,40.620188587606854,-8.591215420943083,3,0.0576,1,0.0192,11,0.2111,0,0.0000,4,0.0768,0,0.0000
453,0,4178,1541.6974,19.3990,59.761202,40.62022986492373,-8.591568495359608,1,0.0239,0,0.0000,5,0.1197,0,0.0000,0,0.0000,1,0.0239
915,0,4138,1526.9373,17.0350,53.891225,40.619308954779555,-8.592881090418135,1,0.0242,0,0.0000,6,0.1450,1,0.0242,1,0.0242,0,0.0000
16,0,3753,1384.8708,18.2491,57.667069,40.62144098988876,-8.59028177486364,1,0.0266,0,0.0000,7,0.1865,1,0.0266,0,0.0000,1,0.0266
731,0,3668,1353.5055,18.2099,57.035644,40.61984100415903,-8.593406957444083,1,0.0273,2,0.0545,0,0.0000,1,0.0273,1,0.0273,1,0.0273
194,1226,3658,1349.8155,16.4366,52.265424,40.619626668885886,-8.592190742827858,1,0.0273,2,0.0547,4,0.1093,0,0.0000,0,0.0000,0,0.0000
37,55,3268,1205.9041,16.2987,51.788424,40.61942249081949,-8.591285741543027,1,0.0306,2,0.0612,6,0.1836,1,0.0306,0,0.0000,0,0.0000
167,0,3167,1168.6347,18.1105,57.055712,40.62240458141843,-8.589695097960481,0,0.0000,1,0.0316,3,0.0947,0,0.0000,0,0.0000,0,0.0000
206,0,3021,1114.7601,15.3165,49.650993,40.62153089352958,-8.591570750077288,1,0.0331,1,0.0331,6,0.1986,0,0.0000,0,0.0000,0,0.0000
163,0,3017,1113.2841,18.0882,57.170895,40.62254773709804,-8.589755902388799,1,0.0331,2,0.0663,2,0.0663,0,0.0000,2,0.0663,0,0.0000
919,0,2990,1103.3210,15.5569,50.329983,40.62013364405977,-8.593139232456476,0,0.0000,0,0.0000,0,0.0000,1,0.0334,1,0.0334,1,0.0334
684,0,2674,986.7159,18.5879,58.354492,40.61938762721119,-8.592724259853842,0,0.0000,0,0.0000,8,0.2992,0,0.0000,0,0.0000,0,0.0000
17,0,2651,978.2288,18.2075,57.291656,40.623005760550896,-8.588718605976297,2,0.0754,1,0.0377,0,0.0000,0,0.0000,0,0.0000,3,0.1132
285,0,2487,917.7122,16.5875,51.999288,40.62036848991771,-8.590367739253871,1,0.0402,0,0.0000,2,0.0804,2,0.0804,0,0.0000,1,0.0402
736,0,2482,915.8672,15.6112,50.416334,40.61944969349546,-8.592297749987615,2,0.0806,0,0.0000,4,0.1612,0,0.0000,1,0.0403,1,0.0403
109,703,2415,891.1439,18.9669,59.047611,40.61875604365073,-8.592675754795398,1,0.0414,0,0.0000,4,0.1656,0,0.0000,0,0.0000,0,0.0000
237,0,2410,889.2989,18.6544,57.562008,40.61974774176304,-8.591857350011905,0,0.0000,0,0.0000,2,0.0830,0,0.0000,0,0.0000,0,0.0000
513,0,2366,873.0627,16.8893,53.800144,40.61852477543858,-8.593950089554728,3,0.1268,1,0.0423,3,0.1268,0,0.0000,0,0.0000,0,0.0000
506,0,2249,829.8893,16.5371,53.222686,40.619759936262355,-8.592061136013937,0,0.0000,1,0.0445,6,0.2668,1,0.0445,0,0.0000,1,0.0445
27,51,2219,818.8192,16.9351,53.211145,40.61873945611589,-8.59182768971998,1,0.0451,0,0.0000,5,0.2253,0,0.0000,1,0.0451,0,0.0000
396,1658,2051,756.8266,17.3135,55.438503,40.621438672275964,-8.590152058861863,1,0.0488,0,0.0000,2,0.0975,0,0.0000,1,0.0488,1,0.0488
41,157,1984,732.1033,19.1452,59.581069,40.61919176391855,-8.59140251752952,0,0.0000,0,0.0000,2,0.1008,0,0.0000,0,0.0000,0,0.0000
921,0,1969,726.5683,15.6059,50.269152,40.619249280803956,-8.592583963708433,0,0.0000,0,0.0000,0,0.0000,1,0.0508,1,0.0508,1,0.0508
265,0,1950,719.5572,15.4677,49.969169,40.621317271935894,-8.589891676660976,0,0.0000,1,0.0513,3,0.1538,0,0.0000,0,0.0000,0,0.0000
333,0,1926,710.7011,18.4860,58.826677,40.61836727018492,-8.593190704732963,0,0.0000,0,0.0000,7,0.3634,0,0.0000,0,0.0000,0,0.0000
273,625,1910,704.7970,17.0340,54.054571,40.6190039012621,-8.592364723361372,0,0.0000,0,0.0000,3,0.1571,0,0.0000,1,0.0524,0,0.0000
35,0,1789,660.1476,17.9776,57.674645,40.61917321977098,-8.590900048647436,1,0.0559,0,0.0000,4,0.2236,0,0.0000,0,0.0000,0,0.0000
434,791,1743,643.1734,18.1721,57.210539,40.61845804065985,-8.60185206116629,3,0.1721,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
170,0,1664,614.0221,15.4075,49.854489,40.61928375333082,-8.592445381746773,0,0.0000,1,0.0601,5,0.3005,1,0.0601,1,0.0601,0,0.0000
155,1127,1662,613.2841,16.3002,52.206276,40.61937136597303,-8.592389196511139,0,0.0000,0,0.0000,3,0.1805,0,0.0000,1,0.0602,0,0.0000
585,587,1640,605.1661,17.2695,53.657183,40.619416069832546,-8.592870992466288,2,0.1220,0,0.0000,0,0.0000,1,0.0610,1,0.0610,0,0.0000
747,0,1631,601.8450,19.1919,59.656695,40.62013179032432,-8.591997259640396,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
263,946,1629,601.1070,16.1725,52.063333,40.619384564189154,-8.59285544538392,1,0.0614,0,0.0000,22,1.3505,1,0.0614,0,0.0000,0,0.0000
152,1118,1618,597.0480,16.5334,52.31419,40.61903667130703,-8.591803927735716,0,0.0000,1,0.0618,1,0.0618,1,0.0618,0,0.0000,0,0.0000
158,1136,1609,593.7269,15.6346,50.894295,40.619905039372306,-8.591965013406087,0,0.0000,0,0.0000,5,0.3108,0,0.0000,2,0.1243,0,0.0000
431,0,1532,565.3137,16.5098,53.181025,40.62014346416754,-8.591948593875252,0,0.0000,0,0.0000,1,0.0653,1,0.0653,0,0.0000,0,0.0000
216,1265,1449,534.6863,16.9545,53.845535,40.619846253411524,-8.591419221573894,0,0.0000,0,0.0000,4,0.2761,1,0.0690,1,0.0690,0,0.0000
590,0,1288,475.2768,18.9099,59.387415,40.61961965188275,-8.59115812561272,0,0.0000,0,0.0000,2,0.1553,0,0.0000,0,0.0000,0,0.0000
13,616,1287,474.9077,18.7840,57.575874,40.620541146880115,-8.590984470568605,2,0.1554,0,0.0000,1,0.0777,3,0.2331,1,0.0777,1,0.0777
309,1484,1280,472.3247,15.3969,49.80743,40.62017140764469,-8.59312123064185,0,0.0000,1,0.0781,2,0.1563,0,0.0000,0,0.0000,0,0.0000
25,598,1273,469.7417,15.9866,50.126583,40.619643614939044,-8.591611290505668,0,0.0000,1,0.0786,4,0.3142,0,0.0000,0,0.0000,1,0.0786
519,0,1250,461.2546,18.3648,57.708328,40.61832340224185,-8.592826366565443,0,0.0000,0,0.0000,2,0.1600,0,0.0000,0,0.0000,0,0.0000
906,0,1231,454.2435,16.5727,52.667173,40.61889146628277,-8.593252697969573,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0812
909,0,1219,449.8155,16.6202,53.174791,40.61956491078613,-8.592747402049802,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0820
261,1367,1152,425.0923,15.8637,49.768368,40.619552933285526,-8.59224134181756,0,0.0000,0,0.0000,3,0.2604,0,0.0000,1,0.0868,0,0.0000
287,0,1139,420.2952,16.9377,54.57799,40.62008254616731,-8.591269640357638,0,0.0000,0,0.0000,1,0.0878,1,0.0878,0,0.0000,0,0.0000
304,1469,1130,416.9742,16.1407,52.129797,40.61646215723544,-8.595579655367745,2,0.1770,0,0.0000,0,0.0000,0,0.0000,2,0.1770,0,0.0000
58,280,1071,395.2030,16.5387,52.063688,40.62049947776435,-8.592151355152149,1,0.0934,0,0.0000,2,0.1867,0,0.0000,1,0.0934,1,0.0934
912,0,1066,393.3579,15.2674,50.617101,40.61993151170215,-8.592822863404152,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
574,0,994,366.7897,15.5332,50.1566,40.62008032531843,-8.591948370474789,0,0.0000,0,0.0000,2,0.2012,0,0.0000,0,0.0000,0,0.0000
592,2330,992,366.0517,15.8377,50.436855,40.61972560959952,-8.592518459612682,1,0.1008,0,0.0000,3,0.3024,0,0.0000,1,0.1008,0,0.0000
50,59,959,353.8745,16.0334,51.651116,40.61940597363634,-8.591202959012206,0,0.0000,1,0.1043,1,0.1043,0,0.0000,0,0.0000,0,0.0000
123,247,952,351.2915,17.6586,56.143792,40.62249979840679,-8.587483570504684,0,0.0000,0,0.0000,18,1.8908,0,0.0000,0,0.0000,0,0.0000
32,776,946,349.0775,18.3277,56.972114,40.6200054572104,-8.591691696547814,1,0.1057,0,0.0000,1,0.1057,0,0.0000,0,0.0000,0,0.0000
29,776,940,346.8635,18.2787,57.796607,40.61880739859928,-8.593109644983059,1,0.1064,1,0.1064,1,0.1064,0,0.0000,1,0.1064,0,0.0000
274,628,928,342.4354,16.8933,53.316627,40.61995369660595,-8.591652450057396,0,0.0000,0,0.0000,0,0.0000,1,0.1078,0,0.0000,1,0.1078
676,2629,910,335.7934,15.5978,49.645912,40.61988732480092,-8.592027561795263,0,0.0000,0,0.0000,2,0.2198,0,0.0000,0,0.0000,0,0.0000
228,229,892,329.1513,17.7287,53.85676,40.61990978834055,-8.5926581107278,0,0.0000,0,0.0000,1,0.1121,0,0.0000,1,0.1121,0,0.0000
179,646,861,317.7122,15.5540,48.914739,40.619662203493576,-8.592944161485663,0,0.0000,0,0.0000,1,0.1161,0,0.0000,0,0.0000,0,0.0000
741,2679,853,314.7601,18.5264,58.030446,40.62159592280374,-8.590533145888951,1,0.1172,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
