pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
27,51,9393,3238.9655,19.3180,60.246255,40.21447303121697,-8.25418070031001,5,0.0532,2,0.0213,15,0.1597,0,0.0000,5,0.0532,1,0.0106
427,0,8092,2790.3448,19.0885,59.602375,40.21372562516409,-8.253251773128033,6,0.0741,1,0.0124,17,0.2101,2,0.0247,7,0.0865,0,0.0000
194,1226,7778,2682.0690,18.3449,57.722721,40.2143523232264,-8.253457489770883,5,0.0643,1,0.0129,9,0.1157,1,0.0129,0,0.0000,0,0.0000
915,0,7556,2605.5172,16.2585,52.134553,40.21385116383581,-8.253035473992806,4,0.0529,1,0.0132,14,0.1853,3,0.0397,2,0.0265,0,0.0000
37,55,6544,2256.5517,18.4809,57.93636,40.21345264137795,-8.252804389113546,4,0.0611,0,0.0000,9,0.1375,2,0.0306,0,0.0000,3,0.0458
513,0,5980,2062.0690,19.4824,60.052373,40.21240203016712,-8.252861662886994,3,0.0502,1,0.0167,16,0.2676,0,0.0000,0,0.0000,0,0.0000
285,0,5839,2013.4483,18.5967,58.24782,40.2141227653305,-8.253426090342504,1,0.0171,1,0.0171,12,0.2055,5,0.0856,0,0.0000,0,0.0000
273,625,5531,1907.2414,19.3274,59.839617,40.21375177380974,-8.253224732848752,0,0.0000,1,0.0181,16,0.2893,1,0.0181,0,0.0000,0,0.0000
41,157,5401,1862.4138,17.2427,55.014849,40.21481953158495,-8.25412120944362,3,0.0555,2,0.0370,11,0.2037,2,0.0370,0,0.0000,0,0.0000
35,0,5049,1741.0345,17.2339,54.517309,40.21373489889389,-8.253556514328693,0,0.0000,1,0.0198,11,0.2179,0,0.0000,3,0.0594,1,0.0198
206,0,4747,1636.8966,15.6886,49.901936,40.21337982617058,-8.252925073928091,1,0.0211,2,0.0421,12,0.2528,1,0.0211,0,0.0000,0,0.0000
237,0,4398,1516.5517,17.5882,55.520237,40.21376409436082,-8.253158086085126,3,0.0682,3,0.0682,6,0.1364,0,0.0000,0,0.0000,3,0.0682
684,0,4017,1385.1724,18.0184,56.084974,40.2133984480859,-8.252914087582619,4,0.0996,2,0.0498,5,0.1245,0,0.0000,0,0.0000,4,0.0996
453,0,3929,1354.8276,18.4210,57.739873,40.212291394938546,-8.251595725375926,0,0.0000,1,0.0255,10,0.2545,0,0.0000,0,0.0000,1,0.0255
304,1469,3693,1273.4483,15.8202,51.434853,40.213780012068554,-8.256019797231573,0,0.0000,0,0.0000,6,0.1625,1,0.0271,3,0.0812,1,0.0271
921,0,3665,1263.7931,15.6810,49.676439,40.213858333567465,-8.25311633290384,1,0.0273,2,0.0546,0,0.0000,2,0.0546,2,0.0546,0,0.0000
170,0,3654,1260.0000,15.6804,50.282206,40.21426975244907,-8.253585990315367,3,0.0821,4,0.1095,5,0.1368,1,0.0274,1,0.0274,3,0.0821
263,946,3443,1187.2414,16.0337,51.465458,40.21355723247756,-8.252699862545951,1,0.0290,4,0.1162,74,2.1493,0,0.0000,0,0.0000,1,0.0290
109,703,3433,1183.7931,18.3551,57.061212,40.21279983242037,-8.25157568530115,1,0.0291,0,0.0000,6,0.1748,0,0.0000,0,0.0000,2,0.0583
585,587,3429,1182.4138,18.8947,59.561312,40.2137108767277,-8.252924302868628,2,0.0583,0,0.0000,0,0.0000,0,0.0000,2,0.0583,1,0.0292
736,0,3413,1176.8966,15.4864,49.96053,40.21349958756463,-8.253034463562644,0,0.0000,1,0.0293,11,0.3223,0,0.0000,0,0.0000,2,0.0586
158,1136,3392,1169.6552,15.6837,50.454632,40.213497209834884,-8.252516430216456,0,0.0000,0,0.0000,7,0.2064,1,0.0295,1,0.0295,1,0.0295
155,1127,3331,1148.6207,18.4353,58.438865,40.21351710652933,-8.252976666715103,3,0.0901,0,0.0000,6,0.1801,0,0.0000,0,0.0000,0,0.0000
152,1118,3265,1125.8621,18.5550,58.442751,40.21376759347246,-8.253265026618308,2,0.0613,0,0.0000,8,0.2450,0,0.0000,0,0.0000,0,0.0000
909,0,3129,1078.9655,18.9949,58.984522,40.213526705890544,-8.252889503857324,2,0.0639,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0320
590,0,3083,1063.1034,20.3870,62.542926,40.213754625125205,-8.25342275493241,1,0.0324,0,0.0000,3,0.0973,1,0.0324,1,0.0324,1,0.0324
265,0,3064,1056.5517,15.6707,50.141456,40.21661907789312,-8.255583172733576,0,0.0000,0,0.0000,6,0.1958,0,0.0000,0,0.0000,0,0.0000
906,0,2938,1013.1034,18.8523,59.596882,40.21394144595143,-8.253238152753552,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
333,0,2855,984.4828,16.7040,52.390645,40.21357939372722,-8.2536363674612,1,0.0350,0,0.0000,5,0.1751,1,0.0350,0,0.0000,1,0.0350
274,628,2722,938.6207,19.2539,60.111797,40.213788158853184,-8.253093859856433,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
16,0,2409,830.6897,16.3566,53.065845,40.21103948854299,-8.250037257470494,1,0.0415,0,0.0000,9,0.3736,0,0.0000,0,0.0000,1,0.0415
287,0,2323,801.0345,16.2329,52.124103,40.213955186768246,-8.25332732939002,3,0.1291,0,0.0000,3,0.1291,0,0.0000,0,0.0000,1,0.0430
747,0,2304,794.4828,18.3537,56.722509,40.21522489761433,-8.254811048703036,2,0.0868,0,0.0000,0,0.0000,1,0.0434,0,0.0000,0,0.0000
431,0,2267,781.7241,15.9413,51.954111,40.21203327224604,-8.251907104720805,0,0.0000,1,0.0441,6,0.2647,1,0.0441,0,0.0000,0,0.0000
13,616,2267,781.7241,17.7049,55.381024,40.214196040276136,-8.253312375855476,1,0.0441,0,0.0000,3,0.1323,3,0.1323,1,0.0441,0,0.0000
506,0,2207,761.0345,16.4164,51.971079,40.21082202869607,-8.250063390555336,0,0.0000,1,0.0453,6,0.2719,0,0.0000,0,0.0000,0,0.0000
25,598,2155,743.1034,15.8705,50.447053,40.21306197966882,-8.252818841609827,2,0.0928,0,0.0000,7,0.3248,0,0.0000,0,0.0000,2,0.0928
912,0,2091,721.0345,15.6858,50.013376,40.21364720404249,-8.252625106545977,1,0.0478,1,0.0478,0,0.0000,0,0.0000,0,0.0000,0,0.0000
261,1367,2008,692.4138,15.3625,49.324816,40.21306297127917,-8.252177913141091,2,0.0996,0,0.0000,3,0.1494,0,0.0000,0,0.0000,0,0.0000
434,791,1922,662.7586,17.3861,54.542685,40.21206300100276,-8.2512339891153,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
216,1265,1867,643.7931,16.3760,52.421671,40.212966271035896,-8.25202381462583,0,0.0000,1,0.0536,1,0.0536,0,0.0000,1,0.0536,0,0.0000
519,0,1844,635.8621,16.5548,53.729897,40.21311301656101,-8.252273008345565,0,0.0000,0,0.0000,3,0.1627,0,0.0000,1,0.0542,0,0.0000
396,1658,1826,629.6552,15.9907,51.159902,40.21343541995472,-8.252568112394053,1,0.0548,0,0.0000,5,0.2738,4,0.2191,1,0.0548,0,0.0000
554,2063,1824,628.9655,18.9435,58.697599,40.21368915311379,-8.2560999951466,0,0.0000,0,0.0000,3,0.1645,0,0.0000,0,0.0000,1,0.0548
163,0,1824,628.9655,16.2796,52.787467,40.21110718267157,-8.250662734730948,0,0.0000,0,0.0000,3,0.1645,0,0.0000,0,0.0000,0,0.0000
702,0,1817,626.5517,17.9934,56.116924,40.21229265911754,-8.251770859229488,0,0.0000,0,0.0000,2,0.1101,0,0.0000,0,0.0000,0,0.0000
919,0,1815,625.8621,15.2705,49.509692,40.211470950138505,-8.251157973148949,2,0.1102,1,0.0551,0,0.0000,1,0.0551,1,0.0551,2,0.1102
58,280,1814,625.5172,18.9989,59.974355,40.2132562375006,-8.253067285097742,0,0.0000,0,0.0000,4,0.2205,0,0.0000,0,0.0000,0,0.0000
316,0,1772,611.0345,17.7308,55.64083,40.21176870733302,-8.250859320487121,1,0.0564,0,0.0000,1,0.0564,2,0.1129,0,0.0000,0,0.0000
557,0,1768,609.6552,16.3631,51.667857,40.21425332562327,-8.254301964552608,1,0.0566,0,0.0000,2,0.1131,0,0.0000,0,0.0000,0,0.0000
753,0,1758,606.2069,18.1354,58.082492,40.215098152037385,-8.255341928368843,1,0.0569,0,0.0000,2,0.1138,0,0.0000,0,0.0000,0,0.0000
228,229,1706,588.2759,19.6641,61.045897,40.21306714019683,-8.252858806535196,0,0.0000,0,0.0000,3,0.1758,0,0.0000,0,0.0000,0,0.0000
220,1277,1703,587.2414,18.5185,58.029495,40.21334680368744,-8.25288771322636,0,0.0000,0,0.0000,7,0.4110,0,0.0000,0,0.0000,0,0.0000
527,0,1702,586.8966,15.4501,50.692074,40.21353015529005,-8.252950236490673,0,0.0000,1,0.0588,4,0.2350,3,0.1763,0,0.0000,0,0.0000
580,0,1699,585.8621,15.9753,49.758646,40.213585218110005,-8.252428611969155,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0589,0,0.0000
613,2231,1682,580.0000,15.2485,49.932545,40.214204426611666,-8.253301993592352,0,0.0000,0,0.0000,1,0.0595,1,0.0595,0,0.0000,2,0.1189
167,0,1675,577.5862,17.6036,54.44772,40.21260892148217,-8.253930802571734,1,0.0597,1,0.0597,1,0.0597,0,0.0000,0,0.0000,0,0.0000
179,646,1671,576.2069,15.5224,50.258618,40.21353429214119,-8.25274672449762,1,0.0598,0,0.0000,7,0.4189,1,0.0598,1,0.0598,2,0.1197
761,0,1664,573.7931,18.6581,58.241064,40.21364539559898,-8.253021051578067,0,0.0000,0,0.0000,0,0.0000,1,0.0601,1,0.0601,0,0.0000
52,63,1589,547.9310,16.1523,51.592171,40.213834161122456,-8.253388959399064,0,0.0000,0,0.0000,6,0.3776,0,0.0000,1,0.0629,0,0.0000
38,57,1570,541.3793,18.6229,58.729,40.213817759916445,-8.253363758980305,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,3,0.1911
574,0,1544,532.4138,15.6917,50.34671,40.2128345672185,-8.251489345902083,2,0.1295,0,0.0000,4,0.2591,1,0.0648,0,0.0000,0,0.0000
74,67,1517,523.1034,19.9420,61.303929,40.212782605283614,-8.2520309340499,0,0.0000,0,0.0000,2,0.1318,0,0.0000,0,0.0000,0,0.0000
28,53,1360,468.9655,19.5581,59.88561,40.2138029803375,-8.253417258759569,1,0.0735,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
32,776,1354,466.8966,17.7954,55.004114,40.21299063279896,-8.252680925167544,1,0.0739,0,0.0000,3,0.2216,0,0.0000,0,0.0000,0,0.0000
275,631,1352,466.2069,19.3062,60.203795,40.213533726090255,-8.253132478725698,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
328,746,1349,465.1724,20.0393,61.368881,40.21532674852908,-8.255135318111288,0,0.0000,0,0.0000,2,0.1483,0,0.0000,0,0.0000,0,0.0000
29,776,1321,455.5172,17.1628,55.373876,40.21298967762298,-8.252419911090755,0,0.0000,1,0.0757,5,0.3785,1,0.0757,1,0.0757,1,0.0757
592,2330,1296,446.8966,14.9190,49.715417,40.21394902712031,-8.253637871393305,0,0.0000,0,0.0000,4,0.3086,0,0.0000,0,0.0000,0,0.0000
353,908,1294,446.2069,15.4985,50.400047,40.21371808567443,-8.25302024131844,0,0.0000,1,0.0773,2,0.1546,0,0.0000,1,0.0773,0,0.0000
50,59,1291,445.1724,15.5755,50.735833,40.213596486082004,-8.25287963479293,2,0.1549,0,0.0000,2,0.1549,0,0.0000,1,0.0775,0,0.0000
676,2629,1265,436.2069,17.6316,54.385597,40.21356196971645,-8.25277853188302,0,0.0000,0,0.0000,1,0.0791,0,0.0000,0,0.0000,0,0.0000
