pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
109,703,28548,8133.3333,18.5479,58.048057,41.161879487350454,-8.618325636751488,18,0.0631,3,0.0105,46,0.1611,0,0.0000,3,0.0105,9,0.0315
915,0,24907,7096.0114,16.3242,52.164637,41.15680253471096,-8.612879642800056,4,0.0161,3,0.0120,56,0.2248,6,0.0241,3,0.0120,6,0.0241
194,1226,24784,7060.9687,18.1930,56.927035,41.15660824019625,-8.61295739363499,9,0.0363,6,0.0242,53,0.2138,3,0.0121,3,0.0121,0,0.0000
427,0,23618,6728.7749,15.6939,50.549036,41.157161125331164,-8.613311274415558,8,0.0339,8,0.0339,42,0.1778,11,0.0466,18,0.0762,5,0.0212
27,51,21596,6152.7066,18.9351,58.994914,41.15529507027719,-8.609660471510757,6,0.0278,2,0.0093,33,0.1528,0,0.0000,7,0.0324,3,0.0139
513,0,19826,5648.4330,19.0981,59.204748,41.155619251103296,-8.612768979946086,11,0.0555,3,0.0151,47,0.2371,2,0.0101,2,0.0101,0,0.0000
37,55,17443,4969.5157,18.2973,57.075434,41.157506747376964,-8.612648964080776,8,0.0459,1,0.0057,35,0.2007,1,0.0057,3,0.0172,4,0.0229
273,625,17283,4923.9316,18.9370,59.061872,41.15659216292067,-8.61317075614499,10,0.0579,3,0.0174,33,0.1909,0,0.0000,2,0.0116,1,0.0058
206,0,15701,4473.2194,15.6101,49.969809,41.157291024680546,-8.61237980352144,5,0.0318,5,0.0318,25,0.1592,0,0.0000,6,0.0382,0,0.0000
237,0,14052,4003.4188,17.6631,55.880024,41.156737301785704,-8.61266728444582,4,0.0285,1,0.0071,30,0.2135,1,0.0071,2,0.0142,4,0.0285
453,0,13835,3941.5954,18.7801,58.519875,41.15968393780243,-8.617817211902683,9,0.0651,1,0.0072,23,0.1662,3,0.0217,1,0.0072,4,0.0289
304,1469,13802,3932.1937,15.8324,51.043839,41.154420765416766,-8.606360435073888,1,0.0072,4,0.0290,28,0.2029,2,0.0145,11,0.0797,6,0.0435
921,0,12578,3583.4758,15.7152,50.533727,41.156678032131246,-8.612794611084515,3,0.0239,4,0.0318,0,0.0000,7,0.0557,10,0.0795,3,0.0239
285,0,12179,3469.8006,18.2164,57.133148,41.15641974904501,-8.6131335465678,10,0.0821,1,0.0082,14,0.1150,4,0.0328,2,0.0164,1,0.0082
