"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"109"	"703"	"28548"	"3.0329"	"1.026177541969247800"	"0.600363609943367500"	"2.9996"	"8.7279"	"8.7068"	"8.6870"	"18.5479"	"58.048057"	"41.161879487350454000"	"-8.618325636751488000"	"18"	"0.0631"	"3"	"0.0105"	"46"	"0.1611"	"0"	"0.0000"	"3"	"0.0105"	"9"	"0.0315"
"915"	"0"	"24907"	"2.6461"	"10.426623998043569000"	"0.499157448587180100"	"2.9978"	"7.8031"	"7.8366"	"7.8344"	"16.3242"	"52.164637"	"41.156802534710960000"	"-8.612879642800056000"	"4"	"0.0161"	"3"	"0.0120"	"56"	"0.2248"	"6"	"0.0241"	"3"	"0.0120"	"6"	"0.0241"
"194"	"1226"	"24784"	"2.6330"	"8.759213730076198000"	"0.410833840458053160"	"2.9997"	"8.5561"	"8.5264"	"8.5347"	"18.1930"	"56.927035"	"41.156608240196250000"	"-8.612957393634990000"	"9"	"0.0363"	"6"	"0.0242"	"53"	"0.2138"	"3"	"0.0121"	"3"	"0.0121"	"0"	"0.0000"
"427"	"0"	"23618"	"2.5091"	"5.648981555817410000"	"0.400261993188921470"	"3.0025"	"7.5524"	"7.6228"	"7.5718"	"15.6939"	"50.549036"	"41.157161125331164000"	"-8.613311274415558000"	"8"	"0.0339"	"8"	"0.0339"	"42"	"0.1778"	"11"	"0.0466"	"18"	"0.0762"	"5"	"0.0212"
"27"	"51"	"21596"	"2.2943"	"12.294119646531110000"	"0.599574998936569600"	"2.9984"	"8.8202"	"8.8261"	"8.9014"	"18.9351"	"58.994914"	"41.155295070277190000"	"-8.609660471510757000"	"6"	"0.0278"	"2"	"0.0093"	"33"	"0.1528"	"0"	"0.0000"	"7"	"0.0324"	"3"	"0.0139"
"513"	"0"	"19826"	"2.1063"	"11.283968649036437000"	"0.600132759622488500"	"2.9980"	"8.8579"	"8.9015"	"8.8827"	"19.0981"	"59.204748"	"41.155619251103296000"	"-8.612768979946086000"	"11"	"0.0555"	"3"	"0.0151"	"47"	"0.2371"	"2"	"0.0101"	"2"	"0.0101"	"0"	"0.0000"
"37"	"55"	"17443"	"1.8531"	"10.167406985751102000"	"0.600158060730041500"	"2.9976"	"8.5402"	"8.5455"	"8.5982"	"18.2973"	"57.075434"	"41.157506747376964000"	"-8.612648964080776000"	"8"	"0.0459"	"1"	"0.0057"	"35"	"0.2007"	"1"	"0.0057"	"3"	"0.0172"	"4"	"0.0229"
"273"	"625"	"17283"	"1.8361"	"4.100492140161380000"	"0.509736962056733000"	"2.9964"	"8.8641"	"8.8433"	"8.8705"	"18.9370"	"59.061872"	"41.156592162920670000"	"-8.613170756144990000"	"10"	"0.0579"	"3"	"0.0174"	"33"	"0.1909"	"0"	"0.0000"	"2"	"0.0116"	"1"	"0.0058"
"206"	"0"	"15701"	"1.6680"	"14.396594233717027000"	"1.502085447551251300"	"3.0044"	"7.4749"	"7.5171"	"7.4944"	"15.6101"	"49.969809"	"41.157291024680546000"	"-8.612379803521440000"	"5"	"0.0318"	"5"	"0.0318"	"25"	"0.1592"	"0"	"0.0000"	"6"	"0.0382"	"0"	"0.0000"
"237"	"0"	"14052"	"1.4929"	"49.258133148340164000"	"1.400418193982394000"	"2.9992"	"8.3442"	"8.4421"	"8.3597"	"17.6631"	"55.880024"	"41.156737301785704000"	"-8.612667284445820000"	"4"	"0.0285"	"1"	"0.0071"	"30"	"0.2135"	"1"	"0.0071"	"2"	"0.0142"	"4"	"0.0285"
"453"	"0"	"13835"	"1.4698"	"23.722169285571454000"	"0.701972695523318800"	"3.0041"	"8.7984"	"8.7701"	"8.7654"	"18.7801"	"58.519875"	"41.159683937802430000"	"-8.617817211902683000"	"9"	"0.0651"	"1"	"0.0072"	"23"	"0.1662"	"3"	"0.0217"	"1"	"0.0072"	"4"	"0.0289"
