pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,13269,4308.1169,16.7256,53.488423,38.70844881164197,-9.297498401452508,4,0.0301,1,0.0075,35,0.2638,3,0.0226,1,0.0075,6,0.0452
194,1226,13096,4251.9481,16.6269,52.668642,38.708996655967425,-9.297582475832462,4,0.0305,2,0.0153,33,0.2520,6,0.0458,2,0.0153,0,0.0000
427,0,12267,3982.7922,16.4248,52.456709,38.707456964083384,-9.298535700348273,4,0.0326,2,0.0163,19,0.1549,4,0.0326,9,0.0734,3,0.0245
333,0,10589,3437.9870,19.4314,60.844266,38.70919271692645,-9.297668311809973,5,0.0472,0,0.0000,23,0.2172,1,0.0094,1,0.0094,0,0.0000
304,1469,9907,3216.5584,16.2944,52.171692,38.70702551436369,-9.297791592180422,4,0.0404,3,0.0303,17,0.1716,6,0.0606,8,0.0808,5,0.0505
27,51,9308,3022.0779,17.3453,54.797561,38.70926683897926,-9.296251065713495,1,0.0107,3,0.0322,20,0.2149,2,0.0215,1,0.0107,2,0.0215
506,0,9122,2961.6883,16.4603,52.500161,38.70346294655581,-9.309741751605328,4,0.0439,3,0.0329,23,0.2521,5,0.0548,3,0.0329,0,0.0000
513,0,8474,2751.2987,17.2601,54.444715,38.709757403249725,-9.298598787978685,4,0.0472,1,0.0118,20,0.2360,0,0.0000,0,0.0000,2,0.0236
41,157,7957,2583.4416,18.7533,59.161625,38.70928817610012,-9.297060388456066,1,0.0126,0,0.0000,11,0.1382,2,0.0251,2,0.0251,0,0.0000
37,55,7872,2555.8442,16.8366,52.833936,38.709695778759595,-9.29650335132424,1,0.0127,6,0.0762,17,0.2160,0,0.0000,2,0.0254,2,0.0254
206,0,7146,2320.1299,15.4673,50.452792,38.70917359053352,-9.29735184491152,0,0.0000,2,0.0280,18,0.2519,2,0.0280,0,0.0000,0,0.0000
237,0,6877,2232.7922,17.4964,54.435923,38.7086143924906,-9.297823534705326,2,0.0291,2,0.0291,15,0.2181,0,0.0000,0,0.0000,2,0.0291
273,625,6652,2159.7403,17.4109,54.770874,38.70807377292216,-9.297970193269636,5,0.0752,2,0.0301,14,0.2105,2,0.0301,2,0.0301,1,0.0150
921,0,6114,1985.0649,15.5747,50.243181,38.70885622316625,-9.297618314541893,0,0.0000,1,0.0164,0,0.0000,2,0.0327,1,0.0164,2,0.0327
170,0,6009,1950.9740,15.5608,50.053049,38.708437703342646,-9.297503268068006,1,0.0166,2,0.0333,11,0.1831,2,0.0333,0,0.0000,1,0.0166
35,0,6001,1948.3766,17.5099,55.158964,38.70945199833142,-9.296790190869384,3,0.0500,0,0.0000,19,0.3166,1,0.0167,1,0.0167,1,0.0167
585,587,5934,1926.6234,17.4896,55.606072,38.70834418797545,-9.297427094573434,2,0.0337,0,0.0000,0,0.0000,1,0.0169,0,0.0000,1,0.0169
684,0,5908,1918.1818,17.3915,54.571981,38.71107024959449,-9.29878095523482,1,0.0169,0,0.0000,14,0.2370,2,0.0339,0,0.0000,1,0.0169
285,0,5583,1812.6623,16.7063,53.029246,38.70811506095738,-9.298182036109457,5,0.0896,1,0.0179,9,0.1612,4,0.0716,1,0.0179,0,0.0000
263,946,5427,1762.0130,16.3554,52.115972,38.7086049330457,-9.297939352796236,5,0.0921,1,0.0184,72,1.3267,4,0.0737,4,0.0737,3,0.0553
109,703,5405,1754.8701,18.1689,57.641349,38.7077945451682,-9.297383113273344,3,0.0555,1,0.0185,6,0.1110,1,0.0185,2,0.0370,7,0.1295
557,0,5324,1728.5714,16.6136,53.64802,38.70526208943649,-9.29676226593515,2,0.0376,2,0.0376,11,0.2066,0,0.0000,0,0.0000,0,0.0000
158,1136,5217,1693.8312,15.5674,49.306306,38.709079651717396,-9.29705982455806,1,0.0192,0,0.0000,6,0.1150,2,0.0383,2,0.0383,1,0.0192
554,2063,5192,1685.7143,16.5497,52.704147,38.70754881923206,-9.297683123888675,1,0.0193,1,0.0193,14,0.2696,0,0.0000,1,0.0193,1,0.0193
