pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,11281,3785.5705,17.2349,54.459715,38.85517211879719,-9.074922709341594,2,0.0177,1,0.0089,18,0.1596,0,0.0000,0,0.0000,0,0.0000
304,1469,10679,3583.5570,16.7319,53.034119,38.85564522696578,-9.076627030143342,1,0.0094,4,0.0375,23,0.2154,5,0.0468,2,0.0187,3,0.0281
194,1226,9616,3226.8456,16.8502,53.377725,38.85506529738295,-9.074507335832758,0,0.0000,3,0.0312,15,0.1560,2,0.0208,5,0.0520,0,0.0000
427,0,8983,3014.4295,19.6464,60.871804,38.85476027887681,-9.075043494069044,7,0.0779,0,0.0000,10,0.1113,1,0.0111,7,0.0779,1,0.0111
333,0,8337,2797.6510,19.2341,60.090082,38.85482315422082,-9.075434609659426,0,0.0000,1,0.0120,22,0.2639,3,0.0360,3,0.0360,1,0.0120
27,51,8078,2710.7383,17.6504,55.773157,38.85272988413415,-9.076450612168264,3,0.0371,1,0.0124,9,0.1114,0,0.0000,3,0.0371,3,0.0371
41,157,7050,2365.7718,18.5526,57.961813,38.85394536732979,-9.073848142902817,7,0.0993,0,0.0000,10,0.1418,3,0.0426,1,0.0142,1,0.0142
513,0,6828,2291.2752,17.4955,55.745968,38.856476822899474,-9.074466014965026,2,0.0293,5,0.0732,15,0.2197,1,0.0146,1,0.0146,1,0.0146
37,55,6359,2133.8926,16.9958,53.81278,38.85229044764137,-9.07640415830813,3,0.0472,2,0.0315,14,0.2202,0,0.0000,1,0.0157,3,0.0472
557,0,5957,1998.9933,17.0824,54.475614,38.8528571308292,-9.077204651360358,4,0.0671,1,0.0168,13,0.2182,1,0.0168,0,0.0000,2,0.0336
100,2728,5807,1948.6577,16.7844,53.602811,38.86983247318209,-9.065377343967642,3,0.0517,2,0.0344,0,0.0000,1,0.0172,0,0.0000,7,0.1205
585,587,5800,1946.3087,17.9609,57.080826,38.85539790661745,-9.072262522069401,1,0.0172,0,0.0000,0,0.0000,0,0.0000,1,0.0172,0,0.0000
52,63,5602,1879.8658,16.5741,53.036585,38.86353641585885,-9.079914068216214,1,0.0179,1,0.0179,10,0.1785,1,0.0179,3,0.0536,0,0.0000
273,625,5585,1874.1611,17.5828,55.359382,38.85486088431497,-9.075004023736003,3,0.0537,0,0.0000,6,0.1074,2,0.0358,0,0.0000,0,0.0000
