pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,8948,2953.1353,16.3985,52.244795,41.18745207231111,-8.562006989943216,1,0.0112,3,0.0335,16,0.1788,4,0.0447,1,0.0112,4,0.0447
194,1226,8942,2951.1551,18.0461,56.823757,41.18729577584946,-8.561576926225584,5,0.0559,2,0.0224,19,0.2125,4,0.0447,1,0.0112,0,0.0000
27,51,8325,2747.5248,18.8579,58.654304,41.18703813715973,-8.561246086145292,1,0.0120,0,0.0000,20,0.2402,1,0.0120,2,0.0240,0,0.0000
513,0,8248,2722.1122,18.9841,59.00229,41.186400874531174,-8.561385564012834,3,0.0364,1,0.0121,16,0.1940,1,0.0121,1,0.0121,1,0.0121
304,1469,8129,2682.8383,16.0047,51.135452,41.187440099540396,-8.561047176939166,6,0.0738,3,0.0369,23,0.2829,4,0.0492,11,0.1353,3,0.0369
427,0,8002,2640.9241,15.6512,50.42933,41.18735273706118,-8.561616629144439,3,0.0375,3,0.0375,18,0.2249,7,0.0875,11,0.1375,0,0.0000
37,55,6814,2248.8449,17.9360,56.765471,41.18701325085225,-8.560267820741448,6,0.0881,0,0.0000,18,0.2642,1,0.0147,3,0.0440,3,0.0440
109,703,5855,1932.3432,18.5146,58.309857,41.18899527382395,-8.564963338823349,1,0.0171,0,0.0000,9,0.1537,1,0.0171,1,0.0171,6,0.1025
273,625,5847,1929.7030,18.6880,59.242576,41.18717807083431,-8.56200727431513,2,0.0342,0,0.0000,15,0.2565,4,0.0684,0,0.0000,1,0.0171
453,0,5727,1890.0990,18.7774,58.530208,41.186882186737215,-8.560351514886245,0,0.0000,0,0.0000,13,0.2270,1,0.0175,0,0.0000,1,0.0175
684,0,5720,1887.7888,17.8364,56.392759,41.18662872189727,-8.560378364546018,1,0.0175,0,0.0000,11,0.1923,0,0.0000,1,0.0175,1,0.0175
41,157,5583,1842.5743,17.6774,56.003004,41.19091873196366,-8.564813827817446,2,0.0358,0,0.0000,16,0.2866,1,0.0179,0,0.0000,0,0.0000
206,0,5240,1729.3729,15.3716,50.254893,41.18673973382788,-8.562000772649979,0,0.0000,0,0.0000,6,0.1145,0,0.0000,1,0.0191,0,0.0000
237,0,5155,1701.3201,18.0318,56.275083,41.18716158079523,-8.561717584353659,2,0.0388,1,0.0194,9,0.1746,1,0.0194,0,0.0000,2,0.0388
554,2063,4577,1510.5611,18.0824,56.330933,41.187371924754565,-8.561666786352168,3,0.0655,0,0.0000,2,0.0437,0,0.0000,0,0.0000,0,0.0000
921,0,4557,1503.9604,15.7437,49.701808,41.187226178593775,-8.561501688356929,0,0.0000,2,0.0439,0,0.0000,2,0.0439,0,0.0000,2,0.0439
35,0,4309,1422.1122,17.7285,56.066169,41.18634706562925,-8.561621545611665,2,0.0464,1,0.0232,12,0.2785,0,0.0000,0,0.0000,2,0.0464
170,0,4300,1419.1419,15.9047,50.783542,41.18699765148482,-8.561449405997418,2,0.0465,2,0.0465,9,0.2093,1,0.0233,0,0.0000,2,0.0465
263,946,4065,1341.5842,15.9036,50.76126,41.187150077971694,-8.561670896877988,1,0.0246,0,0.0000,60,1.4760,3,0.0738,4,0.0984,1,0.0246
736,0,4034,1331.3531,15.6299,51.12152,41.186282644122905,-8.560519304848974,2,0.0496,2,0.0496,11,0.2727,2,0.0496,3,0.0744,0,0.0000
285,0,4028,1329.3729,17.7982,56.980646,41.1876663848698,-8.56191253696055,2,0.0497,0,0.0000,8,0.1986,3,0.0745,0,0.0000,0,0.0000
333,0,3966,1308.9109,17.9251,56.283931,41.187894393484314,-8.563004323763174,2,0.0504,1,0.0252,6,0.1513,2,0.0504,0,0.0000,0,0.0000
506,0,3931,1297.3597,16.1341,52.042193,41.18463294191321,-8.561356819199494,3,0.0763,1,0.0254,5,0.1272,2,0.0509,1,0.0254,0,0.0000
585,587,3911,1290.7591,18.7382,57.822736,41.18747020316735,-8.561538407355554,2,0.0511,0,0.0000,0,0.0000,2,0.0511,0,0.0000,0,0.0000
155,1127,3872,1277.8878,17.9419,56.802717,41.18723972366846,-8.563020098955398,1,0.0258,2,0.0517,6,0.1550,0,0.0000,0,0.0000,0,0.0000
158,1136,3720,1227.7228,15.6608,50.187613,41.18673594593922,-8.562737182153787,1,0.0269,2,0.0538,2,0.0538,0,0.0000,0,0.0000,2,0.0538
152,1118,3718,1227.0627,18.2598,56.612894,41.18764738613947,-8.561746859032674,1,0.0269,0,0.0000,9,0.2421,2,0.0538,2,0.0538,1,0.0269
909,0,3577,1180.5281,18.5563,58.653137,41.18722560582058,-8.562086416811301,2,0.0559,0,0.0000,0,0.0000,0,0.0000,2,0.0559,0,0.0000
13,616,3530,1165.0165,17.9116,55.656278,41.18741896629368,-8.557805060911148,0,0.0000,1,0.0283,6,0.1700,5,0.1416,1,0.0283,0,0.0000
906,0,3530,1165.0165,18.7898,58.474094,41.186961435908074,-8.561710311068005,2,0.0567,0,0.0000,0,0.0000,2,0.0567,2,0.0567,2,0.0567
590,0,3515,1160.0660,20.1289,61.706359,41.1870306765899,-8.561473749829895,1,0.0284,0,0.0000,6,0.1707,0,0.0000,0,0.0000,1,0.0284
919,0,3384,1116.8317,15.4613,50.474093,41.18574835079103,-8.561862213536273,1,0.0296,1,0.0296,0,0.0000,0,0.0000,0,0.0000,1,0.0296
557,0,3381,1115.8416,16.4676,52.314605,41.18858227404233,-8.563956172362932,0,0.0000,2,0.0592,6,0.1775,2,0.0592,0,0.0000,1,0.0296
747,0,3329,1098.6799,19.1211,59.773626,41.18678411200125,-8.562027122472275,1,0.0300,0,0.0000,0,0.0000,1,0.0300,0,0.0000,0,0.0000
777,0,3199,1055.7756,16.0384,50.859766,41.187412087370674,-8.561386622293417,0,0.0000,1,0.0313,0,0.0000,0,0.0000,0,0.0000,0,0.0000
580,0,3105,1024.7525,16.1395,51.332999,41.18396678524387,-8.555770694412741,1,0.0322,1,0.0322,0,0.0000,2,0.0644,0,0.0000,1,0.0322
