pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,17613,5321.1480,16.7790,53.622148,49.322828057130764,6.7549800379327705,2,0.0114,3,0.0170,34,0.1930,7,0.0397,1,0.0057,7,0.0397
194,1226,16818,5080.9668,16.8423,53.586544,49.32297255467662,6.75487714785817,11,0.0654,1,0.0059,34,0.2022,3,0.0178,4,0.0238,0,0.0000
707,0,13706,4140.7855,16.7935,54.055834,49.32351485281344,6.755284125820206,3,0.0219,1,0.0073,0,0.0000,1,0.0073,1,0.0073,0,0.0000
170,0,12527,3784.5921,17.6194,55.88906,49.32296280604216,6.755051516561596,3,0.0239,2,0.0160,19,0.1517,0,0.0000,1,0.0080,3,0.0239
37,55,12467,3766.4653,15.6406,50.23965,49.32321614417659,6.755093960449018,3,0.0241,5,0.0401,19,0.1524,1,0.0080,5,0.0401,3,0.0241
427,0,11749,3549.5468,16.2763,52.433205,49.32203040178285,6.755669019391218,4,0.0340,6,0.0511,19,0.1617,7,0.0596,7,0.0596,1,0.0085
736,0,10863,3281.8731,17.3188,54.632509,49.32336031874631,6.755217523875547,3,0.0276,1,0.0092,20,0.1841,2,0.0184,3,0.0276,1,0.0092
333,0,10771,3254.0785,18.6660,58.522606,49.320478910060075,6.751263656639291,8,0.0743,2,0.0186,22,0.2043,3,0.0279,3,0.0279,0,0.0000
506,0,10615,3206.9486,16.6524,52.85938,49.32477024686213,6.7557506258220235,8,0.0754,5,0.0471,24,0.2261,2,0.0188,3,0.0283,3,0.0283
92,0,10418,3147.4320,17.1228,54.586488,49.32276935955951,6.755432116184429,1,0.0096,1,0.0096,16,0.1536,3,0.0288,5,0.0480,2,0.0192
921,0,10334,3122.0544,16.8186,53.863837,49.322790879269874,6.754970357143753,5,0.0484,1,0.0097,0,0.0000,1,0.0097,12,0.1161,1,0.0097
206,0,9664,2919.6375,20.3949,63.369436,49.32326460663892,6.75537579412379,7,0.0724,0,0.0000,20,0.2070,0,0.0000,0,0.0000,0,0.0000
602,0,9468,2860.4230,18.6144,58.411489,49.32301468735444,6.755055663190547,2,0.0211,0,0.0000,0,0.0000,1,0.0106,1,0.0106,2,0.0211
285,0,9237,2790.6344,15.6485,50.214454,49.322768829700046,6.755446766794489,1,0.0108,3,0.0325,15,0.1624,5,0.0541,3,0.0325,3,0.0325
273,625,8796,2657.4018,15.7538,50.542197,49.32202305851202,6.755754461000464,5,0.0568,2,0.0227,16,0.1819,1,0.0114,1,0.0114,0,0.0000
237,0,8563,2587.0091,16.9945,54.119435,49.323147490288534,6.75508249682257,1,0.0117,1,0.0117,17,0.1985,0,0.0000,4,0.0467,1,0.0117
122,1080,8528,2576.4350,18.8212,58.731192,49.32319467787156,6.7551563578842675,5,0.0586,0,0.0000,15,0.1759,1,0.0117,0,0.0000,4,0.0469
41,157,7838,2367.9758,18.9583,58.928585,49.32243004523316,6.755736323537344,8,0.1021,1,0.0128,10,0.1276,1,0.0128,1,0.0128,1,0.0128
731,0,7444,2248.9426,18.5160,58.165587,49.32502537458635,6.754798924695069,3,0.0403,1,0.0134,0,0.0000,1,0.0134,2,0.0269,0,0.0000
585,587,7430,2244.7130,16.2036,52.146538,49.32318006309427,6.754787881720844,6,0.0808,2,0.0269,0,0.0000,1,0.0135,2,0.0269,2,0.0269
152,1118,7118,2150.4532,15.4493,50.440769,49.32216167646206,6.754833578991333,1,0.0140,2,0.0281,12,0.1686,2,0.0281,5,0.0702,4,0.0562
133,0,7064,2134.1390,16.7534,53.595735,49.32288606319944,6.754143479114225,1,0.0142,1,0.0142,15,0.2123,4,0.0566,9,0.1274,11,0.1557
263,946,7063,2133.8369,16.3106,51.893939,49.32299713118344,6.755283767693194,1,0.0142,1,0.0142,125,1.7698,2,0.0283,1,0.0142,0,0.0000
684,0,7008,2117.2205,17.0458,53.677054,49.323987917465274,6.755254424803422,1,0.0143,1,0.0143,12,0.1712,1,0.0143,0,0.0000,1,0.0143
155,1127,6831,2063.7462,15.5144,50.492079,49.322861711700554,6.754827016971753,1,0.0146,1,0.0146,14,0.2049,4,0.0586,3,0.0439,3,0.0439
158,1136,6759,2041.9940,16.8822,53.572387,49.323017802373286,6.755146684791335,2,0.0296,4,0.0592,23,0.3403,1,0.0148,2,0.0296,2,0.0296
287,0,6365,1922.9607,16.6046,53.890146,49.32333827927965,6.75538122982908,5,0.0786,1,0.0157,11,0.1728,3,0.0471,1,0.0157,1,0.0157
919,0,6204,1874.3202,16.9687,53.400672,49.32427101675756,6.754553515556398,1,0.0161,0,0.0000,0,0.0000,2,0.0322,2,0.0322,2,0.0322
580,0,6126,1850.7553,19.1796,59.903497,49.32318957832455,6.755299795406207,5,0.0816,1,0.0163,0,0.0000,1,0.0163,1,0.0163,5,0.0816
109,703,6115,1847.4320,17.6283,55.4106,49.32302440219667,6.756240273911913,3,0.0491,1,0.0164,24,0.3925,0,0.0000,0,0.0000,0,0.0000
261,1367,5834,1762.5378,15.5619,49.947398,49.322884878286864,6.754745905833267,4,0.0686,0,0.0000,9,0.1543,0,0.0000,0,0.0000,0,0.0000
912,0,5700,1722.0544,16.5728,52.752019,49.322781339158055,6.754923481793363,0,0.0000,2,0.0351,0,0.0000,2,0.0351,3,0.0526,0,0.0000
453,0,5675,1714.5015,16.9121,53.57181,49.32333439348497,6.755255654591061,2,0.0352,0,0.0000,9,0.1586,1,0.0176,1,0.0176,2,0.0352
35,0,5576,1684.5921,17.2245,54.314566,49.32211714930727,6.755531751291824,1,0.0179,1,0.0179,11,0.1973,2,0.0359,0,0.0000,1,0.0179
25,598,5385,1626.8882,16.8071,54.346026,49.323035618053126,6.7548773245838,5,0.0929,0,0.0000,9,0.1671,1,0.0186,0,0.0000,7,0.1300
909,0,5227,1579.1541,15.4959,50.785828,49.32298899906446,6.755100434878873,3,0.0574,5,0.0957,0,0.0000,0,0.0000,4,0.0765,1,0.0191
906,0,5185,1566.4653,15.7273,50.798656,49.322983608388746,6.754868995370856,0,0.0000,1,0.0193,0,0.0000,1,0.0193,4,0.0771,0,0.0000
431,0,5164,1560.1208,16.5476,53.142337,49.32313637214709,6.755366288226794,1,0.0194,4,0.0775,8,0.1549,2,0.0387,1,0.0194,0,0.0000
574,0,4938,1491.8429,17.7831,56.849437,49.32268857155624,6.7548962840122755,3,0.0608,1,0.0203,10,0.2025,0,0.0000,1,0.0203,0,0.0000
179,646,4443,1342.2961,17.2766,54.783784,49.32290839335365,6.754905654597401,2,0.0450,1,0.0225,9,0.2026,0,0.0000,4,0.0900,1,0.0225
434,791,4272,1290.6344,17.2320,54.498444,49.32321601790091,6.755521640941025,2,0.0468,1,0.0234,0,0.0000,1,0.0234,0,0.0000,1,0.0234
513,0,4249,1283.6858,15.7178,51.030607,49.323748856919366,6.755280476976104,1,0.0235,3,0.0706,12,0.2824,0,0.0000,0,0.0000,1,0.0235
396,1658,4105,1240.1813,18.1276,57.162241,49.322904134804986,6.755004254398807,1,0.0244,0,0.0000,10,0.2436,3,0.0731,1,0.0244,0,0.0000
