pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
109,703,13637,4315.5063,18.3454,57.523244,41.18598945214324,-8.627223729082923,6,0.0440,0,0.0000,33,0.2420,1,0.0073,1,0.0073,6,0.0440
915,0,9346,2957.5949,16.3271,52.150208,41.190550731014305,-8.625705636976488,2,0.0214,2,0.0214,16,0.1712,3,0.0321,1,0.0107,2,0.0214
194,1226,9257,2929.4304,17.9752,56.708839,41.19050881751537,-8.625687375799156,3,0.0324,3,0.0324,16,0.1728,2,0.0216,1,0.0108,0,0.0000
427,0,9211,2914.8734,15.8220,50.770501,41.19007864286338,-8.626314944091215,2,0.0217,5,0.0543,19,0.2063,4,0.0434,6,0.0651,0,0.0000
453,0,7400,2341.7722,18.3507,58.103343,41.18801464503014,-8.626717951351377,4,0.0541,2,0.0270,16,0.2162,0,0.0000,0,0.0000,1,0.0135
513,0,7187,2274.3671,18.7483,58.473822,41.19121150457414,-8.625346624904703,4,0.0557,0,0.0000,15,0.2087,0,0.0000,0,0.0000,0,0.0000
273,625,6714,2124.6835,18.5432,58.424501,41.19051412468135,-8.624505783480036,3,0.0447,1,0.0149,9,0.1340,0,0.0000,0,0.0000,1,0.0149
37,55,6586,2084.1772,17.7912,56.583289,41.189935523585945,-8.626002636873913,1,0.0152,1,0.0152,12,0.1822,3,0.0456,0,0.0000,3,0.0456
27,51,5984,1893.6709,18.7069,58.585856,41.19217254044684,-8.625305837812753,1,0.0167,1,0.0167,9,0.1504,1,0.0167,2,0.0334,0,0.0000
206,0,5534,1751.2658,15.4246,49.947823,41.18996478121913,-8.625758094845859,0,0.0000,2,0.0361,11,0.1988,1,0.0181,2,0.0361,0,0.0000
237,0,5131,1623.7342,17.8525,55.937071,41.19038306718521,-8.625644905475445,2,0.0390,1,0.0195,8,0.1559,1,0.0195,0,0.0000,2,0.0390
285,0,4685,1482.5949,17.9434,56.456813,41.190002308052186,-8.629176679771222,2,0.0427,0,0.0000,10,0.2134,1,0.0213,1,0.0213,1,0.0213
921,0,4672,1478.4810,15.5933,50.461879,41.190514884914975,-8.625726551746627,2,0.0428,2,0.0428,0,0.0000,4,0.0856,2,0.0428,2,0.0428
304,1469,4505,1425.6329,15.8260,51.202324,41.19648056763369,-8.62282540374336,3,0.0666,1,0.0222,9,0.1998,3,0.0666,6,0.1332,1,0.0222
170,0,4475,1416.1392,15.7553,51.021663,41.1907640643536,-8.626115357930859,0,0.0000,1,0.0223,7,0.1564,0,0.0000,0,0.0000,0,0.0000
333,0,4390,1389.2405,17.5820,55.408756,41.19421156608326,-8.621652503629903,1,0.0228,1,0.0228,10,0.2278,0,0.0000,0,0.0000,0,0.0000
155,1127,4177,1321.8354,18.0922,56.754688,41.190202157178064,-8.626778261282293,2,0.0479,0,0.0000,8,0.1915,1,0.0239,1,0.0239,0,0.0000
152,1118,4104,1298.7342,17.9508,56.72512,41.190488185238934,-8.625241048319637,4,0.0975,1,0.0244,2,0.0487,0,0.0000,2,0.0487,1,0.0244
16,0,4070,1287.9747,16.8536,54.127204,41.187470687200964,-8.629767418881459,0,0.0000,0,0.0000,7,0.1720,2,0.0491,1,0.0246,1,0.0246
684,0,4061,1285.1266,17.7759,56.232431,41.192952320386105,-8.625113386499644,2,0.0492,1,0.0246,6,0.1477,0,0.0000,0,0.0000,2,0.0492
158,1136,4057,1283.8608,15.6325,50.462549,41.18984052806167,-8.625723732854658,2,0.0493,0,0.0000,3,0.0739,2,0.0493,2,0.0493,1,0.0246
585,587,4034,1276.5823,18.1430,57.825094,41.19072184321334,-8.625720311473161,2,0.0496,1,0.0248,0,0.0000,0,0.0000,0,0.0000,0,0.0000
263,946,4027,1274.3671,15.8073,50.935108,41.190229544923746,-8.626178071856504,2,0.0497,1,0.0248,54,1.3409,1,0.0248,4,0.0993,1,0.0248
506,0,3990,1262.6582,16.3624,51.897529,41.188241328270266,-8.626354125059768,2,0.0501,0,0.0000,13,0.3258,0,0.0000,2,0.0501,1,0.0251
519,0,3946,1248.7342,17.3685,54.679247,41.192853972618444,-8.624305145349352,0,0.0000,3,0.0760,15,0.3801,0,0.0000,0,0.0000,1,0.0253
41,157,3793,1200.3165,17.7959,55.633464,41.19246532360785,-8.625892876956993,2,0.0527,0,0.0000,10,0.2636,0,0.0000,1,0.0264,1,0.0264
590,0,3761,1190.1899,19.8133,61.577698,41.18978135093507,-8.625722171477433,4,0.1064,1,0.0266,9,0.2393,1,0.0266,0,0.0000,4,0.1064
919,0,3758,1189.2405,15.6410,50.642148,41.18852094804649,-8.629229057334062,0,0.0000,0,0.0000,0,0.0000,2,0.0532,2,0.0532,1,0.0266
731,0,3720,1177.2152,16.7145,53.442621,41.187136705476334,-8.63091617743998,1,0.0269,0,0.0000,0,0.0000,2,0.0538,0,0.0000,0,0.0000
906,0,3694,1168.9873,18.5474,58.629088,41.189902414984296,-8.625812153903702,1,0.0271,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
909,0,3605,1140.8228,18.6807,57.862857,41.1898973985603,-8.626222674455827,1,0.0277,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
557,0,3491,1104.7468,16.6058,52.158869,41.19008710475486,-8.627435244578237,1,0.0286,0,0.0000,10,0.2865,0,0.0000,0,0.0000,0,0.0000
702,0,3404,1077.2152,18.0050,56.328455,41.19075876600141,-8.621537192117852,2,0.0588,1,0.0294,5,0.1469,0,0.0000,0,0.0000,0,0.0000
35,0,3307,1046.5190,17.1594,55.422498,41.1923725343921,-8.62508880739444,3,0.0907,0,0.0000,6,0.1814,1,0.0302,0,0.0000,0,0.0000
110,706,3294,1042.4051,18.4657,57.528837,41.184589842561465,-8.628336800753601,0,0.0000,1,0.0304,0,0.0000,0,0.0000,0,0.0000,0,0.0000
747,0,3286,1039.8734,19.3865,60.380761,41.19131317657396,-8.626368059062779,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
261,1367,3234,1023.4177,15.3210,50.34086,41.1896102209321,-8.62635228535922,0,0.0000,1,0.0309,5,0.1546,3,0.0928,1,0.0309,0,0.0000
736,0,3155,998.4177,15.8108,50.569452,41.1925678484429,-8.625030071493118,0,0.0000,0,0.0000,9,0.2853,1,0.0317,1,0.0317,1,0.0317
274,628,2989,945.8861,18.5550,58.999281,41.18987457160423,-8.626388833480275,1,0.0335,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
296,1451,2936,929.1139,17.7241,56.392698,41.18447151014104,-8.627356027149709,2,0.0681,2,0.0681,4,0.1362,2,0.0681,2,0.0681,0,0.0000
133,0,2778,879.1139,16.1379,51.857441,41.18662291964043,-8.62815901408057,1,0.0360,0,0.0000,2,0.0720,4,0.1440,4,0.1440,5,0.1800
912,0,2703,855.3797,15.6929,50.415605,41.19002860863288,-8.626682947912077,0,0.0000,0,0.0000,0,0.0000,1,0.0370,3,0.1110,0,0.0000
122,1080,2698,853.7975,18.1753,56.699529,41.187061857931575,-8.627080822880309,0,0.0000,0,0.0000,4,0.1483,0,0.0000,1,0.0371,0,0.0000
163,0,2697,853.4810,16.3867,52.227509,41.18731646593581,-8.627505075438973,0,0.0000,1,0.0371,7,0.2595,0,0.0000,0,0.0000,0,0.0000
592,2330,2628,831.6456,15.6027,50.61645,41.18879545063866,-8.628110047110864,0,0.0000,0,0.0000,2,0.0761,0,0.0000,0,0.0000,1,0.0381
431,0,2519,797.1519,16.3410,51.429452,41.19025172773479,-8.6261090385409,1,0.0397,0,0.0000,6,0.2382,0,0.0000,0,0.0000,0,0.0000
554,2063,2504,792.4051,17.9297,57.098023,41.195991416029244,-8.623454140346109,1,0.0399,0,0.0000,3,0.1198,0,0.0000,1,0.0399,0,0.0000
316,0,2501,791.4557,17.5678,55.842587,41.188995070455924,-8.62553482631419,2,0.0800,0,0.0000,5,0.1999,1,0.0400,0,0.0000,0,0.0000
