"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"109"	"703"	"13637"	"3.6568"	"1.032434776181295500"	"0.602787535334176300"	"3.0051"	"8.6375"	"8.6268"	"8.6212"	"18.3454"	"57.523244"	"41.185989452143240000"	"-8.627223729082923000"	"6"	"0.0440"	"0"	"0.0000"	"33"	"0.2420"	"1"	"0.0073"	"1"	"0.0073"	"6"	"0.0440"
"915"	"0"	"9346"	"2.5062"	"10.464371872940799000"	"0.499563989191029100"	"2.9947"	"7.7667"	"7.8542"	"7.8467"	"16.3271"	"52.150208"	"41.190550731014305000"	"-8.625705636976488000"	"2"	"0.0214"	"2"	"0.0214"	"16"	"0.1712"	"3"	"0.0321"	"1"	"0.0107"	"2"	"0.0214"
"194"	"1226"	"9257"	"2.4823"	"8.738144113250092000"	"0.410408744811302600"	"2.9996"	"8.4589"	"8.5382"	"8.5219"	"17.9752"	"56.708839"	"41.190508817515370000"	"-8.625687375799156000"	"3"	"0.0324"	"3"	"0.0324"	"16"	"0.1728"	"2"	"0.0216"	"1"	"0.0108"	"0"	"0.0000"
"427"	"0"	"9211"	"2.4700"	"5.655009240620583000"	"0.400463443435333500"	"2.9996"	"7.6068"	"7.5648"	"7.6752"	"15.8220"	"50.770501"	"41.190078642863380000"	"-8.626314944091215000"	"2"	"0.0217"	"5"	"0.0543"	"19"	"0.2063"	"4"	"0.0434"	"6"	"0.0651"	"0"	"0.0000"
"453"	"0"	"7400"	"1.9843"	"23.640999366633356000"	"0.699895523602834600"	"2.9995"	"8.6773"	"8.7143"	"8.7549"	"18.3507"	"58.103343"	"41.188014645030140000"	"-8.626717951351377000"	"4"	"0.0541"	"2"	"0.0270"	"16"	"0.2162"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0135"
"513"	"0"	"7187"	"1.9272"	"11.245023483935213000"	"0.599506014067554700"	"3.0045"	"8.7903"	"8.7280"	"8.7949"	"18.7483"	"58.473822"	"41.191211504574140000"	"-8.625346624904703000"	"4"	"0.0557"	"0"	"0.0000"	"15"	"0.2087"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"273"	"625"	"6714"	"1.8004"	"4.096175321865068000"	"0.509630584425305500"	"3.0001"	"8.7674"	"8.7623"	"8.7614"	"18.5432"	"58.424501"	"41.190514124681350000"	"-8.624505783480036000"	"3"	"0.0447"	"1"	"0.0149"	"9"	"0.1340"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0149"
"37"	"55"	"6586"	"1.7661"	"10.182465753514641000"	"0.601218516463084900"	"3.0017"	"8.4941"	"8.5059"	"8.4625"	"17.7912"	"56.583289"	"41.189935523585945000"	"-8.626002636873913000"	"1"	"0.0152"	"1"	"0.0152"	"12"	"0.1822"	"3"	"0.0456"	"0"	"0.0000"	"3"	"0.0456"
"27"	"51"	"5984"	"1.6046"	"12.364755195732219000"	"0.601289520373548700"	"3.0018"	"8.7569"	"8.8244"	"8.7824"	"18.7069"	"58.585856"	"41.192172540446840000"	"-8.625305837812753000"	"1"	"0.0167"	"1"	"0.0167"	"9"	"0.1504"	"1"	"0.0167"	"2"	"0.0334"	"0"	"0.0000"
"206"	"0"	"5534"	"1.4840"	"14.394877252569788000"	"1.500880617440082400"	"2.9938"	"7.5258"	"7.4306"	"7.5201"	"15.4246"	"49.947823"	"41.189964781219130000"	"-8.625758094845859000"	"0"	"0.0000"	"2"	"0.0361"	"11"	"0.1988"	"1"	"0.0181"	"2"	"0.0361"	"0"	"0.0000"
"237"	"0"	"5131"	"1.3759"	"49.430571949586840000"	"1.403134601172114400"	"2.9998"	"8.4664"	"8.3787"	"8.3266"	"17.8525"	"55.937071"	"41.190383067185210000"	"-8.625644905475445000"	"2"	"0.0390"	"1"	"0.0195"	"8"	"0.1559"	"1"	"0.0195"	"0"	"0.0000"	"2"	"0.0390"
"285"	"0"	"4685"	"1.2563"	"4.580718577761243000"	"0.408364927773800600"	"2.9927"	"8.4999"	"8.5225"	"8.3831"	"17.9434"	"56.456813"	"41.190002308052186000"	"-8.629176679771222000"	"2"	"0.0427"	"0"	"0.0000"	"10"	"0.2134"	"1"	"0.0213"	"1"	"0.0213"	"1"	"0.0213"
"921"	"0"	"4672"	"1.2528"	"2.572439560736620000"	"0.301098698051545900"	"3.0076"	"7.5497"	"7.4403"	"7.7179"	"15.5933"	"50.461879"	"41.190514884914975000"	"-8.625726551746627000"	"2"	"0.0428"	"2"	"0.0428"	"0"	"0.0000"	"4"	"0.0856"	"2"	"0.0428"	"2"	"0.0428"
"304"	"1469"	"4505"	"1.2080"	"61.433149290796855000"	"0.409708952652018570"	"3.0029"	"7.7478"	"7.6546"	"7.6386"	"15.8260"	"51.202324"	"41.196480567633690000"	"-8.622825403743360000"	"3"	"0.0666"	"1"	"0.0222"	"9"	"0.1998"	"3"	"0.0666"	"6"	"0.1332"	"1"	"0.0222"
"170"	"0"	"4475"	"1.2000"	"12.315906320772156000"	"0.510474381642718400"	"3.0009"	"7.5933"	"7.6438"	"7.7227"	"15.7553"	"51.021663"	"41.190764064353600000"	"-8.626115357930859000"	"0"	"0.0000"	"1"	"0.0223"	"7"	"0.1564"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"333"	"0"	"4390"	"1.1772"	"1.233502730927781700"	"0.410483072306803600"	"3.0039"	"8.3018"	"8.3155"	"8.3166"	"17.5820"	"55.408756"	"41.194211566083260000"	"-8.621652503629903000"	"1"	"0.0228"	"1"	"0.0228"	"10"	"0.2278"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"155"	"1127"	"4177"	"1.1201"	"8.132279883957596000"	"0.510801885925608600"	"2.9957"	"8.4963"	"8.6141"	"8.4293"	"18.0922"	"56.754688"	"41.190202157178064000"	"-8.626778261282293000"	"2"	"0.0479"	"0"	"0.0000"	"8"	"0.1915"	"1"	"0.0239"	"1"	"0.0239"	"0"	"0.0000"
"152"	"1118"	"4104"	"1.1005"	"6.594157388944789000"	"0.892642725541422500"	"2.9995"	"8.5214"	"8.4115"	"8.5933"	"17.9508"	"56.725120"	"41.190488185238934000"	"-8.625241048319637000"	"4"	"0.0975"	"1"	"0.0244"	"2"	"0.0487"	"0"	"0.0000"	"2"	"0.0487"	"1"	"0.0244"
"16"	"0"	"4070"	"1.0914"	"1.843936631598944300"	"0.300041698318277200"	"2.9973"	"8.1445"	"8.0774"	"8.1354"	"16.8536"	"54.127204"	"41.187470687200964000"	"-8.629767418881459000"	"0"	"0.0000"	"0"	"0.0000"	"7"	"0.1720"	"2"	"0.0491"	"1"	"0.0246"	"1"	"0.0246"
"684"	"0"	"4061"	"1.0890"	"3.614072223951579000"	"0.400861261454425850"	"2.9985"	"8.4622"	"8.4349"	"8.4075"	"17.7759"	"56.232431"	"41.192952320386105000"	"-8.625113386499644000"	"2"	"0.0492"	"1"	"0.0246"	"6"	"0.1477"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0492"
