pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,9102,3106.4846,17.8024,55.99458,40.204367532459266,-8.4481811726938,2,0.0220,3,0.0330,20,0.2197,1,0.0110,1,0.0110,1,0.0110
27,51,7901,2696.5870,18.5208,57.75634,40.202857434393245,-8.448496099823698,2,0.0253,0,0.0000,19,0.2405,0,0.0000,2,0.0253,1,0.0127
194,1226,7564,2581.5700,17.3514,55.016494,40.20504303970479,-8.448806710850317,5,0.0661,1,0.0132,17,0.2247,4,0.0529,1,0.0132,0,0.0000
427,0,7359,2511.6041,16.1419,52.280082,40.20396464052646,-8.448240039268086,1,0.0136,1,0.0136,12,0.1631,2,0.0272,3,0.0408,0,0.0000
29,776,6945,2370.3072,16.6586,52.952904,40.218704329921394,-8.451270230733874,1,0.0144,1,0.0144,12,0.1728,2,0.0288,2,0.0288,2,0.0288
304,1469,6239,2129.3515,17.3076,55.001342,40.20182337250817,-8.446893278772597,1,0.0160,0,0.0000,6,0.0962,0,0.0000,5,0.0801,1,0.0160
513,0,6221,2123.2082,18.4988,57.861686,40.203693894247984,-8.446983942769528,3,0.0482,1,0.0161,20,0.3215,0,0.0000,0,0.0000,2,0.0321
37,55,5298,1808.1911,17.8352,55.719602,40.20287561695528,-8.448287870321892,0,0.0000,0,0.0000,8,0.1510,2,0.0378,0,0.0000,1,0.0189
273,625,4766,1626.6212,18.3363,57.743729,40.20403689447465,-8.447002674518899,3,0.0629,1,0.0210,13,0.2728,1,0.0210,0,0.0000,0,0.0000
41,157,4430,1511.9454,16.5519,53.540007,40.202434215971984,-8.446713190374252,2,0.0451,0,0.0000,10,0.2257,2,0.0451,3,0.0677,1,0.0226
684,0,4397,1500.6826,17.3812,55.45902,40.20423528496295,-8.44795226849827,1,0.0227,1,0.0227,5,0.1137,0,0.0000,1,0.0227,1,0.0227
206,0,4185,1428.3276,15.6894,50.233403,40.20440444884183,-8.448470362935986,2,0.0478,3,0.0717,10,0.2389,0,0.0000,1,0.0239,0,0.0000
237,0,4050,1382.2526,17.5785,54.954766,40.20398286151135,-8.448250651929413,1,0.0247,0,0.0000,12,0.2963,0,0.0000,0,0.0000,1,0.0247
35,0,4033,1376.4505,16.7498,53.31128,40.20152980007696,-8.44716132078715,1,0.0248,1,0.0248,6,0.1488,1,0.0248,0,0.0000,0,0.0000
285,0,3926,1339.9317,17.7731,55.527906,40.203557508401644,-8.447849935752549,2,0.0509,0,0.0000,5,0.1274,4,0.1019,0,0.0000,0,0.0000
921,0,3702,1263.4812,15.5551,49.780338,40.20427630378833,-8.447949705342552,1,0.0270,1,0.0270,0,0.0000,1,0.0270,4,0.1080,0,0.0000
736,0,3683,1256.9966,15.4800,49.894779,40.205174849157906,-8.448902102988455,1,0.0272,0,0.0000,5,0.1358,0,0.0000,2,0.0543,1,0.0272
333,0,3450,1177.4744,17.7742,55.958076,40.2022981504049,-8.44643490697236,2,0.0580,0,0.0000,8,0.2319,0,0.0000,0,0.0000,1,0.0290
170,0,3391,1157.3379,15.3819,50.01998,40.205397564800734,-8.448836501244804,0,0.0000,0,0.0000,1,0.0295,1,0.0295,3,0.0885,0,0.0000
554,2063,3205,1093.8567,17.6512,55.457105,40.20150106537203,-8.446814695804168,2,0.0624,0,0.0000,4,0.1248,0,0.0000,0,0.0000,0,0.0000
263,946,3179,1084.9829,17.2454,54.569767,40.2040761489661,-8.448045608002152,1,0.0315,0,0.0000,47,1.4785,2,0.0629,1,0.0315,0,0.0000
585,587,3120,1064.8464,19.1487,59.962853,40.20406545112391,-8.447668369585385,2,0.0641,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
453,0,3083,1052.2184,17.8874,56.711726,40.20609761347345,-8.450508096764112,4,0.1297,0,0.0000,8,0.2595,0,0.0000,0,0.0000,1,0.0324
158,1136,3081,1051.5358,15.5164,49.793376,40.20353799801535,-8.448293971615222,0,0.0000,0,0.0000,7,0.2272,0,0.0000,1,0.0325,2,0.0649
155,1127,2972,1014.3345,17.6171,55.735101,40.202831505435924,-8.447847811546191,2,0.0673,0,0.0000,6,0.2019,0,0.0000,1,0.0336,0,0.0000
152,1118,2877,981.9113,17.1616,55.812051,40.20261942275852,-8.447335892899686,0,0.0000,1,0.0348,2,0.0695,0,0.0000,0,0.0000,1,0.0348
519,0,2805,957.3379,17.6421,55.533423,40.202185915098994,-8.444627037555216,1,0.0357,0,0.0000,7,0.2496,0,0.0000,1,0.0357,0,0.0000
909,0,2793,953.2423,18.7615,58.538393,40.20414666038115,-8.44794140434079,1,0.0358,1,0.0358,0,0.0000,0,0.0000,0,0.0000,0,0.0000
906,0,2779,948.4642,18.8032,59.107618,40.204175314383434,-8.447833232531396,0,0.0000,1,0.0360,0,0.0000,1,0.0360,1,0.0360,1,0.0360
747,0,2681,915.0171,17.4427,54.831891,40.20591035508357,-8.450077030733139,1,0.0373,0,0.0000,0,0.0000,0,0.0000,1,0.0373,0,0.0000
287,0,2678,913.9932,18.2886,57.056834,40.203949731801686,-8.448660170421979,0,0.0000,0,0.0000,3,0.1120,0,0.0000,1,0.0373,0,0.0000
590,0,2673,912.2867,19.2323,59.882769,40.204356105211176,-8.44801271881004,1,0.0374,0,0.0000,7,0.2619,1,0.0374,0,0.0000,1,0.0374
777,0,2523,861.0922,15.4102,50.181819,40.202023909729206,-8.446714079224925,0,0.0000,1,0.0396,0,0.0000,0,0.0000,0,0.0000,0,0.0000
557,0,2478,845.7338,17.8006,57.33293,40.20287762203907,-8.447058169735508,0,0.0000,0,0.0000,2,0.0807,0,0.0000,0,0.0000,0,0.0000
109,703,2289,781.2287,17.7628,55.674015,40.203129799828666,-8.447738717757497,0,0.0000,0,0.0000,6,0.2621,0,0.0000,0,0.0000,2,0.0874
431,0,2281,778.4983,18.2569,56.965327,40.20431335331336,-8.448040554863143,2,0.0877,1,0.0438,7,0.3069,0,0.0000,0,0.0000,0,0.0000
274,628,2254,769.2833,18.3527,58.036074,40.203943394320646,-8.447938574775407,3,0.1331,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
506,0,2113,721.1604,17.5414,56.320284,40.20581374245893,-8.448625214141794,1,0.0473,0,0.0000,5,0.2366,2,0.0947,0,0.0000,0,0.0000
702,0,2080,709.8976,17.3644,54.752154,40.203906124660016,-8.444932784836254,0,0.0000,1,0.0481,5,0.2404,0,0.0000,0,0.0000,0,0.0000
912,0,2074,707.8498,15.1331,50.40283,40.204069921130106,-8.447892881453143,0,0.0000,1,0.0482,0,0.0000,2,0.0964,0,0.0000,2,0.0964
261,1367,1939,661.7747,16.0062,51.352899,40.20476736874495,-8.448107672474247,1,0.0516,0,0.0000,4,0.2063,0,0.0000,1,0.0516,0,0.0000
25,598,1931,659.0444,15.1921,50.325029,40.20270967303446,-8.447748285283227,1,0.0518,0,0.0000,3,0.1554,1,0.0518,1,0.0518,2,0.1036
13,616,1886,643.6860,17.3324,54.967667,40.20255936017663,-8.446943576784372,2,0.1060,1,0.0530,2,0.1060,3,0.1591,1,0.0530,0,0.0000
58,280,1882,642.3208,17.8624,57.262954,40.19890770547066,-8.447389624330894,1,0.0531,0,0.0000,0,0.0000,1,0.0531,1,0.0531,0,0.0000
265,0,1846,630.0341,15.3705,50.721197,40.20283493840527,-8.44872917770897,0,0.0000,0,0.0000,3,0.1625,1,0.0542,0,0.0000,0,0.0000
203,0,1836,626.6212,17.3154,56.339924,40.20400301085697,-8.44326403022834,2,0.1089,0,0.0000,2,0.1089,0,0.0000,0,0.0000,0,0.0000
216,1265,1768,603.4130,18.1374,56.837675,40.20486821800127,-8.448793404077247,2,0.1131,1,0.0566,1,0.0566,0,0.0000,2,0.1131,1,0.0566
919,0,1767,603.0717,15.4448,50.657001,40.20793702255987,-8.449560269668003,1,0.0566,2,0.1132,0,0.0000,1,0.0566,1,0.0566,0,0.0000
580,0,1746,595.9044,15.8511,49.348339,40.2025841712633,-8.446615673462617,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
574,0,1635,558.0205,15.7364,50.189596,40.20401094101337,-8.447595521530172,1,0.0612,2,0.1223,1,0.0612,1,0.0612,1,0.0612,1,0.0612
353,908,1634,557.6792,15.7748,51.025563,40.20291555846506,-8.44486831893065,0,0.0000,0,0.0000,4,0.2448,0,0.0000,0,0.0000,1,0.0612
761,0,1631,556.6553,17.4286,55.003722,40.2040329202979,-8.447708563510345,1,0.0613,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
179,646,1621,553.2423,15.3634,49.81839,40.203762551296364,-8.44782898830906,0,0.0000,1,0.0617,7,0.4318,0,0.0000,0,0.0000,0,0.0000
527,0,1606,548.1229,16.1594,49.606993,40.20385966840699,-8.447509120170324,0,0.0000,0,0.0000,6,0.3736,0,0.0000,0,0.0000,0,0.0000
613,2231,1595,544.3686,15.0721,49.85437,40.204192800208936,-8.447927637172343,0,0.0000,0,0.0000,3,0.1881,0,0.0000,1,0.0627,0,0.0000
220,1277,1589,542.3208,17.5834,55.604613,40.204131722046135,-8.448225673773987,1,0.0629,0,0.0000,2,0.1259,1,0.0629,0,0.0000,1,0.0629
74,67,1542,526.2799,19.7795,61.031823,40.20193805892683,-8.44608982561211,1,0.0649,0,0.0000,0,0.0000,0,0.0000,1,0.0649,0,0.0000
316,0,1527,521.1604,17.0000,54.673681,40.203789012148476,-8.446624796170545,3,0.1965,1,0.0655,5,0.3274,2,0.1310,0,0.0000,0,0.0000
539,0,1508,514.6758,17.0106,54.369304,40.202649354540156,-8.445317054988987,1,0.0663,1,0.0663,5,0.3316,0,0.0000,0,0.0000,0,0.0000
52,63,1507,514.3345,17.0975,53.352548,40.20278805850815,-8.447594078907935,1,0.0664,0,0.0000,1,0.0664,0,0.0000,0,0.0000,0,0.0000
753,0,1473,502.7304,18.2057,56.96611,40.20307663517311,-8.448665457305937,1,0.0679,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
592,2330,1445,493.1741,15.6069,50.048395,40.203858535990314,-8.44748914738725,0,0.0000,0,0.0000,6,0.4152,0,0.0000,0,0.0000,0,0.0000
228,229,1417,483.6177,18.5695,58.561877,40.204916611536696,-8.449126816004153,0,0.0000,0,0.0000,5,0.3529,0,0.0000,0,0.0000,0,0.0000
434,791,1409,480.8874,16.7495,54.226146,40.20452459832738,-8.448146909395554,1,0.0710,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
676,2629,1388,473.7201,17.2709,55.557097,40.20346808650265,-8.447491961090275,0,0.0000,0,0.0000,3,0.2161,0,0.0000,0,0.0000,0,0.0000
524,0,1388,473.7201,17.8365,55.413163,40.202425674391236,-8.446080356259097,0,0.0000,0,0.0000,2,0.1441,0,0.0000,0,0.0000,0,0.0000
38,57,1323,451.5358,17.8110,55.300287,40.20314749506457,-8.448997769279995,1,0.0756,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0756
396,1658,1287,439.2491,17.2510,54.529977,40.20602898111724,-8.448482926113527,1,0.0777,0,0.0000,1,0.0777,1,0.0777,1,0.0777,0,0.0000
275,631,1239,422.8669,18.8006,58.104173,40.20419403034185,-8.447451084717736,1,0.0807,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
50,59,1219,416.0410,15.7260,51.346415,40.20282193872876,-8.448613224953537,1,0.0820,0,0.0000,5,0.4102,0,0.0000,1,0.0820,0,0.0000
133,0,1165,397.6109,17.6695,57.125434,40.20275467889731,-8.446937435177293,0,0.0000,0,0.0000,2,0.1717,1,0.0858,3,0.2575,2,0.1717
84,0,1153,393.5154,17.7016,56.203088,40.202751244228594,-8.447990086122097,0,0.0000,0,0.0000,3,0.2602,0,0.0000,0,0.0000,0,0.0000
338,0,1109,378.4983,17.1758,54.874256,40.20404568359534,-8.447317350481052,0,0.0000,0,0.0000,2,0.1803,0,0.0000,0,0.0000,0,0.0000
163,0,1108,378.1570,18.1354,56.853231,40.208123362381215,-8.44955345039525,2,0.1805,0,0.0000,3,0.2708,0,0.0000,0,0.0000,0,0.0000
234,941,1101,375.7679,17.9564,56.732325,40.20429838770005,-8.447724644561292,2,0.1817,0,0.0000,3,0.2725,0,0.0000,0,0.0000,2,0.1817
618,2345,1096,374.0614,17.6296,55.999708,40.203524925267395,-8.447000960645637,0,0.0000,0,0.0000,13,1.1861,0,0.0000,0,0.0000,0,0.0000
108,0,1075,366.8942,17.6949,55.954428,40.20285585455785,-8.44783140559544,0,0.0000,1,0.0930,13,1.2093,0,0.0000,0,0.0000,0,0.0000
