pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,14018,4300.0000,16.8409,53.539605,38.62233924131387,-9.107218495482176,7,0.0499,0,0.0000,18,0.1284,7,0.0499,9,0.0642,2,0.0143
194,1226,13187,4045.0920,16.9961,54.243314,38.62276930061964,-9.107085301319414,5,0.0379,0,0.0000,23,0.1744,3,0.0227,2,0.0152,0,0.0000
427,0,13069,4008.8957,19.4925,60.565196,38.622611890400194,-9.108529729827579,3,0.0230,0,0.0000,31,0.2372,2,0.0153,2,0.0153,1,0.0077
453,0,11019,3380.0613,18.3448,57.561175,38.622601541663734,-9.10542388843092,4,0.0363,1,0.0091,18,0.1634,2,0.0182,0,0.0000,0,0.0000
513,0,10361,3178.2209,17.8000,56.345094,38.62254586388514,-9.105413047002303,4,0.0386,3,0.0290,19,0.1834,2,0.0193,1,0.0097,2,0.0193
731,0,10293,3157.3620,18.0189,57.265457,38.621701016428204,-9.106797399531851,8,0.0777,1,0.0097,0,0.0000,1,0.0097,0,0.0000,0,0.0000
506,0,9829,3015.0307,16.7304,53.873651,38.62205257939576,-9.10933849989532,5,0.0509,0,0.0000,18,0.1831,4,0.0407,5,0.0509,1,0.0102
109,703,9439,2895.3988,18.2521,57.069636,38.62282126069209,-9.10970519155721,2,0.0212,1,0.0106,25,0.2649,0,0.0000,0,0.0000,5,0.0530
37,55,8703,2669.6319,17.4471,54.59421,38.622099357149565,-9.108833462721606,5,0.0575,2,0.0230,24,0.2758,1,0.0115,1,0.0115,5,0.0575
206,0,8189,2511.9632,15.3707,50.077756,38.62266741548412,-9.107475283428771,1,0.0122,2,0.0244,11,0.1343,2,0.0244,1,0.0122,0,0.0000
273,625,7986,2449.6933,17.7874,56.355585,38.62273637623995,-9.107433019955378,3,0.0376,2,0.0250,10,0.1252,1,0.0125,1,0.0125,0,0.0000
919,0,7919,2429.1411,15.4982,50.133171,38.621744038638006,-9.10686015816291,1,0.0126,2,0.0253,0,0.0000,1,0.0126,1,0.0126,3,0.0379
16,0,7878,2416.5644,18.6321,58.212758,38.62206145927785,-9.10881934617713,5,0.0635,2,0.0254,23,0.2920,2,0.0254,1,0.0127,5,0.0635
152,1118,7329,2248.1595,17.0921,54.654465,38.61931383058377,-9.104936006663268,4,0.0546,2,0.0273,22,0.3002,4,0.0546,5,0.0682,0,0.0000
684,0,7085,2173.3129,17.2902,55.091043,38.62215046249944,-9.105551632697377,1,0.0141,1,0.0141,14,0.1976,0,0.0000,3,0.0423,1,0.0141
237,0,7058,2165.0307,17.3799,55.563157,38.62257465437543,-9.106925837456346,4,0.0567,0,0.0000,23,0.3259,0,0.0000,1,0.0142,4,0.0567
921,0,6520,2000.0000,15.5387,49.76037,38.62241654559146,-9.107101067312025,0,0.0000,1,0.0153,0,0.0000,1,0.0153,5,0.0767,1,0.0153
285,0,6483,1988.6503,17.1592,54.496028,38.62150016868469,-9.10747782427942,4,0.0617,2,0.0308,11,0.1697,0,0.0000,0,0.0000,1,0.0154
27,51,6445,1976.9939,17.9531,56.402777,38.62291409779141,-9.108434225867288,9,0.1396,0,0.0000,8,0.1241,3,0.0465,9,0.1396,0,0.0000
585,587,6408,1965.6442,18.1234,57.176447,38.62210801356983,-9.105196863386102,4,0.0624,1,0.0156,0,0.0000,1,0.0156,0,0.0000,1,0.0156
158,1136,6345,1946.3190,15.4192,49.989043,38.62392013768174,-9.108899458609937,1,0.0158,0,0.0000,17,0.2679,1,0.0158,6,0.0946,2,0.0315
736,0,6332,1942.3313,15.5798,49.721998,38.62213266330189,-9.105945889368499,2,0.0316,3,0.0474,8,0.1263,2,0.0316,2,0.0316,0,0.0000
163,0,6135,1881.9018,17.7899,56.06884,38.62170874817103,-9.109489901556556,1,0.0163,1,0.0163,6,0.0978,0,0.0000,1,0.0163,0,0.0000
155,1127,6011,1843.8650,17.2905,54.457234,38.623670013635426,-9.105252104733697,1,0.0166,0,0.0000,9,0.1497,1,0.0166,4,0.0665,3,0.0499
170,0,5963,1829.1411,15.4533,49.935013,38.62253838561008,-9.107441267087033,1,0.0168,2,0.0335,13,0.2180,0,0.0000,1,0.0168,1,0.0168
263,946,5658,1735.5828,16.4067,52.35143,38.62248857890374,-9.107113438831325,1,0.0177,0,0.0000,87,1.5376,1,0.0177,1,0.0177,1,0.0177
527,0,5534,1697.5460,16.6538,52.922909,38.62714824293815,-9.103681352821424,2,0.0361,1,0.0181,12,0.2168,0,0.0000,1,0.0181,0,0.0000
333,0,5360,1644.1718,19.2849,59.72097,38.622196942766145,-9.108340100296424,0,0.0000,0,0.0000,12,0.2239,2,0.0373,1,0.0187,1,0.0187
261,1367,5209,1597.8528,15.3398,49.616762,38.6232834835591,-9.10535504935996,0,0.0000,0,0.0000,10,0.1920,2,0.0384,4,0.0768,0,0.0000
431,0,5076,1557.0552,16.9025,54.188757,38.62324549037832,-9.10641987838916,4,0.0788,1,0.0197,11,0.2167,0,0.0000,0,0.0000,0,0.0000
41,157,4672,1433.1288,18.4702,57.768326,38.62191968476798,-9.10981860588099,1,0.0214,0,0.0000,9,0.1926,1,0.0214,1,0.0214,0,0.0000
906,0,4616,1415.9509,18.3278,57.205871,38.62265525892447,-9.106916983634177,7,0.1516,0,0.0000,0,0.0000,1,0.0217,0,0.0000,0,0.0000
909,0,4569,1401.5337,18.3217,57.48014,38.62244192159527,-9.107018308698176,2,0.0438,1,0.0219,0,0.0000,0,0.0000,1,0.0219,0,0.0000
590,0,4551,1396.0123,19.0046,59.48978,38.62258602123958,-9.106689045683254,7,0.1538,0,0.0000,8,0.1758,0,0.0000,0,0.0000,7,0.1538
747,0,4445,1363.4969,19.0918,59.222657,38.62228783622044,-9.107377573447337,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
519,0,4315,1323.6196,18.5803,58.620823,38.62283895977542,-9.106957857352237,3,0.0695,3,0.0695,10,0.2317,0,0.0000,2,0.0463,1,0.0232
396,1658,4271,1310.1227,17.4350,55.747062,38.62084153718505,-9.107109594833595,1,0.0234,0,0.0000,9,0.2107,2,0.0468,1,0.0234,1,0.0234
167,0,4212,1292.0245,17.5667,55.466937,38.620302563476486,-9.10921835876859,3,0.0712,1,0.0237,10,0.2374,0,0.0000,0,0.0000,0,0.0000
434,791,4137,1269.0184,17.8148,55.931559,38.623040111565395,-9.105352021380627,1,0.0242,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0242
216,1265,4108,1260.1227,16.7870,53.086052,38.623135995235614,-9.105553932618179,0,0.0000,1,0.0243,12,0.2921,1,0.0243,2,0.0487,3,0.0730
304,1469,3941,1208.8957,16.2875,52.300274,38.62108995823084,-9.110343400457545,2,0.0507,0,0.0000,7,0.1776,0,0.0000,4,0.1015,1,0.0254
35,0,3867,1186.1963,17.7264,56.029072,38.62183393639903,-9.109179671466611,2,0.0517,1,0.0259,6,0.1552,0,0.0000,1,0.0259,0,0.0000
287,0,3805,1167.1779,16.9325,53.624665,38.621582033008025,-9.108812067988152,0,0.0000,0,0.0000,9,0.2365,1,0.0263,0,0.0000,1,0.0263
203,0,3787,1161.6564,17.8846,56.433383,38.621863997599846,-9.098708028265484,4,0.1056,0,0.0000,11,0.2905,0,0.0000,0,0.0000,0,0.0000
274,628,3711,1138.3436,18.0361,56.37232,38.62311589581705,-9.106301521363328,1,0.0269,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
912,0,3701,1135.2761,15.5653,50.209819,38.622338652343004,-9.107084853450385,2,0.0540,0,0.0000,0,0.0000,1,0.0270,3,0.0811,1,0.0270
122,1080,3598,1103.6810,18.7904,58.624647,38.62339926097107,-9.106994614031448,1,0.0278,0,0.0000,7,0.1946,0,0.0000,0,0.0000,2,0.0556
309,1484,3534,1084.0491,15.5484,50.162318,38.621120522906295,-9.105744595573363,0,0.0000,1,0.0283,4,0.1132,1,0.0283,1,0.0283,1,0.0283
580,0,3460,1061.3497,16.4263,52.795804,38.62313019132501,-9.106736144292078,0,0.0000,1,0.0289,0,0.0000,0,0.0000,1,0.0289,0,0.0000
574,0,3274,1004.2945,16.3259,52.247398,38.622809499348755,-9.107269168149237,0,0.0000,2,0.0611,6,0.1833,2,0.0611,3,0.0916,1,0.0305
25,598,3265,1001.5337,15.5881,49.891437,38.623186982050306,-9.10778707363115,1,0.0306,0,0.0000,4,0.1225,0,0.0000,1,0.0306,1,0.0306
228,229,3220,987.7301,18.1919,57.304376,38.622995226774606,-9.105295791129883,2,0.0621,0,0.0000,8,0.2484,0,0.0000,0,0.0000,1,0.0311
557,0,3090,947.8528,16.8061,53.818091,38.62121584530508,-9.111664274308925,1,0.0324,2,0.0647,10,0.3236,0,0.0000,1,0.0324,0,0.0000
702,0,3074,942.9448,17.2593,54.935947,38.62308381731462,-9.106524542060114,0,0.0000,0,0.0000,5,0.1627,0,0.0000,0,0.0000,0,0.0000
179,646,3036,931.2883,15.7638,49.574714,38.62409635817535,-9.106676753241901,1,0.0329,0,0.0000,2,0.0659,1,0.0329,1,0.0329,1,0.0329
592,2330,3012,923.9264,15.2918,49.812683,38.62268049314245,-9.107673249123026,3,0.0996,3,0.0996,9,0.2988,1,0.0332,4,0.1328,2,0.0664
316,0,3008,922.6994,17.3298,55.500878,38.62435058920971,-9.10613181043949,1,0.0332,0,0.0000,8,0.2660,0,0.0000,2,0.0665,0,0.0000
133,0,2948,904.2945,16.7459,53.542833,38.62516680291017,-9.107187638350922,1,0.0339,0,0.0000,4,0.1357,0,0.0000,1,0.0339,3,0.1018
265,0,2875,881.9018,15.4626,49.82344,38.62225240565891,-9.109309005842208,1,0.0348,0,0.0000,5,0.1739,0,0.0000,0,0.0000,0,0.0000
353,908,2860,877.3006,15.4416,50.101759,38.62114815601859,-9.104542712336418,0,0.0000,1,0.0350,5,0.1748,1,0.0350,2,0.0699,1,0.0350
761,0,2822,865.6442,17.2569,54.390932,38.62220314303981,-9.107269418150592,2,0.0709,0,0.0000,0,0.0000,1,0.0354,0,0.0000,0,0.0000
220,1277,2818,864.4172,17.2899,54.234617,38.62231210930762,-9.10712447872261,1,0.0355,1,0.0355,11,0.3903,1,0.0355,2,0.0710,0,0.0000
58,280,2811,862.2699,17.9392,55.542899,38.62201506440048,-9.108155971138421,0,0.0000,0,0.0000,4,0.1423,0,0.0000,0,0.0000,1,0.0356
613,2231,2810,861.9632,15.2214,49.689267,38.62241483246241,-9.106856662426788,0,0.0000,0,0.0000,9,0.3203,0,0.0000,0,0.0000,1,0.0356
928,0,2776,851.5337,19.0313,59.004247,38.62240768206672,-9.106428293752407,2,0.0720,0,0.0000,0,0.0000,1,0.0360,1,0.0360,0,0.0000
111,846,2760,846.6258,18.3123,57.793895,38.624850418701804,-9.107024900590146,1,0.0362,0,0.0000,4,0.1449,0,0.0000,0,0.0000,0,0.0000
753,0,2711,831.5951,17.5614,54.792409,38.61969574982552,-9.112315832574557,2,0.0738,0,0.0000,3,0.1107,0,0.0000,0,0.0000,0,0.0000
676,2629,2710,831.2883,15.6683,50.256639,38.62253488098261,-9.106825725395383,1,0.0369,0,0.0000,1,0.0369,0,0.0000,0,0.0000,1,0.0369
17,0,2671,819.3252,18.3744,57.882546,38.61903944887479,-9.11271989614735,1,0.0374,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0374
13,616,2625,805.2147,17.4918,55.203414,38.624524197764536,-9.106227389508208,1,0.0381,0,0.0000,9,0.3429,1,0.0381,1,0.0381,0,0.0000
234,941,2507,769.0184,16.9517,53.757938,38.62314326904563,-9.106248715640408,1,0.0399,2,0.0798,5,0.1994,0,0.0000,1,0.0399,1,0.0399
32,776,2506,768.7117,17.6724,55.356137,38.62409406376981,-9.10748914961575,2,0.0798,0,0.0000,4,0.1596,1,0.0399,1,0.0399,1,0.0399
29,776,2480,760.7362,17.4411,55.299254,38.623345900439524,-9.107635916793908,1,0.0403,0,0.0000,3,0.1210,0,0.0000,1,0.0403,0,0.0000
52,63,2444,749.6933,16.2263,52.403179,38.62237091489061,-9.106409753791294,0,0.0000,0,0.0000,6,0.2455,0,0.0000,0,0.0000,0,0.0000
19,45,2414,740.4908,16.6657,52.519565,38.62063032373108,-9.100868721620547,0,0.0000,2,0.0829,5,0.2071,1,0.0414,0,0.0000,0,0.0000
338,0,2372,727.6074,19.2146,59.526868,38.62200736741943,-9.10700555971848,1,0.0422,0,0.0000,6,0.2530,0,0.0000,0,0.0000,2,0.0843
741,2679,2320,711.6564,19.0509,59.63028,38.62216344722427,-9.107450774072538,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0431
100,2728,2298,704.9080,17.4413,54.377676,38.62403978525313,-9.107140126759163,0,0.0000,1,0.0435,0,0.0000,0,0.0000,0,0.0000,1,0.0435
307,0,2295,703.9877,18.3364,58.708314,38.6241455555053,-9.10664933770568,4,0.1743,0,0.0000,3,0.1307,1,0.0436,4,0.1743,0,0.0000
38,57,2196,673.6196,17.1781,54.596207,38.62206956241102,-9.108673926107768,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
539,0,2161,662.8834,17.3818,55.162638,38.62311046468617,-9.105966353053415,1,0.0463,0,0.0000,8,0.3702,0,0.0000,0,0.0000,0,0.0000
108,0,2081,638.3436,16.7035,53.030183,38.62487164476953,-9.106564039716659,0,0.0000,2,0.0961,32,1.5377,0,0.0000,0,0.0000,0,0.0000
335,0,2079,637.7301,16.7023,54.180996,38.621708719145424,-9.105465007008373,0,0.0000,0,0.0000,6,0.2886,0,0.0000,0,0.0000,1,0.0481
50,59,2063,632.8221,15.9564,51.348047,38.62260413053916,-9.107424312782019,2,0.0969,1,0.0485,3,0.1454,0,0.0000,1,0.0485,0,0.0000
