pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,17487,5189.0208,17.0725,54.012055,38.538115443141116,-8.89953885853712,2,0.0114,5,0.0286,28,0.1601,3,0.0172,0,0.0000,0,0.0000
427,0,15681,4653.1157,19.3339,60.485119,38.537869335472884,-8.900047044356008,4,0.0255,0,0.0000,18,0.1148,3,0.0191,6,0.0383,0,0.0000
194,1226,15292,4537.6855,16.8508,53.57455,38.53819011103746,-8.899168062124373,7,0.0458,3,0.0196,32,0.2093,3,0.0196,0,0.0000,0,0.0000
27,51,12660,3756.6766,17.6993,55.662432,38.537261938738816,-8.90266384639922,4,0.0316,2,0.0158,20,0.1580,0,0.0000,6,0.0474,0,0.0000
37,55,12153,3606.2315,16.9430,53.675047,38.53902872423934,-8.900356461906037,5,0.0411,3,0.0247,17,0.1399,1,0.0082,1,0.0082,4,0.0329
513,0,12106,3592.2849,17.6192,55.906504,38.540370596795334,-8.900446499162195,9,0.0743,3,0.0248,26,0.2148,1,0.0083,1,0.0083,1,0.0083
333,0,10357,3073.2938,19.2410,60.16586,38.53975728221862,-8.903635085629293,4,0.0386,1,0.0097,23,0.2221,1,0.0097,0,0.0000,0,0.0000
109,703,10058,2984.5697,18.4430,57.984561,38.53823921903417,-8.894104178343678,4,0.0398,1,0.0099,19,0.1889,0,0.0000,0,0.0000,4,0.0398
206,0,9823,2914.8368,15.4964,50.251666,38.539909504765994,-8.899652548521042,3,0.0305,2,0.0204,19,0.1934,0,0.0000,3,0.0305,0,0.0000
41,157,9803,2908.9021,18.7205,58.957308,38.53497827653609,-8.900968417292988,4,0.0408,0,0.0000,17,0.1734,7,0.0714,3,0.0306,0,0.0000
273,625,8885,2636.4985,17.6396,55.735826,38.5373836677454,-8.898890653412337,7,0.0788,3,0.0338,15,0.1688,3,0.0338,0,0.0000,1,0.0113
237,0,8520,2528.1899,17.4953,55.88208,38.537480098307064,-8.898934241216802,3,0.0352,1,0.0117,12,0.1408,2,0.0235,1,0.0117,3,0.0352
35,0,8371,2483.9763,18.0352,56.703713,38.53584169465375,-8.901692197923065,5,0.0597,0,0.0000,14,0.1672,0,0.0000,0,0.0000,2,0.0239
453,0,8368,2483.0861,17.9820,56.841647,38.54214703014151,-8.895669328521755,4,0.0478,0,0.0000,26,0.3107,1,0.0120,0,0.0000,1,0.0120
921,0,7797,2313.6499,15.5178,49.698296,38.53846473398173,-8.89918051553968,0,0.0000,5,0.0641,0,0.0000,4,0.0513,2,0.0257,2,0.0257
684,0,7372,2187.5371,17.0553,54.513436,38.540071517356175,-8.901337966768219,3,0.0407,0,0.0000,13,0.1763,0,0.0000,2,0.0271,3,0.0407
585,587,7190,2133.5312,18.1875,56.687726,38.537335404810435,-8.900294491120016,4,0.0556,0,0.0000,0,0.0000,1,0.0139,0,0.0000,1,0.0139
170,0,7065,2096.4392,15.5881,50.215935,38.537787388172354,-8.900357699237688,1,0.0142,0,0.0000,8,0.1132,1,0.0142,3,0.0425,1,0.0142
285,0,6946,2061.1276,16.9868,53.882003,38.537937096454414,-8.900309326844347,1,0.0144,1,0.0144,14,0.2016,4,0.0576,0,0.0000,1,0.0144
506,0,6887,2043.6202,17.1976,54.272001,38.544100435408396,-8.895360673773835,7,0.1016,0,0.0000,18,0.2614,3,0.0436,1,0.0145,0,0.0000
155,1127,6748,2002.3739,17.0719,53.824338,38.53824277191201,-8.89879363326433,5,0.0741,0,0.0000,14,0.2075,2,0.0296,1,0.0148,1,0.0148
158,1136,6722,1994.6588,15.4292,49.925588,38.53767908208927,-8.899861869683056,3,0.0446,3,0.0446,19,0.2827,3,0.0446,0,0.0000,1,0.0149
263,946,6706,1989.9110,16.4836,52.836587,38.53827806474716,-8.898001188686829,3,0.0447,2,0.0298,107,1.5956,4,0.0596,2,0.0298,2,0.0298
152,1118,6629,1967.0623,16.8752,53.943091,38.537211631454056,-8.899205067879432,0,0.0000,0,0.0000,15,0.2263,1,0.0151,3,0.0453,1,0.0151
736,0,6589,1955.1929,15.3702,50.337818,38.53992656726427,-8.899337081272849,2,0.0304,1,0.0152,13,0.1973,3,0.0455,5,0.0759,1,0.0152
84,0,6135,1820.4748,18.1467,56.776256,38.52774581691772,-8.888343767346548,5,0.0815,1,0.0163,16,0.2608,1,0.0163,0,0.0000,1,0.0163
16,0,6052,1795.8457,18.7665,58.805977,38.544746231449,-8.892783452860437,5,0.0826,0,0.0000,12,0.1983,3,0.0496,0,0.0000,6,0.0991
519,0,5964,1769.7329,18.7619,58.853892,38.5390139212098,-8.89975951191515,1,0.0168,1,0.0168,15,0.2515,0,0.0000,1,0.0168,0,0.0000
304,1469,5455,1618.6944,16.3747,52.827021,38.5328053471143,-8.911319414776255,3,0.0550,1,0.0183,10,0.1833,0,0.0000,5,0.0917,0,0.0000
431,0,5424,1609.4955,17.2848,54.519006,38.540743631092845,-8.89802769297862,0,0.0000,1,0.0184,9,0.1659,0,0.0000,0,0.0000,0,0.0000
590,0,5415,1606.8249,18.7252,59.006826,38.53802323182881,-8.899548424594508,2,0.0369,0,0.0000,12,0.2216,0,0.0000,0,0.0000,2,0.0369
906,0,5364,1591.6914,18.1680,57.139383,38.537795905387966,-8.898806473897881,2,0.0373,0,0.0000,0,0.0000,2,0.0373,2,0.0373,1,0.0186
702,0,5359,1590.2077,16.8345,53.961181,38.54042557536518,-8.905075932222159,2,0.0373,0,0.0000,16,0.2986,0,0.0000,2,0.0373,0,0.0000
909,0,5264,1562.0178,18.0965,57.06357,38.53806447711915,-8.8992749901368,1,0.0190,0,0.0000,0,0.0000,0,0.0000,2,0.0380,2,0.0380
261,1367,5077,1506.5282,15.2143,49.863276,38.53814085014283,-8.896641639515941,1,0.0197,2,0.0394,11,0.2167,4,0.0788,1,0.0197,0,0.0000
