pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
194,1226,28309,8253.3528,16.5513,52.74411,38.79274366315338,-9.35755050707133,9,0.0318,4,0.0141,54,0.1908,5,0.0177,4,0.0141,0,0.0000
915,0,28267,8241.1079,16.7286,53.036588,38.79254096604774,-9.357021469754782,10,0.0354,6,0.0212,44,0.1557,9,0.0318,4,0.0142,7,0.0248
427,0,26334,7677.5510,15.8666,51.08182,38.792561760910594,-9.358747461999855,6,0.0228,3,0.0114,36,0.1367,7,0.0266,12,0.0456,2,0.0076
333,0,23737,6920.4082,19.5940,60.784982,38.79279024693747,-9.359458577541336,7,0.0295,0,0.0000,62,0.2612,2,0.0084,1,0.0042,0,0.0000
27,51,19832,5781.9242,17.1791,54.721913,38.79311882483771,-9.358022829516912,3,0.0151,6,0.0303,38,0.1916,4,0.0202,4,0.0202,8,0.0403
37,55,17848,5203.4985,16.5976,53.096897,38.792725416094235,-9.356220756554938,7,0.0392,3,0.0168,32,0.1793,2,0.0112,7,0.0392,5,0.0280
304,1469,17381,5067.3469,16.3279,52.348371,38.79471547296535,-9.352675167557258,5,0.0288,2,0.0115,35,0.2014,3,0.0173,14,0.0805,6,0.0345
41,157,17256,5030.9038,18.7627,58.963962,38.79332154414147,-9.357731517817514,10,0.0580,1,0.0058,46,0.2666,1,0.0058,0,0.0000,1,0.0058
513,0,16853,4913.4111,17.2181,54.515164,38.79262429703041,-9.353686667906441,8,0.0475,5,0.0297,37,0.2195,1,0.0059,1,0.0059,2,0.0119
109,703,16075,4686.5889,18.3362,57.412546,38.792311225233384,-9.351478485108982,4,0.0249,3,0.0187,26,0.1617,0,0.0000,1,0.0062,4,0.0249
206,0,15880,4629.7376,15.4864,49.821708,38.7924186592059,-9.356661599100418,4,0.0252,2,0.0126,39,0.2456,3,0.0189,4,0.0252,0,0.0000
453,0,15270,4451.8950,17.7106,56.03812,38.794419398443665,-9.35582903339778,6,0.0393,1,0.0065,28,0.1834,2,0.0131,1,0.0065,1,0.0065
285,0,15084,4397.6676,16.6058,52.884612,38.79317498269125,-9.362897119179626,8,0.0530,3,0.0199,21,0.1392,11,0.0729,1,0.0066,2,0.0133
237,0,14503,4228.2799,17.4650,55.135888,38.79257166020082,-9.357460952669257,2,0.0138,3,0.0207,32,0.2206,0,0.0000,2,0.0138,2,0.0138
767,0,14451,4213.1195,15.4309,50.077075,38.78686912563799,-9.386217654619399,2,0.0138,4,0.0277,0,0.0000,3,0.0208,1,0.0069,4,0.0277
273,625,14148,4124.7813,17.3458,54.769736,38.79263021103805,-9.356901181872562,2,0.0141,1,0.0071,25,0.1767,4,0.0283,1,0.0071,4,0.0283
684,0,14040,4093.2945,17.2789,54.624249,38.792314744814476,-9.356465628163486,8,0.0570,0,0.0000,18,0.1282,1,0.0071,3,0.0214,8,0.0570
921,0,12925,3768.2216,15.5321,49.921346,38.792721666173556,-9.35726987604136,4,0.0309,2,0.0155,0,0.0000,3,0.0232,11,0.0851,6,0.0464
35,0,12759,3719.8251,17.5505,55.140532,38.79340994097094,-9.358270188076574,2,0.0157,1,0.0078,24,0.1881,0,0.0000,2,0.0157,0,0.0000
170,0,12741,3714.5773,15.4893,49.965344,38.79254859472598,-9.357509648237857,5,0.0392,3,0.0235,24,0.1884,4,0.0314,4,0.0314,5,0.0392
585,587,11873,3461.5160,17.4432,55.280442,38.793161968460566,-9.357409841286502,2,0.0168,4,0.0337,0,0.0000,0,0.0000,0,0.0000,1,0.0084
155,1127,11838,3451.3120,16.7550,53.283173,38.792013851677815,-9.356660655705797,3,0.0253,5,0.0422,17,0.1436,2,0.0169,2,0.0169,0,0.0000
263,946,11545,3365.8892,16.2922,52.114314,38.792632804379515,-9.35774595563529,3,0.0260,1,0.0087,181,1.5678,2,0.0173,5,0.0433,2,0.0173
158,1136,11306,3296.2099,15.5018,49.688697,38.79261419688387,-9.358437708361883,2,0.0177,6,0.0531,18,0.1592,4,0.0354,5,0.0442,5,0.0442
152,1118,11019,3212.5364,16.6980,53.278336,38.79256506120086,-9.35534611714421,1,0.0091,0,0.0000,19,0.1724,2,0.0182,11,0.0998,5,0.0454
590,0,10473,3053.3528,18.2744,57.6991,38.79320566871956,-9.357099826791545,0,0.0000,2,0.0191,31,0.2960,0,0.0000,1,0.0095,0,0.0000
736,0,10445,3045.1895,15.3102,49.901849,38.79250157413074,-9.358904067533372,4,0.0383,1,0.0096,16,0.1532,2,0.0191,7,0.0670,5,0.0479
519,0,9854,2872.8863,19.4987,60.068113,38.79232943301523,-9.356248980771362,8,0.0812,1,0.0101,23,0.2334,0,0.0000,1,0.0101,1,0.0101
747,0,9158,2669.9708,17.5046,55.404724,38.79307185353521,-9.35853663350609,3,0.0328,1,0.0109,0,0.0000,3,0.0328,0,0.0000,0,0.0000
557,0,9019,2629.4461,16.8573,53.545024,38.79393462160008,-9.355275181395635,5,0.0554,0,0.0000,17,0.1885,1,0.0111,1,0.0111,2,0.0222
13,616,8878,2588.3382,16.9932,53.921217,38.79697093944688,-9.34764611926131,2,0.0225,3,0.0338,15,0.1690,8,0.0901,2,0.0225,4,0.0451
554,2063,8817,2570.5539,16.8174,52.996601,38.79474321006845,-9.352261503879589,2,0.0227,3,0.0340,10,0.1134,1,0.0113,3,0.0340,3,0.0340
906,0,8631,2516.3265,17.0738,54.437598,38.79255409283386,-9.357406273981937,4,0.0463,1,0.0116,0,0.0000,2,0.0232,4,0.0463,2,0.0232
