pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,7988,2717.0068,16.3875,52.142443,41.37462244075443,-8.754440917519686,2,0.0250,3,0.0376,20,0.2504,3,0.0376,1,0.0125,0,0.0000
427,0,7699,2618.7075,15.7550,50.705293,41.37455577501189,-8.75393408020492,4,0.0520,3,0.0390,22,0.2858,2,0.0260,10,0.1299,2,0.0260
194,1226,7594,2582.9932,17.5498,55.74842,41.37443075854681,-8.754469881403626,2,0.0263,2,0.0263,17,0.2239,1,0.0132,2,0.0263,0,0.0000
109,703,6498,2210.2041,18.2467,56.745368,41.376033743337814,-8.758384492458053,3,0.0462,2,0.0308,11,0.1693,0,0.0000,0,0.0000,3,0.0462
453,0,6355,2161.5646,18.3078,57.207449,41.37491009110785,-8.753517623384989,2,0.0315,0,0.0000,9,0.1416,1,0.0157,2,0.0315,0,0.0000
158,1136,6222,2116.3265,15.8962,50.596434,41.385741434961595,-8.754018623983836,1,0.0161,1,0.0161,14,0.2250,0,0.0000,3,0.0482,1,0.0161
513,0,6014,2045.5782,18.0424,56.972601,41.37577702784179,-8.753636024296348,5,0.0831,1,0.0166,14,0.2328,0,0.0000,0,0.0000,0,0.0000
37,55,5706,1940.8163,17.4877,54.880223,41.37544226160979,-8.755779080408994,1,0.0175,3,0.0526,10,0.1753,1,0.0175,1,0.0175,4,0.0701
273,625,4834,1644.2177,18.1479,56.837189,41.37407251744659,-8.753935504705906,0,0.0000,0,0.0000,12,0.2482,0,0.0000,0,0.0000,0,0.0000
206,0,4778,1625.1701,15.6743,50.112574,41.37427562542998,-8.754444826228807,2,0.0419,0,0.0000,9,0.1884,0,0.0000,1,0.0209,0,0.0000
16,0,4585,1559.5238,17.9675,56.711972,41.37466436156912,-8.752673825747642,3,0.0654,1,0.0218,13,0.2835,4,0.0872,2,0.0436,5,0.1091
506,0,4325,1471.0884,16.3549,52.412636,41.37569922542154,-8.7538375186249,2,0.0462,1,0.0231,7,0.1618,2,0.0462,0,0.0000,0,0.0000
