pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
27,51,10734,3485.0649,18.8650,59.139862,41.12538194979841,-8.60960942067733,6,0.0559,1,0.0093,36,0.3354,0,0.0000,7,0.0652,0,0.0000
915,0,9651,3133.4416,16.3616,52.221872,41.12511395893182,-8.609876364725434,0,0.0000,1,0.0104,27,0.2798,2,0.0207,1,0.0104,3,0.0311
194,1226,9375,3043.8312,17.9367,56.863987,41.12503358363788,-8.609883886484194,4,0.0427,0,0.0000,25,0.2667,0,0.0000,0,0.0000,0,0.0000
427,0,9100,2954.5455,15.6425,50.462239,41.12485981204113,-8.610800375163533,5,0.0549,2,0.0220,17,0.1868,2,0.0220,6,0.0659,2,0.0220
513,0,8112,2633.7662,18.9834,59.296274,41.125828946811204,-8.609172180218566,3,0.0370,0,0.0000,14,0.1726,1,0.0123,1,0.0123,1,0.0123
304,1469,7487,2430.8442,15.8591,51.238094,41.12690859077627,-8.608131832918623,0,0.0000,1,0.0134,16,0.2137,1,0.0134,3,0.0401,3,0.0401
37,55,7453,2419.8052,18.2001,57.091414,41.12523320110318,-8.61041877572833,7,0.0939,1,0.0134,16,0.2147,1,0.0134,0,0.0000,2,0.0268
273,625,6644,2157.1429,18.8265,58.79525,41.12498630410278,-8.609931751178895,2,0.0301,2,0.0301,16,0.2408,2,0.0301,0,0.0000,2,0.0301
41,157,6394,2075.9740,17.3935,55.699795,41.125513238704315,-8.609885537996796,5,0.0782,1,0.0156,13,0.2033,0,0.0000,1,0.0156,3,0.0469
35,0,6367,2067.2078,17.7226,55.70635,41.1253578474362,-8.609401118190645,3,0.0471,1,0.0157,13,0.2042,0,0.0000,0,0.0000,2,0.0314
158,1136,6296,2044.1558,15.6067,50.083264,41.12359560169749,-8.604404839586135,1,0.0159,2,0.0318,13,0.2065,2,0.0318,3,0.0476,4,0.0635
206,0,6274,2037.0130,15.5182,49.976259,41.124661404619594,-8.611087275930574,1,0.0159,1,0.0159,13,0.2072,0,0.0000,3,0.0478,0,0.0000
109,703,5700,1850.6494,18.5695,58.169625,41.12443424194336,-8.612756379986696,1,0.0175,0,0.0000,11,0.1930,0,0.0000,0,0.0000,1,0.0175
237,0,5515,1790.5844,17.7228,55.500377,41.125082930974905,-8.610254049956309,2,0.0363,0,0.0000,10,0.1813,0,0.0000,0,0.0000,2,0.0363
333,0,5177,1680.8442,17.7978,55.783504,41.12514897210482,-8.608861201620885,3,0.0579,1,0.0193,9,0.1738,1,0.0193,1,0.0193,1,0.0193
