pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,11762,4014.3345,17.5481,55.125855,41.29918213775053,-7.736924452013955,2,0.0170,3,0.0255,19,0.1615,2,0.0170,0,0.0000,4,0.0340
194,1226,11184,3817.0648,17.6205,55.514056,41.29934757181666,-7.736906266158407,6,0.0536,1,0.0089,19,0.1699,4,0.0358,3,0.0268,0,0.0000
27,51,11151,3805.8020,18.6467,57.949919,41.29906710640008,-7.737483716529701,4,0.0359,1,0.0090,27,0.2421,2,0.0179,6,0.0538,1,0.0090
427,0,10465,3571.6724,16.1556,51.603321,41.298447199123096,-7.736638816629319,5,0.0478,1,0.0096,23,0.2198,1,0.0096,7,0.0669,2,0.0191
513,0,8470,2890.7850,18.5238,57.961652,41.299236170023896,-7.736704150008377,1,0.0118,2,0.0236,12,0.1417,1,0.0118,0,0.0000,0,0.0000
37,55,7821,2669.2833,17.7160,55.868149,41.29880413258507,-7.737084976370777,4,0.0511,2,0.0256,14,0.1790,0,0.0000,1,0.0128,7,0.0895
41,157,7608,2596.5870,17.5336,55.493352,41.29896593067928,-7.738096026152704,5,0.0657,2,0.0263,14,0.1840,2,0.0263,1,0.0131,2,0.0263
273,625,6732,2297.6109,18.5796,58.140933,41.29916714906437,-7.7367313462592415,3,0.0446,0,0.0000,13,0.1931,2,0.0297,0,0.0000,1,0.0149
35,0,6438,2197.2696,17.4826,55.86445,41.29881807629102,-7.7375208143868415,1,0.0155,0,0.0000,14,0.2175,1,0.0155,1,0.0155,0,0.0000
237,0,6122,2089.4198,18.1063,56.474267,41.29913156831325,-7.737170097311444,6,0.0980,0,0.0000,12,0.1960,0,0.0000,0,0.0000,6,0.0980
206,0,5957,2033.1058,15.4573,49.727861,41.298764600760144,-7.73703349168249,1,0.0168,0,0.0000,13,0.2182,0,0.0000,2,0.0336,0,0.0000
285,0,5693,1943.0034,17.4463,55.522791,41.29789662117867,-7.736739846320595,3,0.0527,1,0.0176,16,0.2810,0,0.0000,1,0.0176,1,0.0176
684,0,5678,1937.8840,17.9989,56.407559,41.298664651188986,-7.736374398602839,3,0.0528,0,0.0000,8,0.1409,0,0.0000,1,0.0176,3,0.0528
921,0,5364,1830.7167,15.4349,50.192625,41.29907709586061,-7.737018854790223,1,0.0186,1,0.0186,0,0.0000,2,0.0373,5,0.0932,1,0.0186
170,0,5120,1747.4403,15.5557,50.480059,41.29952436267642,-7.7369897163947,2,0.0391,0,0.0000,13,0.2539,1,0.0195,0,0.0000,2,0.0391
333,0,4992,1703.7543,17.8423,56.104463,41.298795396693045,-7.736853881776083,2,0.0401,1,0.0200,7,0.1402,1,0.0200,1,0.0200,0,0.0000
585,587,4925,1680.8874,18.7127,59.12826,41.299228265354024,-7.736407511338286,2,0.0406,0,0.0000,0,0.0000,1,0.0203,1,0.0203,1,0.0203
158,1136,4775,1629.6928,15.6547,49.984465,41.29921178618201,-7.737087465022299,4,0.0838,0,0.0000,7,0.1466,1,0.0209,3,0.0628,2,0.0419
109,703,4764,1625.9386,18.4372,58.08148,41.29927482877278,-7.736697761730442,3,0.0630,0,0.0000,7,0.1469,1,0.0210,2,0.0420,2,0.0420
736,0,4732,1615.0171,15.3449,49.827103,41.298530166586644,-7.736044886105508,0,0.0000,0,0.0000,7,0.1479,1,0.0211,4,0.0845,1,0.0211
263,946,4625,1578.4983,16.6326,53.619094,41.29924458143443,-7.736968938449411,1,0.0216,2,0.0432,77,1.6649,3,0.0649,2,0.0432,2,0.0432
152,1118,4496,1534.4710,17.7889,55.957876,41.298951036573065,-7.73759920268385,2,0.0445,1,0.0222,8,0.1779,0,0.0000,1,0.0222,1,0.0222
453,0,4489,1532.0819,18.8875,59.108904,41.29797905766576,-7.735780250292653,0,0.0000,0,0.0000,10,0.2228,0,0.0000,0,0.0000,1,0.0223
155,1127,4432,1512.6280,17.4535,56.357823,41.29916805938649,-7.737441179381129,2,0.0451,1,0.0226,15,0.3384,2,0.0451,2,0.0451,2,0.0451
590,0,4203,1434.4710,19.6845,61.057402,41.298843852727224,-7.7370833399950545,4,0.0952,1,0.0238,7,0.1665,0,0.0000,0,0.0000,4,0.0952
906,0,3971,1355.2901,17.9597,56.632818,41.29889583357237,-7.736593080323943,3,0.0755,0,0.0000,0,0.0000,0,0.0000,1,0.0252,1,0.0252
909,0,3924,1339.2491,17.9238,56.113407,41.29876804342459,-7.7367765784911375,0,0.0000,0,0.0000,0,0.0000,1,0.0255,0,0.0000,1,0.0255
304,1469,3914,1335.8362,16.6850,52.854737,41.300094156869726,-7.737335575975456,1,0.0255,1,0.0255,12,0.3066,0,0.0000,3,0.0766,3,0.0766
702,0,3688,1258.7031,18.0781,56.591947,41.29933971207257,-7.7364975374188125,5,0.1356,1,0.0271,7,0.1898,0,0.0000,0,0.0000,0,0.0000
316,0,3474,1185.6655,17.9295,56.378095,41.2992664967066,-7.736707018737125,3,0.0864,0,0.0000,9,0.2591,0,0.0000,1,0.0288,0,0.0000
519,0,3448,1176.7918,17.5131,56.654414,41.29827915370911,-7.736737634805036,2,0.0580,0,0.0000,6,0.1740,1,0.0290,0,0.0000,0,0.0000
274,628,3410,1163.8225,18.5680,57.993458,41.298991069010505,-7.736791056360207,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
287,0,3276,1118.0887,16.8413,53.724701,41.29866879271666,-7.735765670800984,3,0.0916,0,0.0000,5,0.1526,0,0.0000,1,0.0305,1,0.0305
431,0,3026,1032.7645,17.1408,54.677978,41.29797522193643,-7.736219622763831,1,0.0330,1,0.0330,9,0.2974,1,0.0330,0,0.0000,0,0.0000
912,0,3011,1027.6451,15.2747,49.705145,41.29926223239588,-7.737140560500445,0,0.0000,0,0.0000,0,0.0000,1,0.0332,1,0.0332,0,0.0000
557,0,2954,1008.1911,16.9303,53.660488,41.30055416999088,-7.738158718942899,1,0.0339,2,0.0677,7,0.2370,2,0.0677,0,0.0000,1,0.0339
747,0,2880,982.9352,19.3979,60.215295,41.29949697690104,-7.737998086297162,2,0.0694,0,0.0000,0,0.0000,0,0.0000,1,0.0347,0,0.0000
506,0,2850,972.6962,17.3354,55.500274,41.29756368153194,-7.735253553011457,1,0.0351,0,0.0000,9,0.3158,1,0.0351,0,0.0000,0,0.0000
25,598,2745,936.8601,15.7891,50.0529,41.29914079189248,-7.736767592908976,2,0.0729,0,0.0000,6,0.2186,0,0.0000,0,0.0000,4,0.1457
574,0,2687,917.0648,15.5463,50.135289,41.29869371447953,-7.736890068420467,3,0.1116,1,0.0372,5,0.1861,1,0.0372,1,0.0372,0,0.0000
74,67,2652,905.1195,19.6071,60.659525,41.299039199881854,-7.737240416745373,2,0.0754,0,0.0000,8,0.3017,0,0.0000,2,0.0754,0,0.0000
527,0,2586,882.5939,15.4992,50.326632,41.29896340284305,-7.735210399864363,1,0.0387,1,0.0387,3,0.1160,1,0.0387,2,0.0773,0,0.0000
261,1367,2582,881.2287,15.0837,50.378676,41.29880262178787,-7.737058706584687,1,0.0387,0,0.0000,6,0.2324,1,0.0387,0,0.0000,0,0.0000
548,0,2526,862.1160,17.9224,55.581081,41.306340670530886,-7.72995787605535,1,0.0396,0,0.0000,8,0.3167,1,0.0396,0,0.0000,2,0.0792
456,0,2490,849.8294,15.5466,50.138297,41.300396427316514,-7.7356157914601695,0,0.0000,2,0.0803,4,0.1606,0,0.0000,0,0.0000,0,0.0000
434,791,2485,848.1229,17.7606,55.880153,41.297906894340926,-7.735915386570263,3,0.1207,0,0.0000,0,0.0000,0,0.0000,1,0.0402,0,0.0000
13,616,2471,843.3447,17.9077,56.544019,41.29766030678674,-7.736181792303454,2,0.0809,0,0.0000,1,0.0405,2,0.0809,0,0.0000,0,0.0000
539,0,2414,823.8908,17.9010,56.354673,41.30003162905779,-7.736996641977317,1,0.0414,0,0.0000,8,0.3314,0,0.0000,0,0.0000,0,0.0000
179,646,2327,794.1980,15.6764,49.848754,41.29885577108668,-7.736317711442507,1,0.0430,1,0.0430,3,0.1289,1,0.0430,1,0.0430,1,0.0430
580,0,2324,793.1741,15.7281,50.72954,41.29914670197118,-7.736853076147835,1,0.0430,0,0.0000,0,0.0000,1,0.0430,0,0.0000,1,0.0430
265,0,2319,791.4676,15.3622,49.681423,41.297528849984495,-7.736503693377483,1,0.0431,1,0.0431,3,0.1294,1,0.0431,1,0.0431,0,0.0000
216,1265,2298,784.3003,17.1462,54.342833,41.297516590094226,-7.7351001824737535,0,0.0000,2,0.0870,3,0.1305,1,0.0435,1,0.0435,0,0.0000
761,0,2286,780.2048,17.4195,56.085398,41.299031672885405,-7.73650894210435,2,0.0875,2,0.0875,0,0.0000,0,0.0000,0,0.0000,0,0.0000
613,2231,2272,775.4266,15.4371,50.432386,41.29920853794245,-7.7365706669978795,1,0.0440,1,0.0440,4,0.1761,0,0.0000,0,0.0000,1,0.0440
220,1277,2265,773.0375,17.6923,55.615448,41.299009947387255,-7.736113539505208,0,0.0000,0,0.0000,3,0.1325,0,0.0000,1,0.0442,0,0.0000
52,63,2233,762.1160,17.1218,52.918289,41.29938056282008,-7.736930427683113,2,0.0896,0,0.0000,8,0.3583,0,0.0000,0,0.0000,0,0.0000
592,2330,2230,761.0922,15.4717,50.081825,41.29895972264916,-7.736327662335435,0,0.0000,2,0.0897,3,0.1345,0,0.0000,1,0.0448,0,0.0000
228,229,2092,713.9932,18.8399,58.524522,41.30122923403753,-7.738009361696587,3,0.1434,0,0.0000,1,0.0478,0,0.0000,0,0.0000,0,0.0000
554,2063,2075,708.1911,17.3682,55.673417,41.2994506386513,-7.737384768589146,2,0.0964,0,0.0000,3,0.1446,0,0.0000,0,0.0000,1,0.0482
618,2345,2071,706.8259,17.7262,56.02874,41.2990907071792,-7.737037941013555,0,0.0000,0,0.0000,24,1.1589,0,0.0000,1,0.0483,0,0.0000
676,2629,2050,699.6587,15.1078,50.034785,41.29932361936409,-7.737340015459597,0,0.0000,1,0.0488,3,0.1463,0,0.0000,0,0.0000,0,0.0000
524,0,2014,687.3720,17.0789,54.413655,41.300325995330326,-7.73775801851236,0,0.0000,0,0.0000,6,0.2979,0,0.0000,0,0.0000,0,0.0000
559,0,2006,684.6416,16.8908,53.855145,41.29962397693132,-7.737150740155559,1,0.0499,1,0.0499,3,0.1496,1,0.0499,0,0.0000,2,0.0997
133,0,1975,674.0614,17.6861,54.542912,41.299274616095886,-7.736424348100859,1,0.0506,0,0.0000,5,0.2532,1,0.0506,1,0.0506,3,0.1519
38,57,1954,666.8942,17.6387,56.344841,41.298929820864466,-7.737271797716566,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
919,0,1860,634.8123,15.6430,49.525742,41.29865159182468,-7.7361963926613555,0,0.0000,0,0.0000,0,0.0000,2,0.1075,1,0.0538,0,0.0000
338,0,1806,616.3823,18.5421,57.498566,41.29911686184234,-7.736760723314401,2,0.1107,1,0.0554,2,0.1107,0,0.0000,1,0.0554,2,0.1107
50,59,1773,605.1195,15.6999,50.083271,41.29886767057374,-7.737722856164923,0,0.0000,0,0.0000,3,0.1692,0,0.0000,0,0.0000,0,0.0000
353,908,1770,604.0956,15.3316,49.362249,41.29850144097002,-7.735672769628196,1,0.0565,1,0.0565,3,0.1695,0,0.0000,0,0.0000,1,0.0565
92,0,1759,600.3413,17.3331,56.101359,41.29833874242592,-7.738925557168048,1,0.0569,0,0.0000,3,0.1706,0,0.0000,0,0.0000,0,0.0000
29,776,1710,583.6177,17.6977,55.701205,41.29915899868048,-7.737707039665039,0,0.0000,0,0.0000,1,0.0585,2,0.1170,0,0.0000,0,0.0000
275,631,1706,582.2526,18.6131,57.91466,41.29900340376385,-7.736899614217278,1,0.0586,0,0.0000,0,0.0000,0,0.0000,1,0.0586,0,0.0000
328,746,1679,573.0375,19.5307,59.515664,41.29916873194385,-7.73643752298062,1,0.0596,0,0.0000,2,0.1191,0,0.0000,1,0.0596,0,0.0000
100,2728,1647,562.1160,17.7395,56.209976,41.3001409225657,-7.737658389934283,0,0.0000,2,0.1214,0,0.0000,0,0.0000,0,0.0000,1,0.0607
203,0,1623,553.9249,17.2083,54.576636,41.29893980706826,-7.738168591420819,1,0.0616,1,0.0616,3,0.1848,0,0.0000,0,0.0000,0,0.0000
777,0,1600,546.0751,15.7319,49.601419,41.29922794401444,-7.737484867654387,1,0.0625,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0625
32,776,1567,534.8123,17.5144,55.763925,41.299072458962584,-7.7371806428614915,1,0.0638,0,0.0000,5,0.3191,2,0.1276,1,0.0638,0,0.0000
58,280,1563,533.4471,18.3071,57.456379,41.29778221326773,-7.736329474612025,3,0.1919,0,0.0000,5,0.3199,0,0.0000,3,0.1919,0,0.0000
307,0,1561,532.7645,18.2588,55.592556,41.2991628550872,-7.7368779777233,1,0.0641,1,0.0641,5,0.3203,1,0.0641,1,0.0641,0,0.0000
396,1658,1535,523.8908,16.6169,53.327707,41.297540916744055,-7.7360604259169286,0,0.0000,0,0.0000,3,0.1954,0,0.0000,0,0.0000,3,0.1954
84,0,1521,519.1126,17.4096,55.38313,41.29821633333212,-7.736777907819135,1,0.0657,0,0.0000,3,0.1972,0,0.0000,0,0.0000,0,0.0000
234,941,1516,517.4061,17.1511,54.730218,41.29756676370095,-7.735777347208952,2,0.1319,1,0.0660,2,0.1319,0,0.0000,0,0.0000,2,0.1319
176,0,1472,502.3891,17.2969,53.801277,41.29837886059895,-7.734261797118478,1,0.0679,0,0.0000,3,0.2038,0,0.0000,0,0.0000,0,0.0000
605,0,1435,489.7611,15.2286,49.974516,41.298599241064025,-7.736370458391651,1,0.0697,0,0.0000,5,0.3484,1,0.0697,1,0.0697,0,0.0000
108,0,1426,486.6894,17.0568,54.681354,41.298411088483874,-7.7347463318948435,2,0.1403,0,0.0000,18,1.2623,0,0.0000,1,0.0701,0,0.0000
661,0,1405,479.5222,18.0413,56.286256,41.29987415283215,-7.738331172480772,1,0.0712,0,0.0000,4,0.2847,0,0.0000,0,0.0000,1,0.0712
16,0,1404,479.1809,17.5071,55.462222,41.29462240552642,-7.731901719072856,1,0.0712,1,0.0712,1,0.0712,0,0.0000,1,0.0712,1,0.0712
28,53,1388,473.7201,18.2867,57.998617,41.298661841098856,-7.736546469030793,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
218,0,1244,424.5734,18.8392,57.825941,41.29865186655006,-7.736862113947482,1,0.0804,0,0.0000,5,0.4019,0,0.0000,0,0.0000,0,0.0000
603,0,1193,407.1672,15.2590,50.366035,41.299854031967115,-7.736823925252641,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0838,0,0.0000
432,0,1182,403.4130,16.5719,53.389645,41.29876437977613,-7.737162706149845,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
163,0,1164,397.2696,16.8256,52.880705,41.29476991192109,-7.731804250071769,1,0.0859,0,0.0000,2,0.1718,0,0.0000,0,0.0000,0,0.0000
592,2168,1141,389.4198,15.7502,50.343699,41.29851133249312,-7.737423001827436,0,0.0000,1,0.0876,1,0.0876,0,0.0000,1,0.0876,0,0.0000
159,1139,1140,389.0785,14.9342,49.571211,41.29899003321962,-7.736503763830445,0,0.0000,1,0.0877,0,0.0000,0,0.0000,0,0.0000,1,0.0877
171,0,1137,388.0546,15.2296,49.918769,41.29905352104442,-7.736723158803108,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
739,0,1131,386.0068,17.1317,53.064244,41.2991972210887,-7.737494247552302,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.1768,0,0.0000
195,1229,1118,381.5700,17.5948,56.45992,41.2989795954166,-7.7371370063828,0,0.0000,1,0.0894,0,0.0000,0,0.0000,0,0.0000,0,0.0000
454,0,1116,380.8874,19.0072,58.102527,41.29888887375245,-7.735801514237452,1,0.0896,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
156,1130,1111,379.1809,17.9316,55.739541,41.2988714078201,-7.736277322122533,0,0.0000,2,0.1800,0,0.0000,0,0.0000,1,0.0900,0,0.0000
