pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,15701,5048.5531,17.5114,55.166202,49.46752491279771,7.167415342558497,7,0.0446,1,0.0064,36,0.2293,2,0.0127,1,0.0064,1,0.0064
194,1226,13681,4399.0354,16.7713,53.340186,49.46768925207045,7.167433037332014,4,0.0292,1,0.0073,32,0.2339,2,0.0146,2,0.0146,0,0.0000
285,0,12270,3945.3376,15.9278,51.035023,49.467671370080126,7.166710800676335,1,0.0081,3,0.0244,22,0.1793,3,0.0244,2,0.0163,1,0.0081
333,0,11041,3550.1608,19.4308,60.577874,49.46792550311779,7.169101012783129,5,0.0453,0,0.0000,20,0.1811,1,0.0091,0,0.0000,0,0.0000
427,0,10545,3390.6752,17.1052,54.517284,49.468226236743014,7.166207635134557,1,0.0095,2,0.0190,26,0.2466,4,0.0379,3,0.0284,3,0.0284
37,55,9875,3175.2412,15.8727,50.992562,49.467769865746035,7.167081625734281,2,0.0203,1,0.0101,24,0.2430,4,0.0405,4,0.0405,7,0.0709
41,157,9098,2925.4019,18.7913,59.115748,49.46731157414325,7.167219532569243,3,0.0330,0,0.0000,16,0.1759,2,0.0220,3,0.0330,0,0.0000
170,0,9062,2913.8264,17.2562,53.822114,49.4676816390905,7.16733608873608,1,0.0110,3,0.0331,23,0.2538,0,0.0000,1,0.0110,1,0.0110
453,0,8165,2625.4019,16.4280,52.656966,49.47121987594677,7.16312937015432,2,0.0245,1,0.0122,17,0.2082,4,0.0490,0,0.0000,2,0.0245
736,0,8095,2602.8939,16.8730,53.722395,49.467780770878214,7.167100509485758,7,0.0865,1,0.0124,11,0.1359,4,0.0494,2,0.0247,4,0.0494
921,0,8073,2595.8199,16.5149,52.81279,49.467509414100334,7.167299019010948,1,0.0124,3,0.0372,0,0.0000,3,0.0372,2,0.0248,2,0.0248
