pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
194,1226,12434,4023.9482,16.1117,51.782557,46.78050827898097,6.638970703251799,3,0.0241,5,0.0402,25,0.2011,0,0.0000,0,0.0000,0,0.0000
707,0,11375,3681.2298,19.0900,59.545414,46.779498441607274,6.638334284715759,2,0.0176,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
915,0,11358,3675.7282,16.0397,51.847802,46.7801236399886,6.638993381816005,1,0.0088,5,0.0440,26,0.2289,3,0.0264,1,0.0088,4,0.0352
92,0,9465,3063.1068,19.1311,59.644514,46.778884693010326,6.639413590822707,4,0.0423,1,0.0106,20,0.2113,2,0.0211,2,0.0211,3,0.0317
37,55,8364,2706.7961,15.3963,49.840877,46.77989259514404,6.6388796647510855,5,0.0598,1,0.0120,22,0.2630,4,0.0478,1,0.0120,3,0.0359
237,0,8126,2629.7735,18.8036,59.13093,46.779559111607306,6.639405135729027,4,0.0492,0,0.0000,21,0.2584,0,0.0000,1,0.0123,4,0.0492
684,0,7826,2532.6861,19.0367,59.1621,46.779842503083934,6.639037836895969,3,0.0383,0,0.0000,14,0.1789,2,0.0256,1,0.0128,3,0.0383
170,0,7678,2484.7896,17.0287,54.042691,46.78041263785161,6.639129076274784,2,0.0260,0,0.0000,12,0.1563,1,0.0130,1,0.0130,2,0.0260
736,0,7234,2341.1003,16.5650,52.934019,46.78010082722565,6.63916565619649,2,0.0276,0,0.0000,18,0.2488,5,0.0691,0,0.0000,1,0.0138
41,157,6985,2260.5178,19.6278,60.873301,46.77997166330379,6.639243731765347,5,0.0716,0,0.0000,9,0.1288,0,0.0000,0,0.0000,0,0.0000
206,0,6862,2220.7120,15.6922,50.180048,46.78032580628376,6.638905554300432,3,0.0437,1,0.0146,8,0.1166,0,0.0000,4,0.0583,0,0.0000
506,0,6007,1944.0129,16.0892,51.300876,46.7812122792427,6.637475760617559,2,0.0333,2,0.0333,14,0.2331,2,0.0333,3,0.0499,0,0.0000
122,1080,5847,1892.2330,19.5158,61.169839,46.77992343407885,6.637895679174285,1,0.0171,0,0.0000,9,0.1539,0,0.0000,0,0.0000,1,0.0171
921,0,5695,1843.0421,16.4485,52.977075,46.78051831191612,6.63873464687703,4,0.0702,0,0.0000,0,0.0000,2,0.0351,7,0.1229,0,0.0000
35,0,5576,1804.5307,18.9435,59.344459,46.77874950876516,6.6399425939044425,5,0.0897,0,0.0000,6,0.1076,0,0.0000,1,0.0179,0,0.0000
285,0,5535,1791.2621,15.4192,49.651265,46.78136064396028,6.638783005470632,1,0.0181,1,0.0181,10,0.1807,4,0.0723,2,0.0361,1,0.0181
453,0,5448,1763.1068,18.4297,57.726823,46.77997380486229,6.639189627766859,2,0.0367,0,0.0000,16,0.2937,0,0.0000,0,0.0000,0,0.0000
427,0,5415,1752.4272,15.9448,50.985127,46.78123292947336,6.6392822288281135,4,0.0739,4,0.0739,13,0.2401,1,0.0185,5,0.0923,0,0.0000
333,0,5355,1733.0097,18.2450,57.390988,46.78266495086432,6.6369480712919104,0,0.0000,0,0.0000,11,0.2054,1,0.0187,1,0.0187,0,0.0000
158,1136,5349,1731.0680,16.2230,52.356557,46.780427764949664,6.639343642736084,0,0.0000,1,0.0187,9,0.1683,2,0.0374,5,0.0935,0,0.0000
585,587,5309,1718.1230,16.0198,51.438017,46.78059578190411,6.638833625794279,1,0.0188,0,0.0000,0,0.0000,0,0.0000,3,0.0565,3,0.0565
273,625,5207,1685.1133,15.4479,49.971166,46.780366576735766,6.639052171370254,2,0.0384,2,0.0384,9,0.1728,2,0.0384,0,0.0000,2,0.0384
263,946,5189,1679.2880,15.9293,50.423735,46.780211301465975,6.638807899810317,3,0.0578,2,0.0385,93,1.7923,1,0.0193,2,0.0385,3,0.0578
261,1367,5170,1673.1392,15.4872,49.765776,46.78319147130107,6.639481826583531,0,0.0000,3,0.0580,12,0.2321,1,0.0193,3,0.0580,0,0.0000
155,1127,4987,1613.9159,15.4512,49.806786,46.78049445789637,6.63869217550753,1,0.0201,1,0.0201,7,0.1404,2,0.0401,0,0.0000,0,0.0000
109,703,4765,1542.0712,19.5939,60.746688,46.77957006613781,6.638332038325971,1,0.0210,0,0.0000,8,0.1679,0,0.0000,0,0.0000,6,0.1259
152,1118,4708,1523.6246,15.2319,49.807379,46.78013792446913,6.639088427101143,0,0.0000,1,0.0212,6,0.1274,2,0.0425,4,0.0850,0,0.0000
580,0,4430,1433.6570,17.9479,57.037334,46.783141061728585,6.636148311557833,0,0.0000,1,0.0226,0,0.0000,0,0.0000,0,0.0000,0,0.0000
287,0,4416,1429.1262,16.1669,51.961517,46.78032144980609,6.638867454063197,2,0.0453,1,0.0226,11,0.2491,0,0.0000,1,0.0226,0,0.0000
216,1265,3854,1247.2492,16.1889,51.17336,46.78190780790243,6.642537293313541,0,0.0000,3,0.0778,6,0.1557,1,0.0259,2,0.0519,1,0.0259
133,0,3853,1246.9256,16.1767,52.173553,46.77958630565175,6.638546626061131,0,0.0000,0,0.0000,12,0.3114,0,0.0000,5,0.1298,4,0.1038
13,616,3850,1245.9547,19.6309,60.521777,46.77615399387237,6.638922752482642,3,0.0779,0,0.0000,7,0.1818,4,0.1039,0,0.0000,0,0.0000
316,0,3694,1195.4693,18.7932,58.885176,46.77945600868192,6.639108282840019,2,0.0541,0,0.0000,4,0.1083,0,0.0000,2,0.0541,0,0.0000
539,0,3676,1189.6440,18.7388,59.406371,46.779253721528,6.639103799696855,4,0.1088,0,0.0000,5,0.1360,0,0.0000,0,0.0000,0,0.0000
