pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,12500,4045.3074,16.7998,53.489075,38.764193866864986,-9.291018287826358,3,0.0240,1,0.0080,26,0.2080,6,0.0480,3,0.0240,4,0.0320
194,1226,11616,3759.2233,16.6306,52.695517,38.76413081841028,-9.291323271029169,3,0.0258,1,0.0086,29,0.2497,5,0.0430,3,0.0258,0,0.0000
333,0,11463,3709.7087,19.6194,60.960355,38.76397362266728,-9.29129304134222,7,0.0611,0,0.0000,23,0.2006,1,0.0087,0,0.0000,1,0.0087
427,0,11042,3573.4628,16.6658,53.026366,38.764620554031595,-9.29025962879417,3,0.0272,2,0.0181,18,0.1630,5,0.0453,6,0.0543,1,0.0091
27,51,10083,3263.1068,17.2954,54.607455,38.7641234711784,-9.291649735591959,6,0.0595,2,0.0198,23,0.2281,1,0.0099,6,0.0595,4,0.0397
304,1469,8891,2877.3463,16.2477,52.115694,38.76675375403358,-9.291025479922423,4,0.0450,0,0.0000,23,0.2587,4,0.0450,8,0.0900,5,0.0562
37,55,8310,2689.3204,16.7633,53.361747,38.764362270665465,-9.291817420271256,5,0.0602,0,0.0000,18,0.2166,0,0.0000,1,0.0120,2,0.0241
41,157,8087,2617.1521,18.7754,59.029387,38.76407745495626,-9.292271444617853,3,0.0371,0,0.0000,13,0.1608,3,0.0371,2,0.0247,1,0.0124
513,0,7991,2586.0841,17.1992,54.719009,38.76362850746608,-9.291236580268047,5,0.0626,1,0.0125,18,0.2253,1,0.0125,1,0.0125,1,0.0125
206,0,7346,2377.3463,15.3413,49.842446,38.76334697164353,-9.291286278417457,3,0.0408,2,0.0272,16,0.2178,0,0.0000,1,0.0136,0,0.0000
684,0,6374,2062.7832,17.4082,54.507214,38.763974696009534,-9.290325341112561,3,0.0471,0,0.0000,14,0.2196,0,0.0000,0,0.0000,3,0.0471
35,0,6340,2051.7799,17.6442,55.344156,38.76457081285407,-9.291771609902014,1,0.0158,1,0.0158,9,0.1420,0,0.0000,2,0.0315,2,0.0315
237,0,6126,1982.5243,17.4161,54.733555,38.76414156037426,-9.291605164396973,2,0.0326,1,0.0163,13,0.2122,0,0.0000,2,0.0326,2,0.0326
273,625,5981,1935.5987,17.2755,54.689886,38.76407698085301,-9.291255863752843,4,0.0669,1,0.0167,6,0.1003,3,0.0502,0,0.0000,2,0.0334
921,0,5650,1828.4790,15.6412,49.745485,38.763813918839546,-9.290896743406803,2,0.0354,4,0.0708,0,0.0000,0,0.0000,5,0.0885,4,0.0708
170,0,5242,1696.4401,15.4618,49.874517,38.76448806385675,-9.291278095150744,2,0.0382,1,0.0191,8,0.1526,3,0.0572,0,0.0000,2,0.0382
285,0,5196,1681.5534,16.6299,53.452233,38.764644678991345,-9.290914090708648,0,0.0000,0,0.0000,13,0.2502,0,0.0000,0,0.0000,0,0.0000
585,587,5077,1643.0421,17.2945,54.758978,38.76392192424673,-9.290836338749331,1,0.0197,1,0.0197,0,0.0000,0,0.0000,0,0.0000,0,0.0000
155,1127,4960,1605.1780,16.7710,53.227553,38.762751577184964,-9.29042575554219,1,0.0202,3,0.0605,12,0.2419,2,0.0403,3,0.0605,1,0.0202
158,1136,4920,1592.2330,15.5835,49.736199,38.7637321948379,-9.291071546514535,1,0.0203,0,0.0000,7,0.1423,3,0.0610,3,0.0610,0,0.0000
263,946,4868,1575.4045,16.4538,52.656342,38.76413881155355,-9.291415862861601,2,0.0411,0,0.0000,73,1.4996,2,0.0411,1,0.0205,0,0.0000
109,703,4843,1567.3139,18.3665,57.543768,38.764501304560184,-9.291374200694099,2,0.0413,1,0.0206,7,0.1445,1,0.0206,0,0.0000,0,0.0000
152,1118,4818,1559.2233,16.8105,53.221696,38.76500638952577,-9.29071546961815,3,0.0623,0,0.0000,7,0.1453,2,0.0415,3,0.0623,2,0.0415
519,0,4676,1513.2686,18.9055,59.359423,38.764545449509534,-9.29071399925455,0,0.0000,0,0.0000,8,0.1711,0,0.0000,0,0.0000,1,0.0214
554,2063,4439,1436.5696,16.5305,53.014418,38.766518239786976,-9.290865408469577,0,0.0000,0,0.0000,5,0.1126,1,0.0225,1,0.0225,1,0.0225
736,0,4365,1412.6214,15.6852,49.466197,38.76437905653658,-9.291221991426665,1,0.0229,0,0.0000,10,0.2291,1,0.0229,2,0.0458,0,0.0000
557,0,4099,1326.5372,17.0412,53.384779,38.76507734526643,-9.290165762828028,2,0.0488,0,0.0000,10,0.2440,1,0.0244,0,0.0000,2,0.0488
590,0,3818,1235.5987,18.2996,57.713722,38.76475155826877,-9.291858001801149,3,0.0786,0,0.0000,4,0.1048,0,0.0000,0,0.0000,3,0.0786
906,0,3817,1235.2751,17.5808,54.625832,38.76434890677072,-9.290954670169342,0,0.0000,1,0.0262,0,0.0000,0,0.0000,0,0.0000,1,0.0262
702,0,3813,1233.9806,17.2898,55.233821,38.762549739847195,-9.289871589876043,2,0.0525,0,0.0000,10,0.2623,0,0.0000,0,0.0000,0,0.0000
453,0,3766,1218.7702,18.0173,56.735101,38.76407454926131,-9.291567081693763,1,0.0266,0,0.0000,2,0.0531,0,0.0000,0,0.0000,1,0.0266
909,0,3722,1204.5307,17.1994,55.076661,38.7644148077477,-9.290749590837606,2,0.0537,1,0.0269,0,0.0000,0,0.0000,1,0.0269,1,0.0269
747,0,3648,1180.5825,18.3133,56.83784,38.76554668193012,-9.29129123905736,1,0.0274,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
912,0,3305,1069.5793,15.6067,49.939114,38.76370304167564,-9.29123884480934,0,0.0000,1,0.0303,0,0.0000,0,0.0000,2,0.0605,1,0.0303
316,0,3199,1035.2751,17.3804,54.958118,38.762567175638125,-9.291360313395124,1,0.0313,0,0.0000,4,0.1250,2,0.0625,0,0.0000,0,0.0000
777,0,3150,1019.4175,15.4867,49.478613,38.76640846837368,-9.290808211637659,1,0.0317,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0317
574,0,3086,998.7055,17.0732,54.419284,38.76336725428207,-9.291149323123305,1,0.0324,1,0.0324,3,0.0972,1,0.0324,1,0.0324,0,0.0000
274,628,2996,969.5793,17.2674,55.204733,38.763694533415894,-9.291059959812396,1,0.0334,1,0.0334,0,0.0000,2,0.0668,0,0.0000,1,0.0334
396,1658,2948,954.0453,17.9929,56.532504,38.76675132178169,-9.296063423235978,0,0.0000,0,0.0000,7,0.2374,2,0.0678,0,0.0000,0,0.0000
25,598,2938,950.8091,15.6140,49.944752,38.76433244317715,-9.29132738847952,0,0.0000,1,0.0340,6,0.2042,0,0.0000,0,0.0000,0,0.0000
338,0,2861,925.8900,19.5187,60.732457,38.76430649059239,-9.291201468960404,1,0.0350,0,0.0000,4,0.1398,0,0.0000,0,0.0000,2,0.0699
261,1367,2857,924.5955,15.4221,49.731208,38.7641950565121,-9.290998516659315,0,0.0000,0,0.0000,3,0.1050,3,0.1050,2,0.0700,0,0.0000
539,0,2811,909.7087,17.6041,54.78408,38.76380513572104,-9.291089497294891,0,0.0000,1,0.0356,5,0.1779,0,0.0000,0,0.0000,0,0.0000
580,0,2787,901.9417,17.4184,54.862548,38.76486539051897,-9.290052747537215,1,0.0359,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0359
527,0,2737,885.7605,17.5360,55.147121,38.76343395356296,-9.291069313253761,0,0.0000,0,0.0000,10,0.3654,1,0.0365,2,0.0731,0,0.0000
287,0,2684,868.6084,16.7623,53.710879,38.76485357705604,-9.291974388426508,0,0.0000,0,0.0000,4,0.1490,0,0.0000,0,0.0000,0,0.0000
265,0,2683,868.2848,15.7518,49.678282,38.76820480056366,-9.28898420211015,2,0.0745,0,0.0000,4,0.1491,2,0.0745,2,0.0745,0,0.0000
592,2330,2660,860.8414,15.5959,50.268173,38.76414660204764,-9.291521077692165,1,0.0376,1,0.0376,8,0.3008,1,0.0376,2,0.0752,0,0.0000
431,0,2625,849.5146,16.7116,53.931044,38.76299678903056,-9.29122164622402,1,0.0381,0,0.0000,4,0.1524,0,0.0000,0,0.0000,0,0.0000
613,2231,2484,803.8835,15.3116,50.407033,38.76384398437484,-9.291486307310894,1,0.0403,1,0.0403,4,0.1610,0,0.0000,2,0.0805,1,0.0403
220,1277,2475,800.9709,16.5329,53.58743,38.764094361098024,-9.291397304765312,2,0.0808,0,0.0000,5,0.2020,0,0.0000,0,0.0000,2,0.0808
676,2629,2450,792.8803,17.4735,55.950045,38.76465810049777,-9.291493951981883,0,0.0000,0,0.0000,8,0.3265,0,0.0000,0,0.0000,0,0.0000
434,791,2400,776.6990,17.2104,54.759321,38.76301984546797,-9.292238881448874,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0417,0,0.0000
761,0,2399,776.3754,16.5444,53.316582,38.76419176750032,-9.291708612171405,2,0.0834,0,0.0000,0,0.0000,1,0.0417,0,0.0000,0,0.0000
661,0,2383,771.1974,19.2312,60.578175,38.7655392447458,-9.292085797637625,1,0.0420,0,0.0000,1,0.0420,0,0.0000,0,0.0000,1,0.0420
506,0,2378,769.5793,16.9714,53.747271,38.762098733425304,-9.290385514743917,2,0.0841,0,0.0000,7,0.2944,0,0.0000,2,0.0841,1,0.0421
179,646,2300,744.3366,15.5870,50.185544,38.76448997362842,-9.291758247961365,0,0.0000,1,0.0435,4,0.1739,1,0.0435,1,0.0435,2,0.0870
216,1265,2293,742.0712,16.8352,53.260637,38.762620441227234,-9.2888638126932,0,0.0000,1,0.0436,6,0.2617,0,0.0000,0,0.0000,0,0.0000
524,0,2275,736.2460,16.7143,53.885235,38.764126509937206,-9.290624656351973,1,0.0440,1,0.0440,5,0.2198,0,0.0000,2,0.0879,0,0.0000
74,67,2146,694.4984,18.1859,57.309595,38.76223401788916,-9.2914873931524,2,0.0932,0,0.0000,3,0.1398,0,0.0000,2,0.0932,0,0.0000
38,57,2082,673.7864,16.3588,52.860456,38.76385364747679,-9.291505267755362,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0480
919,0,2073,670.8738,15.4443,50.315799,38.763468678091584,-9.290926633454749,2,0.0965,0,0.0000,0,0.0000,2,0.0965,2,0.0965,1,0.0482
133,0,2062,667.3139,16.6460,52.948608,38.763388454685895,-9.290895744794854,0,0.0000,0,0.0000,6,0.2910,1,0.0485,1,0.0485,1,0.0485
100,2728,2053,664.4013,16.5110,52.837535,38.763055523229895,-9.289866580180849,1,0.0487,0,0.0000,0,0.0000,0,0.0000,1,0.0487,2,0.0974
52,63,2049,663.1068,16.3387,52.625086,38.764586534431736,-9.291846105283687,0,0.0000,0,0.0000,4,0.1952,0,0.0000,1,0.0488,0,0.0000
50,59,2044,661.4887,15.8454,49.29658,38.76417883696366,-9.291773998687122,0,0.0000,1,0.0489,2,0.0978,2,0.0978,0,0.0000,0,0.0000
203,0,2043,661.1650,18.5653,58.563152,38.764274533907454,-9.290700805153483,5,0.2447,0,0.0000,3,0.1468,0,0.0000,0,0.0000,0,0.0000
307,0,2001,647.5728,19.1979,59.455872,38.764672172231634,-9.291402224366946,0,0.0000,1,0.0500,2,0.1000,0,0.0000,0,0.0000,0,0.0000
559,0,1995,645.6311,16.7679,53.781123,38.76214005797367,-9.291116999364847,1,0.0501,0,0.0000,4,0.2005,0,0.0000,0,0.0000,0,0.0000
13,616,1969,637.2168,17.4286,55.406719,38.76476723784226,-9.292448649819578,0,0.0000,0,0.0000,5,0.2539,2,0.1016,1,0.0508,0,0.0000
618,2345,1951,631.3916,16.8411,52.849288,38.76243647986388,-9.291100057122483,0,0.0000,0,0.0000,22,1.1276,0,0.0000,0,0.0000,0,0.0000
667,0,1909,617.7994,17.5762,55.008518,38.76170218730461,-9.286424414924324,1,0.0524,0,0.0000,3,0.1572,1,0.0524,1,0.0524,1,0.0524
84,0,1828,591.5858,19.2057,58.983715,38.76380186953232,-9.291559750665813,1,0.0547,0,0.0000,4,0.2188,0,0.0000,0,0.0000,0,0.0000
353,908,1779,575.7282,15.7465,49.543513,38.764331897320595,-9.291737873300331,1,0.0562,0,0.0000,4,0.2248,0,0.0000,1,0.0562,0,0.0000
32,776,1690,546.9256,17.0769,55.615935,38.76386492069391,-9.290385470437958,2,0.1183,0,0.0000,7,0.4142,0,0.0000,2,0.1183,1,0.0592
228,229,1647,533.0097,17.4639,55.268203,38.761695488934855,-9.290797257783153,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0607
605,0,1613,522.0065,17.7570,55.697365,38.76339435129696,-9.291342621967694,1,0.0620,0,0.0000,4,0.2480,0,0.0000,0,0.0000,1,0.0620
29,776,1572,508.7379,17.7061,54.937799,38.76404992597893,-9.292092464182467,0,0.0000,0,0.0000,8,0.5089,0,0.0000,0,0.0000,0,0.0000
275,631,1515,490.2913,17.1538,54.12532,38.76411951061581,-9.291620146419882,1,0.0660,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
48,259,1502,486.0841,17.1145,54.049594,38.75809233187757,-9.289788567316961,1,0.0666,0,0.0000,2,0.1332,0,0.0000,0,0.0000,1,0.0666
58,280,1472,476.3754,16.9334,53.967453,38.7661031854634,-9.290345573828683,0,0.0000,0,0.0000,3,0.2038,0,0.0000,0,0.0000,0,0.0000
176,0,1392,450.4854,18.8879,57.956609,38.762776511625724,-9.290389837690547,1,0.0718,0,0.0000,5,0.3592,0,0.0000,0,0.0000,0,0.0000
92,0,1383,447.5728,17.4953,55.083044,38.76243096205629,-9.290819358353627,0,0.0000,1,0.0723,2,0.1446,0,0.0000,1,0.0723,0,0.0000
328,746,1328,429.7735,17.5813,57.190331,38.76420674732069,-9.291142089176809,1,0.0753,0,0.0000,3,0.2259,0,0.0000,2,0.1506,0,0.0000
234,941,1327,429.4498,16.5554,53.005064,38.76396291836052,-9.291309820476025,0,0.0000,0,0.0000,2,0.1507,0,0.0000,1,0.0754,0,0.0000
432,0,1313,424.9191,16.4356,52.480396,38.76380042402543,-9.291924006173947,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
280,292,1310,423.9482,18.7015,59.029641,38.762574718149224,-9.288528786508785,2,0.1527,0,0.0000,4,0.3053,0,0.0000,0,0.0000,0,0.0000
739,0,1262,408.4142,16.8209,53.638019,38.76432111636472,-9.290932031028143,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0792
16,0,1246,403.2362,19.2648,59.256172,38.76415756923338,-9.292133114076174,0,0.0000,0,0.0000,4,0.3210,0,0.0000,0,0.0000,0,0.0000
603,0,1244,402.5890,15.5772,50.251913,38.76447369119631,-9.291544936665117,1,0.0804,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
592,2168,1243,402.2654,15.8206,49.539614,38.76433734325062,-9.291594845861663,2,0.1609,0,0.0000,2,0.1609,0,0.0000,2,0.1609,0,0.0000
28,53,1243,402.2654,17.4916,55.909469,38.764410809145474,-9.291513526190222,2,0.1609,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
520,0,1231,398.3819,19.0301,59.350163,38.76320022794569,-9.291388796368645,0,0.0000,0,0.0000,0,0.0000,1,0.0812,0,0.0000,0,0.0000
167,0,1211,391.9094,17.0784,53.713287,38.765172429500836,-9.283031263737543,1,0.0826,0,0.0000,5,0.4129,1,0.0826,0,0.0000,0,0.0000
108,0,1209,391.2621,16.5831,53.680712,38.764386157092666,-9.290814783151099,0,0.0000,0,0.0000,22,1.8197,0,0.0000,1,0.0827,0,0.0000
195,1229,1198,387.7023,16.4299,52.466987,38.764077722078696,-9.290958895709327,1,0.0835,1,0.0835,0,0.0000,0,0.0000,0,0.0000,0,0.0000
42,160,1184,383.1715,18.6478,59.538302,38.764960404970175,-9.289140556996989,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
171,0,1184,383.1715,15.1410,49.352542,38.764492227834864,-9.291503402962242,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
