"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"3097953"	"11.4006"	"8.251429294194066000"	"0.402173068314446270"	"3.0161"	"8.7118"	"8.7113"	"8.7067"	"18.5230"	"58.066077"	"1361"	"0.0439"	"296"	"0.0096"	"0"	"0.0000"	"320"	"0.0103"	"297"	"0.0096"	"0"	"0.0000"
"592"	"2330"	"3058101"	"11.2539"	"33.857101560622280000"	"1.200067515039809000"	"3.0000"	"7.5734"	"7.5725"	"7.5773"	"15.6780"	"50.495939"	"775"	"0.0253"	"725"	"0.0237"	"6048"	"0.1978"	"581"	"0.0190"	"1295"	"0.0423"	"760"	"0.0249"
"676"	"2629"	"3049212"	"11.2212"	"28.737636361858275000"	"1.200279712748277400"	"3.0000"	"7.8668"	"7.8654"	"7.8632"	"16.4238"	"52.434284"	"903"	"0.0296"	"586"	"0.0192"	"5913"	"0.1939"	"157"	"0.0051"	"510"	"0.0167"	"903"	"0.0296"
"50"	"59"	"2461069"	"9.0568"	"0.821483431410625700"	"0.200174066185312400"	"2.9999"	"7.8606"	"7.8656"	"7.8619"	"16.4002"	"52.417906"	"779"	"0.0317"	"462"	"0.0188"	"4629"	"0.1881"	"724"	"0.0294"	"459"	"0.0187"	"0"	"0.0000"
"574"	"0"	"1528784"	"5.6260"	"5.978940434696478000"	"0.402082751358260660"	"3.0160"	"7.5670"	"7.5580"	"7.5660"	"15.6521"	"50.424495"	"421"	"0.0275"	"360"	"0.0235"	"2934"	"0.1919"	"468"	"0.0306"	"631"	"0.0413"	"354"	"0.0232"
"453"	"0"	"1525616"	"5.6143"	"23.610553215607545000"	"0.700378594080859600"	"3.0000"	"8.6353"	"8.6346"	"8.6348"	"18.3344"	"57.566020"	"700"	"0.0459"	"180"	"0.0118"	"2976"	"0.1951"	"172"	"0.0113"	"117"	"0.0077"	"177"	"0.0116"
"194"	"1226"	"1517533"	"5.5846"	"8.722612835807640000"	"0.410150358215175370"	"2.9999"	"7.9260"	"7.9296"	"7.9352"	"16.5956"	"52.868667"	"517"	"0.0341"	"315"	"0.0208"	"2932"	"0.1932"	"362"	"0.0239"	"277"	"0.0183"	"0"	"0.0000"
"25"	"598"	"1237404"	"4.5537"	"6.157339320779342000"	"0.400107949610607860"	"2.9998"	"7.5697"	"7.5758"	"7.5632"	"15.6729"	"50.463535"	"330"	"0.0267"	"305"	"0.0246"	"2363"	"0.1910"	"304"	"0.0246"	"266"	"0.0215"	"655"	"0.0529"
"359"	"830"	"766117"	"2.8193"	"48.247733418672580000"	"1.200538565198457000"	"3.0000"	"7.4963"	"7.4955"	"7.4987"	"15.5052"	"49.978870"	"192"	"0.0251"	"202"	"0.0264"	"11928"	"1.5569"	"78"	"0.0102"	"128"	"0.0167"	"194"	"0.0253"
"592"	"2168"	"763419"	"2.8094"	"33.841932105245850000"	"1.199856163262779000"	"2.9996"	"7.5682"	"7.5723"	"7.5655"	"15.6707"	"50.457835"	"189"	"0.0248"	"186"	"0.0244"	"1447"	"0.1895"	"146"	"0.0191"	"347"	"0.0455"	"215"	"0.0282"
